0,1,2,3,4,5,6,7,8,9
1,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8000,8800,8500,15 Jun 2020
2,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8000,8800,8500,16 Jun 2020
3,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8000,9000,8500,09 Jun 2020
4,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8000,9000,8500,10 Jun 2020
5,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8000,9000,8500,11 Jun 2020
6,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8000,9000,8500,12 Jun 2020
7,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8000,9000,8500,13 Jun 2020
8,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8000,9000,8500,17 Jun 2020
9,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8000,9000,8500,18 Jun 2020
10,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8000,9000,8500,19 Jun 2020
11,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8500,9000,8800,01 Jul 2020
12,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8500,9000,8800,20 Jun 2020
13,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8500,9000,8800,22 Jun 2020
14,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8500,9000,8800,24 Jun 2020
15,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8500,9000,8800,25 Jun 2020
16,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8500,9000,8800,26 Jun 2020
17,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8500,9200,9000,02 Jul 2020
18,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8500,9500,9000,03 Jul 2020
19,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8500,9500,9000,04 Jul 2020
20,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8500,9500,9000,05 Jun 2020
21,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8500,9500,9000,06 Jul 2020
22,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8500,9500,9000,06 Jun 2020
23,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8500,9500,9000,07 Jul 2020
24,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8500,9500,9000,08 Jun 2020
25,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,8500,9500,9000,29 Jun 2020
26,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,9000,9500,9200,08 Jul 2020
27,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,9000,9500,9200,09 Jul 2020
28,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,9000,9500,9200,10 Jul 2020
29,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,9000,9500,9200,11 Jul 2020
30,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,9000,9500,9200,13 Jul 2020
31,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,9000,9500,9200,14 Jul 2020
32,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,9500,10000,9800,15 Jul 2020
33,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,9500,10000,9800,16 Jul 2020
34,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,9500,10000,9800,17 Jul 2020
35,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,9500,10000,9800,20 Jul 2020
36,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,9500,10000,9800,21 Jul 2020
37,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,9500,10000,9800,22 Jul 2020
38,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,9500,10000,9800,23 Jul 2020
39,Lohardaga,Lohardaga,Dalda,Dalda,FAQ,9500,10000,9800,24 Jul 2020
