0,1,2,3,4,5,6,7,8,9
1,Aurangabad,Aurangabad,Wheat,Other,FAQ,2100,2200,2150,30 Apr 2023
2,Aurangabad,Aurangabad,Wheat,Other,FAQ,2200,2600,2400,15 Oct 2022
3,Kishanganj,Bahadurganj,Wheat,147 Average,FAQ,2500,2600,2550,10 Oct 2022
4,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2125,2175,2140,19 Apr 2023
5,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2125,2200,2150,01 May 2023
6,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2150,2250,2200,12 May 2023
7,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2150,2250,2200,13 May 2023
8,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2150,2250,2200,20 May 2023
9,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2150,2350,2250,11 May 2023
10,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2200,2300,2250,03 Jun 2023
11,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2200,2300,2250,04 Jun 2023
12,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2200,2300,2250,29 May 2023
13,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2200,2400,2300,04 Oct 2022
14,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2200,2400,2300,08 Oct 2022
15,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2250,2450,2350,16 Oct 2022
16,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2500,2700,2600,10 Apr 2023
17,Madhepura,Bihariganj,Wheat,Other,FAQ,2200,2400,2300,24 Apr 2023
18,Madhepura,Bihariganj,Wheat,Other,FAQ,2500,2900,2600,15 Dec 2022
19,Madhepura,Bihariganj,Wheat,Other,FAQ,2500,3000,2700,18 Nov 2022
20,Rohtas,Nokha,Wheat,147 Average,FAQ,2400,2450,2425,13 Sep 2022
21,Samastipur,Saidpurhat,Wheat,147 Average,FAQ,2400,2600,2500,05 Nov 2022
22,Samastipur,Saidpurhat,Wheat,147 Average,FAQ,2700,2900,2800,04 Jan 2023
23,Samastipur,Saidpurhat,Wheat,147 Average,FAQ,2800,3000,2900,10 Jan 2023
24,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2125,2150,2125,13 Apr 2023
25,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2200,2400,2300,16 Sep 2022
26,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2200,2400,2300,28 Sep 2022
27,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2250,2450,2350,14 Oct 2022
28,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2300,2500,2400,09 Nov 2022
29,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2350,2550,2450,15 Nov 2022
30,Aurangabad,Aurangabad,Wheat,Other,FAQ,2100,2200,2150,15 Apr 2023
31,Aurangabad,Aurangabad,Wheat,Other,FAQ,2100,2200,2150,26 May 2023
32,Aurangabad,Aurangabad,Wheat,Other,FAQ,2300,2700,2500,31 Oct 2022
33,Aurangabad,Aurangabad,Wheat,Other,FAQ,2400,2600,2400,08 Oct 2022
34,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2125,2200,2150,28 Apr 2023
35,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2150,2250,2200,10 May 2023
36,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2200,2400,2300,13 Sep 2022
37,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2250,2450,2350,15 Oct 2022
38,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2300,2500,2400,10 Nov 2022
39,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2600,2800,2700,03 Apr 2023
40,Madhepura,Bihariganj,Wheat,Other,FAQ,2200,2500,2400,27 Feb 2023
41,Madhepura,Bihariganj,Wheat,Other,FAQ,2500,2700,2600,19 Feb 2023
42,Madhepura,Bihariganj,Wheat,Other,FAQ,2600,3100,2800,13 Feb 2023
43,Madhepura,Bihariganj,Wheat,Other,FAQ,2700,3100,2800,03 Feb 2023
44,Madhepura,Bihariganj,Wheat,Other,FAQ,2700,3100,2900,07 Feb 2023
45,Muzaffarpur,Muzaffarpur,Wheat,147 Average,FAQ,2100,2900,2550,13 Jan 2023
46,Muzaffarpur,Muzaffarpur,Wheat,147 Average,FAQ,2400,2500,2450,30 Oct 2022
47,Muzaffarpur,Muzaffarpur,Wheat,147 Average,FAQ,2410,2600,2500,14 Nov 2022
48,Rohtas,Nokha,Wheat,147 Average,FAQ,2400,2450,2425,12 Sep 2022
49,Samastipur,Saidpurhat,Wheat,147 Average,FAQ,2500,2600,2550,26 Nov 2022
50,Samastipur,Saidpurhat,Wheat,147 Average,FAQ,2700,2900,2800,03 Jan 2023
51,Samastipur,Saidpurhat,Wheat,147 Average,FAQ,2700,2900,2800,14 Jan 2023
52,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2125,2165,2140,18 Apr 2023
53,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2125,2175,2150,21 Apr 2023
54,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2125,2200,2150,30 Apr 2023
55,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2150,2250,2200,15 May 2023
56,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2150,2250,2200,23 May 2023
57,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2150,2250,2200,25 May 2023
58,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2200,2300,2250,05 Jun 2023
59,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2200,2400,2300,01 Nov 2022
60,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2200,2400,2300,05 Sep 2022
61,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2210,2410,2310,03 Oct 2022
62,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2250,2450,2350,04 Nov 2022
63,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2250,2450,2350,30 Oct 2022
64,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2250,2450,2350,31 Oct 2022
65,Aurangabad,Aurangabad,Wheat,Other,FAQ,2200,2600,2500,17 Oct 2022
66,Kishanganj,Bahadurganj,Wheat,147 Average,FAQ,2700,2900,2800,18 Dec 2022
67,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2125,2200,2150,04 May 2023
68,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2125,2200,2150,22 Apr 2023
69,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2200,2400,2300,11 Sep 2022
70,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2250,2450,2350,02 Nov 2022
71,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2250,2450,2350,25 Oct 2022
72,Sheikhpura,Barbigha,Wheat,147 Average,FAQ,2500,2700,2600,08 Apr 2023
73,Madhepura,Bihariganj,Wheat,Other,FAQ,2000,2400,2200,31 Mar 2023
74,Madhepura,Bihariganj,Wheat,Other,FAQ,2200,2400,2300,21 Apr 2023
75,Madhepura,Bihariganj,Wheat,Other,FAQ,2200,2500,2300,30 Apr 2023
76,Madhepura,Bihariganj,Wheat,Other,FAQ,2300,2600,2400,25 Feb 2023
77,Madhepura,Bihariganj,Wheat,Other,FAQ,2300,2600,2500,24 Feb 2023
78,Madhepura,Bihariganj,Wheat,Other,FAQ,2500,2800,2600,22 Nov 2022
79,Madhepura,Bihariganj,Wheat,Other,FAQ,2600,2900,2800,24 Nov 2022
80,Madhepura,Bihariganj,Wheat,Other,FAQ,2700,3000,2900,22 Oct 2022
81,Madhepura,Bihariganj,Wheat,Other,FAQ,2700,3100,2900,08 Feb 2023
82,Muzaffarpur,Muzaffarpur,Wheat,147 Average,FAQ,2000,2900,2600,09 Jan 2023
83,Muzaffarpur,Muzaffarpur,Wheat,147 Average,FAQ,2100,2900,2550,12 Jan 2023
84,Muzaffarpur,Muzaffarpur,Wheat,147 Average,FAQ,2410,2500,2450,28 Oct 2022
85,Muzaffarpur,Muzaffarpur,Wheat,147 Average,FAQ,2450,2520,2500,05 Nov 2022
86,Rohtas,Nokha,Wheat,Deshi,FAQ,2400,2500,2450,17 Sep 2022
87,Samastipur,Saidpurhat,Wheat,147 Average,FAQ,2400,2400,2400,19 Aug 2023
88,Samastipur,Saidpurhat,Wheat,147 Average,FAQ,2400,2500,2450,25 Oct 2022
89,Samastipur,Saidpurhat,Wheat,147 Average,FAQ,2450,2500,2450,24 Sep 2022
90,Samastipur,Saidpurhat,Wheat,147 Average,FAQ,2450,2550,2500,08 Oct 2022
91,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2125,2150,2125,17 Apr 2023
92,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2125,2200,2150,25 Apr 2023
93,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2200,2300,2250,30 May 2023
94,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2200,2400,2300,04 Sep 2022
95,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2200,2400,2300,12 Sep 2022
96,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2200,2400,2300,24 Sep 2022
97,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2250,2450,2350,07 Nov 2022
98,Sheikhpura,Shekhpura,Wheat,147 Average,FAQ,2500,2700,2600,06 Apr 2023
99,Jamui,Sikandara,Wheat,147 Average,FAQ,2600,2650,2650,12 Nov 2022
