0,1,2,3,4,5,6,7,8,9
1,Surguja,Ambikapur,Wheat,Local,FAQ,2130,2130,2130,08 Aug 2023
2,Surguja,Ambikapur,Wheat,Local,FAQ,2130,2130,2130,29 May 2023
3,Koria,Baikunthpur,Wheat,Other,FAQ,2020,2020,2020,31 Mar 2023
4,Koria,Baikunthpur,Wheat,Other,FAQ,2130,2130,2130,11 Apr 2023
5,Koria,Baikunthpur,Wheat,Other,FAQ,2130,2130,2130,17 Jun 2023
6,Koria,Baikunthpur,Wheat,Other,FAQ,2130,2130,2130,21 Jun 2023
7,Balod,Balod,Wheat,Other,FAQ,1450,1450,1450,14 Jun 2023
8,Raigarh,Baramkela,Wheat,Other,FAQ,1600,1600,1600,12 Jan 2023
9,Raigarh,Baramkela,Wheat,Other,FAQ,1600,1600,1600,28 Jan 2023
10,Raigarh,Baramkela,Wheat,Other,FAQ,1800,1800,1800,19 Sep 2022
11,Raigarh,Baramkela,Wheat,Other,FAQ,2025,2025,2025,18 Mar 2023
12,Raigarh,Baramkela,Wheat,Other,FAQ,2025,2025,2025,23 Mar 2023
13,Balrampur,Bariya,Wheat,Local,FAQ,2200,2200,2200,01 Jul 2023
14,Balrampur,Bariya,Wheat,Local,FAQ,2200,2200,2200,27 Jun 2023
15,Bemetara,Bemetara,Wheat,Other,FAQ,1850,2000,1950,06 Apr 2023
16,Bemetara,Bemetara,Wheat,Other,FAQ,1900,2000,2000,02 May 2023
17,Bemetara,Bemetara,Wheat,Other,FAQ,1900,2000,2000,13 Apr 2023
18,Bemetara,Bemetara,Wheat,Other,FAQ,1905,2000,2000,07 Apr 2023
19,Bemetara,Bemetara,Wheat,Other,FAQ,1960,2000,1960,19 Mar 2023
20,Bemetara,Bemetara,Wheat,Other,FAQ,2000,2000,2000,17 Mar 2023
21,Bemetara,Bemetara,Wheat,Other,FAQ,2000,2000,2000,21 Jul 2023
22,Bemetara,Bemetara,Wheat,Other,FAQ,2000,2000,2000,29 Mar 2023
23,Bemetara,Bemetara,Wheat,Other,FAQ,2025,2050,2030,24 May 2023
24,Bemetara,Bemetara,Wheat,Other,FAQ,2200,2200,2200,13 Jun 2023
