0,1,2,3,4,5,6,7,8,9
1,Surguja,Ambikapur,Wheat,Local,Local,2280,2280,2280,05 Dec 2024
2,Koria,Baikunthpur,Wheat,Deshi,Local,2300,2300,2300,05 Dec 2024
3,Balodabazar,Bhatapara,Wheat,Local,Local,2362.5,2637.5,2532.5,07 Dec 2024
4,Balodabazar,Bhatapara,Wheat,Local,Local,2450,2891,2650,04 Dec 2024
5,Balodabazar,Bhatapara,Wheat,Local,Local,2517.5,2702.5,2618,05 Dec 2024
6,Balodabazar,Bhatapara,Wheat,Local,Local,2618.5,2704,2651.5,06 Dec 2024
7,Kabirdham,Kawardha,Wheat,Deshi,Local,2425,2650,2650,05 Dec 2024
8,Kabirdham,Kawardha,Wheat,Deshi,Local,2649,2649,2649,04 Dec 2024
9,Mungeli,Munguli,Wheat,Local,Local,2490,2690,2610,06 Dec 2024
10,Mungeli,Munguli,Wheat,Local,Local,2590,2720,2640,04 Dec 2024
11,Mungeli,Munguli,Wheat,Local,Local,2650,2650,2650,05 Dec 2024
12,Kabirdham,Pipriya,Wheat,Deshi,Local,2450,2630,2600,07 Dec 2024
13,Rajnandgaon,Rajnandgaon,Wheat,Deshi,Local,2590,2951,2770,05 Dec 2024
