0,1,2,3,4,5,6,7,8,9
1,Banaskanth,Amirgadh,Wheat,147 Average,FAQ,1550,1675,1650,02 Jul 2021
2,Banaskanth,Amirgadh,Wheat,147 Average,FAQ,1625,1755,1750,23 Jun 2021
3,Banaskanth,Amirgadh,Wheat,147 Average,FAQ,1650,1740,1740,13 Jul 2021
4,Banaskanth,Amirgadh,Wheat,147 Average,FAQ,1945,1985,1965,21 Aug 2021
5,Banaskanth,Amirgadh,Wheat,Other,FAQ,1450,1450,1450,05 Sep 2020
6,Banaskanth,Amirgadh,Wheat,Other,FAQ,1575,1925,1750,23 Mar 2021
7,Banaskanth,Amirgadh,Wheat,Other,FAQ,1620,1750,1685,26 Dec 2020
8,Banaskanth,Amirgadh,Wheat,Other,FAQ,1725,1765,1745,23 Feb 2021
9,Banaskanth,Amirgadh,Wheat,Other,FAQ,1825,1825,1825,13 Jan 2021
10,Amreli,Amreli,Wheat,Bansi,FAQ,1355,1630,1535,01 Jun 2021
11,Amreli,Amreli,Wheat,Bansi,FAQ,1360,1595,1595,26 May 2021
12,Amreli,Amreli,Wheat,Bansi,FAQ,1440,3270,1775,09 Apr 2021
13,Amreli,Amreli,Wheat,Bansi,FAQ,1770,1770,1770,03 Nov 2020
14,Amreli,Amreli,Wheat,Bansi,FAQ,1800,1800,1800,23 Nov 2020
15,Amreli,Amreli,Wheat,Bansi,FAQ,1815,1815,1815,31 Jul 2021
16,Amreli,Amreli,Wheat,Bansi,FAQ,1835,3755,2875,05 Apr 2021
17,Amreli,Amreli,Wheat,Lokwan,FAQ,1490,1740,1575,29 May 2021
18,Amreli,Amreli,Wheat,Lokwan,FAQ,1500,1805,1630,18 Sep 2020
19,Amreli,Amreli,Wheat,Lokwan,FAQ,1590,1675,1645,05 Jun 2021
20,Amreli,Amreli,Wheat,Lokwan,FAQ,1600,1885,1775,22 Jul 2021
21,Amreli,Amreli,Wheat,Lokwan,FAQ,1600,1945,1720,12 Mar 2021
22,Amreli,Amreli,Wheat,Lokwan,FAQ,1625,1780,1745,02 Dec 2020
23,Amreli,Amreli,Wheat,Lokwan,FAQ,1640,1785,1695,01 Sep 2020
24,Amreli,Amreli,Wheat,Lokwan,FAQ,1645,1870,1805,17 Feb 2021
25,Amreli,Amreli,Wheat,Lokwan,FAQ,1650,1825,1700,23 Mar 2021
26,Amreli,Amreli,Wheat,Lokwan,FAQ,1650,1995,1755,27 Jan 2021
27,Amreli,Amreli,Wheat,Lokwan,FAQ,1655,1720,1665,08 Sep 2020
28,Amreli,Amreli,Wheat,Lokwan,FAQ,1675,1960,1820,11 Nov 2020
29,Amreli,Amreli,Wheat,Lokwan,FAQ,1750,1795,1780,11 Dec 2020
30,Amreli,Amreli,Wheat,Lokwan,FAQ,1855,2055,2000,25 Aug 2021
31,Amreli,Amreli,Wheat,Lokwan,FAQ,1880,1955,1910,16 Aug 2021
