0,1,2,3,4,5,6,7,8,9
1,Bokaro,Bermo,Wheat,Medium,FAQ,1500,1700,1700,02 Sep 2015
2,Bokaro,Bermo,Wheat,Medium,FAQ,1500,1700,1700,21 Sep 2015
3,Bokaro,Bermo,Wheat,Medium,FAQ,1500,1700,1700,28 Sep 2015
4,Bokaro,Bermo,Wheat,Medium,FAQ,1550,1720,1720,09 Dec 2015
5,Bokaro,Bermo,Wheat,Medium,FAQ,1550,1720,1720,18 Dec 2015
6,Bokaro,Bermo,Wheat,Medium,FAQ,1550,1750,1750,05 Nov 2015
7,Bokaro,Bermo,Wheat,Medium,FAQ,1550,1750,1750,05 Oct 2015
8,Bokaro,Bermo,Wheat,Medium,FAQ,1550,1750,1750,15 Nov 2015
9,Bokaro,Bermo,Wheat,Medium,FAQ,1550,1750,1750,16 Nov 2015
10,Bokaro,Bermo,Wheat,Medium,FAQ,1550,1750,1750,16 Oct 2015
11,Bokaro,Bermo,Wheat,Medium,FAQ,1550,1750,1750,23 Oct 2015
12,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2000,2000,02 Dec 2015
13,Bokaro,Bermo,Wheat,Medium,FAQ,1800,2000,2000,20 Nov 2015
14,Giridih,Giridih,Wheat,White,FAQ,1600,1700,1700,19 Aug 2016
15,Giridih,Giridih,Wheat,White,FAQ,1600,1800,1800,21 Feb 2016
16,Giridih,Giridih,Wheat,White,FAQ,1800,1900,1900,18 Jul 2016
17,Giridih,Giridih,Wheat,White,FAQ,1800,1900,1900,21 May 2016
18,Giridih,Giridih,Wheat,White,FAQ,1900,2000,2000,06 Sep 2015
19,Giridih,Giridih,Wheat,White,FAQ,1900,2000,2000,27 Apr 2016
20,Giridih,Giridih,Wheat,White,FAQ,1900,2100,2100,14 Feb 2016
21,Giridih,Giridih,Wheat,White,FAQ,1900,2100,2100,19 Sep 2015
22,Giridih,Giridih,Wheat,White,FAQ,1900,2100,2100,21 Jul 2016
23,Giridih,Giridih,Wheat,White,FAQ,1900,2100,2100,24 Jul 2016
24,Giridih,Giridih,Wheat,White,FAQ,2000,2100,2100,01 Oct 2015
25,Giridih,Giridih,Wheat,White,FAQ,2000,2100,2100,07 Oct 2015
26,Giridih,Giridih,Wheat,White,FAQ,2000,2100,2100,15 Oct 2015
27,Giridih,Giridih,Wheat,White,FAQ,2000,2100,2100,17 Sep 2015
28,Giridih,Giridih,Wheat,White,FAQ,2000,2100,2100,21 Nov 2015
29,Giridih,Giridih,Wheat,White,FAQ,2000,2100,2100,21 Oct 2015
30,Giridih,Giridih,Wheat,White,FAQ,2000,2100,2100,23 Sep 2015
31,Giridih,Giridih,Wheat,White,FAQ,2000,2100,2100,25 Oct 2015
32,Giridih,Giridih,Wheat,White,FAQ,2000,2100,2100,25 Sep 2015
33,Giridih,Giridih,Wheat,White,FAQ,2000,2100,2100,29 Oct 2015
34,Giridih,Giridih,Wheat,White,FAQ,2000,2100,2100,31 Oct 2015
35,Giridih,Giridih,Wheat,White,FAQ,2000,2200,2200,13 Oct 2015
36,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,01 Jul 2016
37,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,01 Nov 2015
38,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,03 Nov 2015
39,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,04 Jul 2016
40,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,04 Mar 2016
41,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,05 Dec 2015
42,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,05 Jan 2016
43,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,05 Nov 2015
44,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,10 Mar 2016
45,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,11 Dec 2015
46,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,17 Mar 2016
47,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,18 Feb 2016
48,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,20 Jan 2016
49,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,26 Jun 2016
50,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,26 Mar 2016
51,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,27 Jun 2016
52,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,28 Jun 2016
53,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,28 Nov 2015
54,Giridih,Giridih,Wheat,White,FAQ,2100,2200,2200,29 Jun 2016
55,Giridih,Giridih,Wheat,White,FAQ,2100,2300,2300,04 Feb 2016
56,Giridih,Giridih,Wheat,White,FAQ,2100,2300,2300,25 Feb 2016
57,Giridih,Giridih,Wheat,White,FAQ,2200,2300,2300,08 Jan 2016
58,Giridih,Giridih,Wheat,White,FAQ,2200,2300,2300,23 Dec 2015
59,Giridih,Giridih,Wheat,White,FAQ,2300,2500,2500,06 Dec 2015
60,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1595,1720,1680,19 Nov 2015
61,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1650,1785,1720,18 May 2016
62,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1650,1800,1720,27 May 2016
63,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1650,1820,1750,06 May 2016
64,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1650,1820,1750,08 Apr 2016
65,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1650,1820,1750,16 Mar 2016
66,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1650,1820,1750,22 Apr 2016
67,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1650,1845,1720,01 Jun 2016
68,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1650,1850,1720,07 May 2016
69,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1650,1850,1750,07 Apr 2016
70,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1650,1850,1750,10 Apr 2016
71,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1650,1850,1750,15 Jun 2016
72,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1650,1850,1790,21 Apr 2016
73,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1650,2010,1950,07 Nov 2015
74,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1695,1795,1720,15 Apr 2016
75,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1695,1800,1720,10 May 2016
76,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1720,1850,1820,30 Apr 2016
77,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1720,1895,1845,20 Mar 2016
78,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1720,1945,1820,12 Jun 2016
79,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1750,1850,1810,17 Mar 2016
80,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1750,1910,1850,13 Feb 2016
81,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1750,1920,1850,05 Feb 2016
82,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1785,1920,1895,30 Jan 2016
83,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1785,1955,1850,28 Jan 2016
84,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1795,1985,1850,07 Jan 2016
85,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1850,1950,1900,21 Jan 2016
86,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1850,1950,1910,17 Feb 2016
87,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1850,1980,1975,12 Mar 2016
88,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1850,2000,1920,05 Jan 2016
89,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1850,2000,1950,02 Jan 2016
90,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1850,2000,1950,03 Dec 2015
91,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1850,2000,1950,05 Nov 2015
92,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1850,2000,1950,12 Nov 2015
93,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1850,2010,1920,10 Feb 2016
94,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1850,2010,1920,10 Jan 2016
95,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1850,2010,1920,23 Feb 2016
96,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1850,2010,1950,09 Jan 2016
97,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1850,2020,1920,03 Nov 2015
98,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1898,1955,1950,13 Nov 2015
99,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1950,2000,1985,03 Apr 2016
100,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1950,2010,1980,27 Mar 2016
101,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,1950,2150,2010,27 Sep 2015
102,Hazaribagh,Hazaribagh,Wheat,Other,FAQ,2000,2200,2150,05 Sep 2015
103,Jamtara,Jamtara,Wheat,Other,FAQ,1600,1800,1700,04 Feb 2016
104,Jamtara,Jamtara,Wheat,Other,FAQ,1600,1800,1700,18 Mar 2016
105,Jamtara,Jamtara,Wheat,Other,FAQ,1600,1800,1700,23 Mar 2016
106,Jamtara,Jamtara,Wheat,Other,FAQ,1600,1800,1700,24 Jan 2016
107,Jamtara,Jamtara,Wheat,Other,FAQ,1600,1800,1700,25 Feb 2016
108,Jamtara,Jamtara,Wheat,Other,FAQ,1600,1800,1700,26 Mar 2016
109,Jamtara,Jamtara,Wheat,Other,FAQ,1600,1800,1700,27 Jan 2016
110,Jamtara,Jamtara,Wheat,Other,FAQ,1600,1800,1700,28 Jan 2016
111,Jamtara,Jamtara,Wheat,Other,FAQ,1600,1800,1700,30 Mar 2016
112,Jamtara,Jamtara,Wheat,Other,FAQ,1650,1850,1750,01 Apr 2016
113,Jamtara,Jamtara,Wheat,Other,FAQ,1650,1850,1750,03 Feb 2016
114,Jamtara,Jamtara,Wheat,Other,FAQ,1650,1850,1750,03 Mar 2016
115,Jamtara,Jamtara,Wheat,Other,FAQ,1650,1850,1750,08 Feb 2016
116,Jamtara,Jamtara,Wheat,Other,FAQ,1650,1850,1750,10 Feb 2016
117,Jamtara,Jamtara,Wheat,Other,FAQ,1650,1850,1750,11 Feb 2016
118,Jamtara,Jamtara,Wheat,Other,FAQ,1650,1850,1750,21 Mar 2016
119,Jamtara,Jamtara,Wheat,Other,FAQ,1650,1850,1750,26 Feb 2016
120,Jamtara,Jamtara,Wheat,Other,FAQ,1650,1850,1750,27 Feb 2016
121,Jamtara,Jamtara,Wheat,Other,FAQ,1650,1850,1750,28 Feb 2016
122,Jamtara,Jamtara,Wheat,Other,FAQ,1650,1850,1750,31 Mar 2016
123,Jamtara,Jamtara,Wheat,Other,FAQ,1650,1985,1780,10 Mar 2016
124,Jamtara,Jamtara,Wheat,Other,FAQ,1680,1990,1785,09 Mar 2016
125,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,02 Mar 2016
126,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,04 Jan 2016
127,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,05 Feb 2016
128,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,05 Mar 2016
129,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,06 Feb 2016
130,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,06 Mar 2016
131,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,07 Jan 2016
132,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,08 Jan 2016
133,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,09 Jan 2016
134,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,10 Jan 2016
135,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,12 Mar 2016
136,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,12 Nov 2015
137,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,13 Jan 2016
138,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,14 Jan 2016
139,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,14 Mar 2016
140,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,15 Feb 2016
141,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,23 Dec 2015
142,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,23 Jan 2016
143,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,27 Mar 2016
144,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1900,1800,29 Feb 2016
145,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1950,1800,14 Feb 2016
146,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1950,1850,07 Feb 2016
147,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1950,1850,22 Jan 2016
148,Jamtara,Jamtara,Wheat,Other,FAQ,1700,1950,1850,22 Nov 2015
149,Jamtara,Jamtara,Wheat,Other,FAQ,1700,2000,1800,07 Sep 2015
150,Jamtara,Jamtara,Wheat,Other,FAQ,1720,1940,1830,18 Dec 2015
151,Jamtara,Jamtara,Wheat,Other,FAQ,1740,1975,1860,19 Dec 2015
152,Jamtara,Jamtara,Wheat,Other,FAQ,1750,1950,1850,01 Nov 2015
153,Jamtara,Jamtara,Wheat,Other,FAQ,1750,1950,1850,02 Sep 2015
154,Jamtara,Jamtara,Wheat,Other,FAQ,1750,1950,1850,03 Sep 2015
155,Jamtara,Jamtara,Wheat,Other,FAQ,1750,1950,1850,04 Mar 2016
156,Jamtara,Jamtara,Wheat,Other,FAQ,1750,1950,1850,07 Mar 2016
157,Jamtara,Jamtara,Wheat,Other,FAQ,1750,1950,1850,11 Mar 2016
158,Jamtara,Jamtara,Wheat,Other,FAQ,1750,1950,1850,13 Feb 2016
159,Jamtara,Jamtara,Wheat,Other,FAQ,1750,1950,1850,13 Mar 2016
160,Jamtara,Jamtara,Wheat,Other,FAQ,1750,1950,1850,13 Nov 2015
161,Jamtara,Jamtara,Wheat,Other,FAQ,1750,1950,1850,16 Dec 2015
162,Jamtara,Jamtara,Wheat,Other,FAQ,1750,1950,1850,21 Dec 2015
163,Jamtara,Jamtara,Wheat,Other,FAQ,1750,1950,1850,26 Oct 2015
164,Jamtara,Jamtara,Wheat,Other,FAQ,1750,1950,1850,28 Oct 2015
165,Jamtara,Jamtara,Wheat,Other,FAQ,1750,1950,1850,30 Oct 2015
166,Jamtara,Jamtara,Wheat,Other,FAQ,1750,1950,1860,31 Dec 2015
167,Jamtara,Jamtara,Wheat,Other,FAQ,1750,1975,1880,31 Oct 2015
168,Jamtara,Jamtara,Wheat,Other,FAQ,1750,2000,1850,19 Feb 2016
169,Jamtara,Jamtara,Wheat,Other,FAQ,1750,2010,1830,09 Nov 2015
170,Jamtara,Jamtara,Wheat,Other,FAQ,1750,2050,1850,11 Sep 2015
171,Jamtara,Jamtara,Wheat,Other,FAQ,1780,1950,1890,02 Jan 2016
172,Jamtara,Jamtara,Wheat,Other,FAQ,1780,1980,1860,02 Nov 2015
173,Jamtara,Jamtara,Wheat,Other,FAQ,1780,1980,1860,27 Nov 2015
174,Jamtara,Jamtara,Wheat,Other,FAQ,1780,1985,1885,12 Sep 2015
175,Jamtara,Jamtara,Wheat,Other,FAQ,1780,2000,1850,29 Nov 2015
176,Jamtara,Jamtara,Wheat,Other,FAQ,1780,2000,1860,06 Dec 2015
177,Jamtara,Jamtara,Wheat,Other,FAQ,1780,2000,1860,10 Dec 2015
178,Jamtara,Jamtara,Wheat,Other,FAQ,1780,2000,1860,11 Dec 2015
179,Jamtara,Jamtara,Wheat,Other,FAQ,1780,2000,1860,11 Nov 2015
180,Jamtara,Jamtara,Wheat,Other,FAQ,1780,2000,1860,20 Dec 2015
181,Jamtara,Jamtara,Wheat,Other,FAQ,1780,2000,1875,17 Dec 2015
182,Jamtara,Jamtara,Wheat,Other,FAQ,1780,2030,1975,13 Sep 2015
183,Jamtara,Jamtara,Wheat,Other,FAQ,1780,2040,1875,05 Sep 2015
184,Jamtara,Jamtara,Wheat,Other,FAQ,1780,2085,1990,17 Sep 2015
185,Jamtara,Jamtara,Wheat,Other,FAQ,1785,1975,1860,10 Oct 2015
186,Jamtara,Jamtara,Wheat,Other,FAQ,1785,1980,1855,14 Dec 2015
187,Jamtara,Jamtara,Wheat,Other,FAQ,1790,2020,1875,10 Sep 2015
188,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,03 Jan 2016
189,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,06 Jan 2016
190,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,06 Nov 2015
191,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,06 Sep 2015
192,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,07 Nov 2015
193,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,11 Jan 2016
194,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,11 Oct 2015
195,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,12 Dec 2015
196,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,12 Feb 2016
197,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,12 Oct 2015
198,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,14 Nov 2015
199,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,15 Nov 2015
200,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,17 Feb 2016
201,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,18 Sep 2015
202,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,19 Nov 2015
203,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,19 Sep 2015
204,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,20 Nov 2015
205,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,20 Sep 2015
206,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,21 Nov 2015
207,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,22 Feb 2016
208,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,23 Sep 2015
209,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,24 Dec 2015
210,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,24 Feb 2016
211,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,24 Sep 2015
212,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,25 Dec 2015
213,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,25 Nov 2015
214,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,25 Sep 2015
215,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,26 Dec 2015
216,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,27 Dec 2015
217,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,27 Sep 2015
218,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2000,1900,30 Dec 2015
219,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2050,1900,04 Sep 2015
220,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2050,1950,05 Dec 2015
221,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2050,1950,05 Oct 2015
222,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2050,1950,07 Dec 2015
223,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2050,1950,16 Sep 2015
224,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2065,1945,09 Sep 2015
225,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2150,1950,03 Dec 2015
226,Jamtara,Jamtara,Wheat,Other,FAQ,1800,2200,2000,02 Dec 2015
227,Jamtara,Jamtara,Wheat,Other,FAQ,1810,2060,1925,23 Nov 2015
228,Jamtara,Jamtara,Wheat,Other,FAQ,1820,2050,1930,13 Dec 2015
229,Jamtara,Jamtara,Wheat,Other,FAQ,1830,2040,1950,26 Nov 2015
230,Jamtara,Jamtara,Wheat,Other,FAQ,1830,2050,1940,18 Nov 2015
231,Jamtara,Jamtara,Wheat,Other,FAQ,1830,2050,1960,28 Nov 2015
232,Jamtara,Jamtara,Wheat,Other,FAQ,1840,2030,1975,08 Nov 2015
233,Jamtara,Jamtara,Wheat,Other,FAQ,1840,2050,1960,09 Dec 2015
234,Jamtara,Jamtara,Wheat,Other,FAQ,1850,2060,1975,14 Oct 2015
235,Jamtara,Jamtara,Wheat,Other,FAQ,1850,2060,1980,28 Sep 2015
236,Jamtara,Jamtara,Wheat,Other,FAQ,1850,2150,2000,21 Feb 2016
237,Jamtara,Jamtara,Wheat,Other,FAQ,1880,2060,1950,09 Oct 2015
238,Jamtara,Jamtara,Wheat,Other,FAQ,1880,2075,1985,30 Sep 2015
239,Jamtara,Jamtara,Wheat,Other,FAQ,1900,2000,1950,15 Oct 2015
240,Jamtara,Jamtara,Wheat,Other,FAQ,1900,2100,2000,02 Oct 2015
241,Jamtara,Jamtara,Wheat,Other,FAQ,1900,2100,2000,03 Oct 2015
242,Jamtara,Jamtara,Wheat,Other,FAQ,1900,2100,2000,04 Oct 2015
243,Jamtara,Jamtara,Wheat,Other,FAQ,1900,2100,2000,14 Sep 2015
244,Jamtara,Jamtara,Wheat,Other,FAQ,1900,2100,2000,23 Oct 2015
245,Jamtara,Jamtara,Wheat,Other,FAQ,1900,2100,2000,25 Oct 2015
