0,1,2,3,4,5,6,7,8,9
1,Hassan,Arasikere,Wheat,Local,FAQ,2441,2675,2500,24 Nov 2021
2,Hassan,Arasikere,Wheat,Local,FAQ,2490,2835,2700,11 Mar 2022
3,Bangalore,Bangalore,Wheat,Local,FAQ,1700,1900,1800,09 Feb 2022
4,Bangalore,Bangalore,Wheat,Local,FAQ,2000,3500,2750,04 Apr 2022
5,Bangalore,Bangalore,Wheat,Local,FAQ,2000,3500,2750,06 Apr 2022
6,Bangalore,Bangalore,Wheat,Local,FAQ,2000,3500,2750,11 Apr 2022
7,Bangalore,Bangalore,Wheat,Local,FAQ,2000,3500,2750,19 Apr 2022
8,Bangalore,Bangalore,Wheat,Local,FAQ,2400,3000,2700,29 Sep 2021
9,Bangalore,Bangalore,Wheat,Local,FAQ,2500,3500,3000,04 Jan 2022
10,Bangalore,Bangalore,Wheat,Local,FAQ,2500,3900,3200,03 Mar 2022
11,Bangalore,Bangalore,Wheat,Local,FAQ,2600,4000,3300,11 May 2022
12,Bangalore,Bangalore,Wheat,Local,FAQ,2600,4000,3300,23 May 2022
13,Bangalore,Bangalore,Wheat,Local,FAQ,2800,3200,3000,02 Dec 2021
14,Bangalore,Bangalore,Wheat,Local,FAQ,2800,3200,3000,03 Dec 2021
15,Bangalore,Bangalore,Wheat,Local,FAQ,2800,3200,3000,18 Dec 2021
16,Bangalore,Bangalore,Wheat,Local,FAQ,2800,3200,3000,21 Dec 2021
17,Bangalore,Bangalore,Wheat,Local,FAQ,3000,3200,3100,06 Aug 2022
18,Bangalore,Bangalore,Wheat,Local,FAQ,3000,3200,3100,08 Jun 2022
19,Bangalore,Bangalore,Wheat,Local,FAQ,3000,3200,3100,22 Jun 2022
20,Bangalore,Bangalore,Wheat,Local,FAQ,3000,3200,3100,25 Jul 2022
21,Bangalore,Bangalore,Wheat,Local,FAQ,3000,3500,3250,12 Aug 2022
22,Bangalore,Bangalore,Wheat,Local,FAQ,3200,3400,3300,18 Mar 2022
23,Bidar,Basava Kalayana,Wheat,Medium,FAQ,2200,2500,2400,16 Aug 2022
24,Bidar,Basava Kalayana,Wheat,Medium,FAQ,2250,2481,2400,06 Aug 2022
25,Bidar,Basava Kalayana,Wheat,Medium,FAQ,2300,2476,2400,22 Jul 2022
26,Bidar,Basava Kalayana,Wheat,Medium,FAQ,2350,2500,2450,10 Jun 2022
27,Bidar,Basava Kalayana,Wheat,Medium,FAQ,2400,2900,2700,02 May 2022
28,Bidar,Basava Kalayana,Wheat,Medium,FAQ,2700,3480,3200,06 Apr 2022
29,Bidar,Basava Kalayana,Wheat,Medium,FAQ,4100,4400,4100,26 Nov 2021
30,Bidar,Basava Kalayana,Wheat,Medium,FAQ,4100,4520,4400,27 Nov 2021
