0,1,2,3,4,5,6,7,8,9
1,Amarawati,Achalpur,Wheat,Other,FAQ,2050,2900,2475,06 Dec 2024
2,Amarawati,Achalpur,Wheat,Other,FAQ,2700,2950,2825,04 Dec 2024
3,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,2600,3100,2850,04 Dec 2024
4,Ahmednagar,Ahmednagar,Wheat,Other,FAQ,2650,3000,2825,05 Dec 2024
5,Latur,Ahmedpur,Wheat,Other,FAQ,2400,3500,3104,05 Dec 2024
6,Latur,Ahmedpur,Wheat,Other,FAQ,2500,3600,2903,06 Dec 2024
7,Latur,Ahmedpur,Wheat,Other,FAQ,2752,2752,2752,07 Dec 2024
8,Latur,Ahmedpur,Wheat,Other,FAQ,3351,3351,3351,04 Dec 2024
9,Jalgaon,Amalner,Wheat,Other,FAQ,2800,3275,3275,06 Dec 2024
10,Jalgaon,Amalner,Wheat,Other,FAQ,2800,3275,3275,07 Dec 2024
11,Jalgaon,Amalner,Wheat,Other,FAQ,2900,3450,3450,04 Dec 2024
12,Amarawati,Amarawati,Wheat,Other,FAQ,2750,3000,2875,06 Dec 2024
13,Amarawati,Amarawati,Wheat,Other,FAQ,2800,3000,2900,04 Dec 2024
14,Amarawati,Amarawati,Wheat,Other,FAQ,2800,3000,2900,05 Dec 2024
15,Amarawati,Amarawati,Wheat,Other,FAQ,2800,3000,2900,07 Dec 2024
16,Latur,Aurad Shahajani,Wheat,Maharashtra 2189,FAQ,3351,3351,3351,05 Dec 2024
17,Pune,Baramati,Wheat,Kalyan,FAQ,2500,2800,2700,05 Dec 2024
18,Pune,Baramati,Wheat,Maharashtra 2189,FAQ,2700,3300,2850,05 Dec 2024
19,Sholapur,Barshi,Wheat,Other,FAQ,2800,3500,2800,06 Dec 2024
20,Sholapur,Barshi,Wheat,Other,FAQ,3200,3500,3200,05 Dec 2024
21,Sholapur,Barshi(Vairag),Wheat,Other,FAQ,2200,2200,2200,04 Dec 2024
22,Bhandara,Bhandara,Wheat,Maharashtra 2189,FAQ,2500,2500,2500,05 Dec 2024
23,Jalana,Bhokardan,Wheat,Other,FAQ,2200,2500,2300,07 Dec 2024
24,Buldhana,BSK Krishi Bazar Private Ltd,Wheat,Other,FAQ,2352,2352,2352,07 Dec 2024
25,Buldhana,Buldhana(Dhad),Wheat,Other,FAQ,2000,2800,2400,08 Dec 2024
26,Jalgaon,Chalisgaon,Wheat,Other,FAQ,2601,2800,2750,04 Dec 2024
27,Amarawati,Chandur Bazar,Wheat,Other,FAQ,2000,2700,2510,05 Dec 2024
28,Amarawati,Chandur Bazar,Wheat,Other,FAQ,2400,2700,2400,04 Dec 2024
29,Amarawati,Chandur Bazar,Wheat,Other,FAQ,2400,2800,2650,06 Dec 2024
30,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,2752,3200,2976,05 Dec 2024
31,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,2852,2852,2852,04 Dec 2024
32,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,2890,3100,2995,07 Dec 2024
33,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Wheat,Other,FAQ,3090,3152,3121,06 Dec 2024
34,Buldhana,Chikali,Wheat,Other,FAQ,1900,3000,2450,07 Dec 2024
35,Buldhana,Chikali,Wheat,Other,FAQ,2100,2900,2500,04 Dec 2024
36,Buldhana,Chikali,Wheat,Other,FAQ,2150,2700,2425,05 Dec 2024
37,Jalgaon,Chopada,Wheat,Other,FAQ,2601,2841,2812,05 Dec 2024
38,Jalgaon,Chopada,Wheat,Other,FAQ,2726,3150,2835,04 Dec 2024
39,Jalgaon,Chopada,Wheat,Other,FAQ,2970,2970,2970,06 Dec 2024
40,Buldhana,Deoulgaon Raja,Wheat,Other,FAQ,2551,2950,2700,04 Dec 2024
41,Buldhana,Deoulgaon Raja,Wheat,Other,FAQ,2800,2800,2800,05 Dec 2024
42,Nashik,Devala,Wheat,Maharashtra 2189,FAQ,2810,3190,2935,06 Dec 2024
43,Nashik,Devala,Wheat,Maharashtra 2189,FAQ,2845,2920,2875,05 Dec 2024
44,Murum,Dharashiv,Wheat,Bansi,FAQ,2300,2300,2300,07 Dec 2024
45,Murum,Dharashiv,Wheat,Bansi,FAQ,3400,3500,3450,06 Dec 2024
46,Dhule,Dhule,Wheat,Other,FAQ,2500,3500,2890,04 Dec 2024
47,Dhule,Dhule,Wheat,Other,FAQ,2751,3500,3000,06 Dec 2024
48,Dhule,Dhule,Wheat,Other,FAQ,2795,3350,2885,05 Dec 2024
49,Dhule,Dhule,Wheat,Other,FAQ,2950,3000,3000,07 Dec 2024
50,Dhule,Dondaicha,Wheat,Other,FAQ,2600,2861,2700,06 Dec 2024
51,Dhule,Dondaicha,Wheat,Other,FAQ,2600,2900,2800,05 Dec 2024
52,Dhule,Dondaicha,Wheat,Other,FAQ,2650,3001,2950,04 Dec 2024
53,Pune,Dound,Wheat,Maharashtra 2189,FAQ,2200,3200,2850,05 Dec 2024
54,Parbhani,Gangakhed,Wheat,Other,FAQ,2400,2800,2500,04 Dec 2024
55,Chattrapati Sambhajinagar,Gangapur,Wheat,Other,FAQ,2880,3200,3155,04 Dec 2024
56,Beed,Gevrai,Wheat,Other,FAQ,2400,3300,2850,05 Dec 2024
57,Beed,Gevrai,Wheat,Other,FAQ,2450,3200,2850,07 Dec 2024
58,Beed,Gevrai,Wheat,Other,FAQ,2500,3370,2940,06 Dec 2024
59,Wardha,Hinganghat,Wheat,Other,FAQ,2650,2860,2750,07 Dec 2024
60,Wardha,Hinganghat,Wheat,Other,FAQ,2675,2800,2750,06 Dec 2024
61,Wardha,Hinganghat,Wheat,Other,FAQ,2740,2800,2770,04 Dec 2024
62,Wardha,Hinganghat,Wheat,Other,FAQ,2750,2850,2800,05 Dec 2024
63,Hingoli,Hingoli,Wheat,Sharbati,FAQ,1900,3300,2600,04 Dec 2024
64,Hingoli,Hingoli,Wheat,Sharbati,FAQ,2580,3100,2840,06 Dec 2024
65,Jalana,Jalana,Wheat,Other,FAQ,2500,3200,2700,05 Dec 2024
66,Jalana,Jalana,Wheat,Other,FAQ,2600,3400,2675,04 Dec 2024
67,Jalana,Jalana,Wheat,Other,FAQ,2600,3400,2750,07 Dec 2024
68,Jalana,Jalana,Wheat,Other,FAQ,2650,2750,2700,06 Dec 2024
69,Ahmednagar,Jamkhed,Wheat,Maharashtra 2189,FAQ,2200,2800,2500,07 Dec 2024
70,Ahmednagar,Jamkhed,Wheat,Other,FAQ,2000,2800,2400,06 Dec 2024
71,Ahmednagar,Jamkhed,Wheat,Other,FAQ,2500,2800,2650,05 Dec 2024
72,Dharashiv(Usmanabad),Kalamb (Dharashiv),Wheat,Maharashtra 2189,FAQ,2275,3061,2876,04 Dec 2024
73,Dharashiv(Usmanabad),Kalamb (Dharashiv),Wheat,Maharashtra 2189,FAQ,2300,3451,2800,05 Dec 2024
74,Thane,Kalyan,Wheat,Sharbati,FAQ,2500,3600,3050,06 Dec 2024
75,Thane,Kalyan,Wheat,Sharbati,FAQ,2600,3500,3050,05 Dec 2024
76,Thane,Kalyan,Wheat,Sharbati,FAQ,2700,3500,3100,04 Dec 2024
77,Chattrapati Sambhajinagar,Kannad,Wheat,Other,FAQ,2500,2600,2550,04 Dec 2024
78,Chattrapati Sambhajinagar,Kannad,Wheat,Other,FAQ,2500,2900,2700,06 Dec 2024
79,Chattrapati Sambhajinagar,Kannad,Wheat,Other,FAQ,2600,3050,2825,07 Dec 2024
80,Chattrapati Sambhajinagar,Kannad,Wheat,Other,FAQ,2600,3100,2850,05 Dec 2024
81,Vashim,Karanja,Wheat,Other,FAQ,2615,2830,2735,04 Dec 2024
82,Vashim,Karanja,Wheat,Other,FAQ,2650,2835,2730,05 Dec 2024
83,Vashim,Karanja,Wheat,Other,FAQ,2750,2845,2765,07 Dec 2024
84,Vashim,Karanja,Wheat,Other,FAQ,2755,2845,2780,06 Dec 2024
85,Ahmednagar,Karjat,Wheat,Other,FAQ,2300,2800,2500,04 Dec 2024
86,Ahmednagar,Karjat,Wheat,Other,FAQ,2500,3000,2750,06 Dec 2024
87,Ahmednagar,Karjat,Wheat,Other,FAQ,2500,3500,2800,07 Dec 2024
88,Ahmednagar,Karjat,Wheat,Other,FAQ,2800,3200,2800,05 Dec 2024
89,Sholapur,Karmala,Wheat,Other,FAQ,2200,3000,2500,05 Dec 2024
90,Sholapur,Karmala,Wheat,Other,FAQ,2311,3200,2711,04 Dec 2024
91,Nagpur,Katol,Wheat,Other,FAQ,2600,2675,2650,05 Dec 2024
92,Nagpur,Katol,Wheat,Other,FAQ,2691,2700,2700,06 Dec 2024
93,Buldhana,Khamgaon,Wheat,Other,FAQ,2600,2700,2650,04 Dec 2024
94,Beed,Kille Dharur,Wheat,Other,FAQ,2200,3800,2951,06 Dec 2024
95,Yavatmal,Kisan Market Yard,Wheat,Other,FAQ,2500,3000,2750,05 Dec 2024
96,Yavatmal,Kisan Market Yard,Wheat,Other,FAQ,2500,3100,2515,06 Dec 2024
97,Ahmednagar,Kopargaon,Wheat,Other,FAQ,2530,3191,2900,05 Dec 2024
98,Ahmednagar,Kopargaon,Wheat,Other,FAQ,2650,3200,3000,07 Dec 2024
99,Ahmednagar,Kopargaon,Wheat,Other,FAQ,2750,3151,3000,04 Dec 2024
100,Ahmednagar,Kopargaon,Wheat,Other,FAQ,2850,3233,3126,06 Dec 2024
101,Sholapur,Kurdwadi(Modnimb),Wheat,Other,FAQ,2451,3000,2700,05 Dec 2024
102,Nashik,Lasalgaon,Wheat,Maharashtra 2189,FAQ,2700,3451,2735,05 Dec 2024
103,Nashik,Lasalgaon,Wheat,Maharashtra 2189,FAQ,2851,3151,3080,04 Dec 2024
104,Nashik,Lasalgaon(Niphad),Wheat,Maharashtra 2189,FAQ,2600,3200,3000,04 Dec 2024
105,Nashik,Lasalgaon(Niphad),Wheat,Maharashtra 2189,FAQ,2611,2851,2751,06 Dec 2024
106,Nashik,Lasalgaon(Niphad),Wheat,Maharashtra 2189,FAQ,2700,2899,2790,07 Dec 2024
107,Chattrapati Sambhajinagar,Lasur Station,Wheat,Other,FAQ,2450,3270,2900,04 Dec 2024
108,Chattrapati Sambhajinagar,Lasur Station,Wheat,Other,FAQ,2600,3175,2900,06 Dec 2024
109,Chattrapati Sambhajinagar,Lasur Station,Wheat,Other,FAQ,2700,3400,2950,05 Dec 2024
110,Buldhana,Lonar,Wheat,Other,FAQ,2500,2651,2575,07 Dec 2024
111,Buldhana,Lonar,Wheat,Other,FAQ,2500,2685,2592,04 Dec 2024
112,Buldhana,Lonar,Wheat,Other,FAQ,2500,2686,2593,06 Dec 2024
113,Buldhana,Lonar,Wheat,Other,FAQ,2500,2700,2600,05 Dec 2024
114,Beed,Majalgaon,Wheat,Other,FAQ,2411,3500,2800,04 Dec 2024
115,Beed,Majalgaon,Wheat,Other,FAQ,2500,3751,3100,05 Dec 2024
116,Nashik,Malegaon,Wheat,Other,FAQ,2000,3200,3052,07 Dec 2024
117,Buldhana,Malkapur,Wheat,Other,FAQ,1890,2985,2675,05 Dec 2024
118,Buldhana,Malkapur,Wheat,Other,FAQ,2625,3160,2720,07 Dec 2024
119,Buldhana,Malkapur,Wheat,Other,FAQ,2655,3240,3065,06 Dec 2024
120,Buldhana,Malkapur,Wheat,Other,FAQ,2725,3225,2800,04 Dec 2024
121,Sholapur,Mangal Wedha,Wheat,Other,FAQ,3400,3600,3410,05 Dec 2024
122,Vashim,Mangrulpeer,Wheat,Kalyan,FAQ,2600,2800,2750,06 Dec 2024
123,Vashim,Mangrulpeer,Wheat,Kalyan,FAQ,2650,2785,2750,05 Dec 2024
124,Vashim,Mangrulpeer,Wheat,Kalyan,FAQ,2650,2800,2750,04 Dec 2024
125,Vashim,Mangrulpeer,Wheat,Maharashtra 2189,FAQ,3005,3005,3005,04 Dec 2024
126,Nashik,Manmad,Wheat,Other,FAQ,2640,2999,2720,05 Dec 2024
127,Nashik,Manmad,Wheat,Other,FAQ,2650,3014,2681,06 Dec 2024
128,Nashik,Manmad,Wheat,Other,FAQ,2699,2785,2700,04 Dec 2024
129,Vashim,Manora,Wheat,Other,FAQ,1900,2710,2305,05 Dec 2024
130,Vashim,Manora,Wheat,Other,FAQ,2700,2700,2700,04 Dec 2024
131,Buldhana,Mehekar,Wheat,Other,FAQ,2000,2700,2400,06 Dec 2024
132,Buldhana,Mehekar,Wheat,Other,FAQ,2000,2700,2500,05 Dec 2024
133,Buldhana,Mehekar,Wheat,Other,FAQ,2000,2700,2500,07 Dec 2024
134,Buldhana,Mehekar,Wheat,Other,FAQ,2000,2800,2600,04 Dec 2024
135,Mumbai,Mumbai,Wheat,Other,FAQ,2800,6000,4400,04 Dec 2024
136,Mumbai,Mumbai,Wheat,Other,FAQ,2800,6000,4400,05 Dec 2024
137,Mumbai,Mumbai,Wheat,Other,FAQ,2800,6000,4400,06 Dec 2024
138,Akola,Murtizapur,Wheat,Other,FAQ,2380,2940,2660,04 Dec 2024
139,Akola,Murtizapur,Wheat,Other,FAQ,2420,2855,2640,07 Dec 2024
140,Nagpur,Nagpur,Wheat,Other,FAQ,2622,3106,2985,04 Dec 2024
141,Nagpur,Nagpur,Wheat,Other,FAQ,2694,3100,3025,06 Dec 2024
142,Nagpur,Nagpur,Wheat,Other,FAQ,3200,3500,3425,07 Dec 2024
143,Nagpur,Nagpur,Wheat,Sharbati,FAQ,3200,3500,3425,04 Dec 2024
144,Nagpur,Nagpur,Wheat,Sharbati,FAQ,3200,3500,3425,07 Dec 2024
145,Nanded,Nanded,Wheat,Sharbati,FAQ,2800,3320,2800,05 Dec 2024
146,Nanded,Nanded,Wheat,Sharbati,FAQ,2800,3320,3125,04 Dec 2024
147,Nanded,Nanded,Wheat,Sharbati,FAQ,2900,3255,3025,06 Dec 2024
148,Nashik,Nandgaon,Wheat,Maharashtra 2189,FAQ,2530,3585,3250,05 Dec 2024
149,Nashik,Nandgaon,Wheat,Maharashtra 2189,FAQ,2730,3200,3050,04 Dec 2024
150,Amarawati,Nandgaon Khandeshwar,Wheat,Other,FAQ,2345,2725,2535,04 Dec 2024
151,Buldhana,Nandura,Wheat,Other,FAQ,2500,2650,2650,05 Dec 2024
152,Buldhana,Nandura,Wheat,Other,FAQ,2505,2660,2660,04 Dec 2024
153,Buldhana,Nandura,Wheat,Other,FAQ,2626,2626,2626,06 Dec 2024
154,Nandurbar,Nandurbar,Wheat,Other,FAQ,2700,2700,2700,04 Dec 2024
155,Nandurbar,Navapur,Wheat,Other,FAQ,2400,2400,2400,05 Dec 2024
156,Ahmednagar,Om Chaitanya Multistate Agro Purpose CoOp Society,Wheat,Other,FAQ,2500,2500,2500,07 Dec 2024
157,Ahmednagar,Om Chaitanya Multistate Agro Purpose CoOp Society,Wheat,Other,FAQ,2600,2900,2800,06 Dec 2024
158,Jalgaon,Pachora,Wheat,Other,FAQ,2500,2811,2621,06 Dec 2024
159,Jalgaon,Pachora,Wheat,Other,FAQ,2500,3061,2800,04 Dec 2024
160,Jalgaon,Pachora,Wheat,Other,FAQ,2521,2600,2561,05 Dec 2024
