0,1,2,3,4,5,6,7,8,9
1,Sundergarh,Bonai,Wheat,Other,FAQ,2015,3000,3000,13 Dec 2022
2,Sundergarh,Bonai,Wheat,Other,FAQ,2015,3000,3000,20 Feb 2023
3,Sundergarh,Bonai,Wheat,Other,FAQ,2015,4000,4000,19 Dec 2022
4,Sundergarh,Bonai,Wheat,Other,FAQ,2125,3000,3000,15 Mar 2023
5,Sundergarh,Bonai,Wheat,Other,FAQ,2125,3000,3000,22 Aug 2023
6,Sundergarh,Bonai,Wheat,Other,FAQ,2125,3000,3000,27 Mar 2023
7,Nowarangpur,Nawarangpur,Wheat,Local,FAQ,2000,2000,2000,14 Aug 2023
8,Sundergarh,Bonai,Wheat,Other,FAQ,2125,3000,3000,05 Aug 2023
9,Sundergarh,Bonai,Wheat,Other,FAQ,2015,3000,2015,21 Jan 2023
10,Sundergarh,Bonai,Wheat,Other,FAQ,2015,3000,3000,19 Sep 2022
11,Sundergarh,Bonai,Wheat,Other,FAQ,2015,3000,3000,21 Nov 2022
12,Sundergarh,Bonai,Wheat,Other,FAQ,2125,3000,3000,18 Apr 2023
13,Sundergarh,Bonai,Wheat,Other,FAQ,2125,3000,3000,23 Mar 2023
14,Sundergarh,Bonai,Wheat,Other,FAQ,2125,3000,3000,31 May 2023
15,Sundergarh,Bonai,Wheat,Other,FAQ,2125,3500,3000,12 Jul 2023
16,Sundergarh,Bonai,Wheat,Other,FAQ,2125,3000,3000,22 May 2023
17,Sundergarh,Bonai,Wheat,Other,FAQ,2125,4000,2125,25 Jul 2023
18,Sundergarh,Bonai,Wheat,Other,FAQ,2125,4000,4000,21 Mar 2023
19,Sundergarh,Bonai,Wheat,Other,FAQ,4000,0,4580,26 Jun 2023
20,Sundergarh,Bonai,Wheat,Other,FAQ,4000,4000,4000,07 Sep 2022
21,Sundergarh,Bonai,Wheat,Other,FAQ,2015,3000,3000,08 Jan 2023
22,Sundergarh,Bonai,Wheat,Other,FAQ,2015,3000,3000,19 Nov 2022
23,Sundergarh,Bonai,Wheat,Other,FAQ,2015,4000,4000,08 Oct 2022
24,Sundergarh,Bonai,Wheat,Other,FAQ,2125,3000,2125,02 Aug 2023
25,Sundergarh,Bonai,Wheat,Other,FAQ,2125,3500,3000,11 May 2023
26,Sundergarh,Bonai,Wheat,Other,FAQ,2125,4000,3000,19 Jun 2023
27,Sundergarh,Bonai,Wheat,Other,FAQ,2015,3000,2015,05 Dec 2022
28,Sundergarh,Bonai,Wheat,Other,FAQ,2125,3000,3000,03 Jun 2023
29,Sundergarh,Bonai,Wheat,Other,FAQ,2125,4000,3000,29 May 2023
30,Sundergarh,Bonai,Wheat,Other,FAQ,2015,3000,3000,05 Nov 2022
31,Sundergarh,Bonai,Wheat,Other,FAQ,2015,3000,3000,28 Feb 2023
32,Sundergarh,Bonai,Wheat,Other,FAQ,2125,3000,3000,07 Jul 2023
33,Sundergarh,Bonai,Wheat,Other,FAQ,2125,3000,3000,13 Jun 2023
34,Sundergarh,Bonai,Wheat,Other,FAQ,4000,4000,4000,22 Dec 2022
35,Sundergarh,Bonai,Wheat,Other,FAQ,2015,3000,2015,03 Feb 2023
36,Sundergarh,Bonai,Wheat,Other,FAQ,2015,3000,3000,23 Feb 2023
