0,1,2,3,4,5,6,7,8,9
1,Fazilka,Abohar,Wheat,Other,FAQ,0,0,1930,21 Jan 2019
2,Fazilka,Abohar,Wheat,Other,FAQ,1750,1750,1750,22 Sep 2018
3,Fazilka,Abohar,Wheat,Other,FAQ,1835.4,1835.4,1835.4,28 Apr 2019
4,Jalandhar,Adampur,Wheat,Other,FAQ,1840,1840,1840,15 May 2019
5,Moga,Ajitwal (Chogawan),Wheat,Other,FAQ,1770,1770,1770,19 Oct 2018
6,Amritsar,Ajnala,Wheat,2329,FAQ,1840,1840,1840,17 May 2019
7,Amritsar,Ajnala (Sudhar),Wheat,2329,FAQ,1840,1840,1840,13 May 2019
8,Amritsar,Ajnala (Sudhar),Wheat,2329,FAQ,1840,1840,1840,26 May 2019
9,Fatehgarh,Amloh,Wheat,147 Best,FAQ,1840,1840,1840,04 May 2019
10,Fatehgarh,Amloh(Gobind Garh Mandi),Wheat,147 Best,FAQ,1840,1840,1840,26 Apr 2019
11,Amritsar,Amritsar,Wheat,Chandausi,FAQ,1840,1845,1840,11 May 2019
12,Amritsar,Amritsar,Wheat,Chandausi,FAQ,1840,1845,1840,23 Apr 2019
13,Amritsar,Amritsar,Wheat,Chandausi,FAQ,1845,1845,1845,28 May 2019
14,Amritsar,Attari,Wheat,Other,FAQ,1840,1845,1840,14 May 2019
15,Moga,Badhni Kalan,Wheat,343,FAQ,1840,1840,1840,04 May 2019
16,Moga,Badhni Kalan,Wheat,343,FAQ,1840,1840,1840,09 May 2019
17,Moga,Baghapurana,Wheat,Other,FAQ,1840,1840,1840,01 May 2019
18,Moga,Baghapurana,Wheat,Other,FAQ,1840,1840,1840,14 May 2019
19,Nawanshahr,Banga (Kataria),Wheat,Other,FAQ,1840,1840,1840,25 Apr 2019
20,Barnala,Barnala,Wheat,Other,FAQ,1840,1840,1840,25 Apr 2019
21,Fatehgarh,Bassi Pathana,Wheat,Other,FAQ,1840,1840,1840,07 May 2019
22,Fatehgarh,Bassi Pathana,Wheat,Other,FAQ,1840,1840,1840,21 Apr 2019
23,Fatehgarh,Bassi Pathana,Wheat,Other,FAQ,1840,1840,1840,22 Apr 2019
24,Fatehgarh,Bassi Pathana,Wheat,Other,FAQ,1840,1840,1840,23 Apr 2019
