0,1,2,3,4,5,6,7,8,9
1,Alwar,Alwar,Wheat,Other,FAQ,2000,2190,2125,04 Apr 2023
2,Alwar,Alwar,Wheat,Other,FAQ,2011,2242,2120,03 Apr 2023
3,Alwar,Alwar,Wheat,Other,FAQ,2175,2230,2225,20 Sep 2022
4,Alwar,Alwar,Wheat,Other,FAQ,2193,2225,2210,10 Jul 2023
5,Alwar,Alwar,Wheat,Other,FAQ,2200,2220,2211,09 Mar 2023
6,Alwar,Alwar,Wheat,Other,FAQ,2200,2243,2235,17 Sep 2022
7,Alwar,Alwar,Wheat,Other,FAQ,2245,2253,2250,14 Sep 2022
8,Alwar,Alwar,Wheat,Other,FAQ,2250,2284,2276,07 Aug 2023
9,Alwar,Alwar,Wheat,Other,FAQ,2260,2284,2275,30 Aug 2023
10,Alwar,Alwar,Wheat,Other,FAQ,2355,2365,2360,26 Oct 2022
11,Alwar,Alwar,Wheat,Other,FAQ,2398,2418,2410,31 Oct 2022
12,Alwar,Alwar,Wheat,Other,FAQ,2550,2615,2605,03 Dec 2022
13,Alwar,Alwar,Wheat,Other,FAQ,2585,2608,2604,15 Dec 2022
14,Alwar,Alwar,Wheat,Other,FAQ,2585,2654,2645,21 Dec 2022
15,Alwar,Alwar,Wheat,Other,FAQ,2656,2728,2715,02 Feb 2023
16,Alwar,Alwar,Wheat,Other,FAQ,2682,2730,2720,01 Feb 2023
17,Alwar,Alwar,Wheat,Other,FAQ,2710,2750,2735,19 Jan 2023
18,Baran,Anta,Wheat,Other,FAQ,1951,2151,2051,18 May 2023
19,Baran,Anta,Wheat,Other,FAQ,2025,2121,2073,25 Apr 2023
20,Baran,Anta,Wheat,Other,FAQ,2030,2060,2045,09 May 2023
21,Baran,Anta,Wheat,Other,FAQ,2030,2140,2085,15 May 2023
22,Baran,Anta,Wheat,Other,FAQ,2031,2151,2091,06 May 2023
23,Baran,Anta,Wheat,Other,FAQ,2076,2080,2078,25 Feb 2023
24,Baran,Anta,Wheat,Other,FAQ,2080,2131,2105,05 Jul 2023
25,Baran,Anta,Wheat,Other,FAQ,2100,2100,2100,03 Mar 2023
26,Baran,Anta,Wheat,Other,FAQ,2156,2175,2165,21 Jun 2023
27,Baran,Anta,Wheat,Other,FAQ,2230,2486,2358,18 Oct 2022
28,Baran,Anta,Wheat,Other,FAQ,2291,2291,2291,23 Aug 2023
29,Baran,Anta,Wheat,Other,FAQ,2301,2301,2301,19 Aug 2023
30,Baran,Anta,Wheat,Other,FAQ,2391,2421,2406,22 Nov 2022
31,Baran,Anta,Wheat,Other,FAQ,2400,2440,2420,07 Nov 2022
32,Baran,Anta,Wheat,Other,FAQ,2400,2451,2425,19 Nov 2022
33,Baran,Anta,Wheat,Other,FAQ,2405,2435,2420,18 Nov 2022
34,Baran,Anta,Wheat,Other,FAQ,2411,2422,2422,01 Nov 2022
35,Baran,Anta,Wheat,Other,FAQ,2656,2656,2656,20 Jan 2023
36,Baran,Anta,Wheat,Other,FAQ,2700,2741,2720,26 Jan 2023
37,Anupgarh,Anupgarh,Wheat,Dara,FAQ,1870,2001,1960,10 Apr 2023
38,Anupgarh,Anupgarh,Wheat,Dara,FAQ,1900,2100,1980,02 May 2023
39,Anupgarh,Anupgarh,Wheat,Dara,FAQ,1950,2091,2000,17 Apr 2023
40,Anupgarh,Anupgarh,Wheat,Dara,FAQ,1950,2130,2031,12 May 2023
41,Anupgarh,Anupgarh,Wheat,Dara,FAQ,1970,2111,2031,11 May 2023
42,Anupgarh,Anupgarh,Wheat,Dara,FAQ,2090,2161,2115,15 Jul 2023
43,Anupgarh,Anupgarh,Wheat,Dara,FAQ,2100,2166,2149,27 Jun 2023
44,Anupgarh,Anupgarh,Wheat,Dara,FAQ,2105,2200,2152,07 Jun 2023
45,Anupgarh,Anupgarh,Wheat,Dara,FAQ,2140,2220,2188,22 Jul 2023
46,Anupgarh,Anupgarh,Wheat,Dara,FAQ,2200,2245,2222,13 Oct 2022
47,Anupgarh,Anupgarh,Wheat,Dara,FAQ,2200,2262,2231,28 Oct 2022
48,Anupgarh,Anupgarh,Wheat,Dara,FAQ,2200,2351,2275,03 Nov 2022
49,Anupgarh,Anupgarh,Wheat,Dara,FAQ,2221,2309,2265,01 Nov 2022
50,Anupgarh,Anupgarh,Wheat,Dara,FAQ,2400,2500,2450,17 Nov 2022
51,Anupgarh,Anupgarh,Wheat,Dara,FAQ,2401,2501,2501,09 Feb 2023
52,Baran,Atru,Wheat,Other,FAQ,2000,2560,2280,19 Apr 2023
53,Baran,Atru,Wheat,Other,FAQ,2020,2271,2145,21 Apr 2023
54,Baran,Atru,Wheat,Other,FAQ,2100,2440,2270,29 May 2023
55,Baran,Atru,Wheat,Other,FAQ,2100,2500,2300,19 May 2023
56,Baran,Atru,Wheat,Other,FAQ,2105,2391,2248,16 Jun 2023
57,Baran,Atru,Wheat,Other,FAQ,2130,2218,2174,21 Sep 2022
58,Baran,Atru,Wheat,Other,FAQ,2131,2441,2286,28 Jun 2023
59,Alwar,Alwar,Wheat,Other,FAQ,1925,2180,2120,13 May 2023
60,Alwar,Alwar,Wheat,Other,FAQ,1950,2071,2040,11 Apr 2023
61,Alwar,Alwar,Wheat,Other,FAQ,1970,2175,2125,14 Apr 2023
62,Alwar,Alwar,Wheat,Other,FAQ,1975,2065,2025,08 Apr 2023
63,Alwar,Alwar,Wheat,Other,FAQ,2050,2217,2085,27 Apr 2023
64,Alwar,Alwar,Wheat,Other,FAQ,2100,2260,2125,09 May 2023
65,Alwar,Alwar,Wheat,Other,FAQ,2117,2370,2160,29 May 2023
66,Alwar,Alwar,Wheat,Other,FAQ,2126,2210,2150,20 Jul 2023
67,Alwar,Alwar,Wheat,Other,FAQ,2161,2225,2200,02 Mar 2023
68,Alwar,Alwar,Wheat,Other,FAQ,2165,2226,2200,18 Feb 2023
69,Alwar,Alwar,Wheat,Other,FAQ,2190,2214,2210,27 Jul 2023
70,Alwar,Alwar,Wheat,Other,FAQ,2190,2225,2215,24 Feb 2023
71,Alwar,Alwar,Wheat,Other,FAQ,2225,2265,2257,16 Aug 2023
72,Alwar,Alwar,Wheat,Other,FAQ,2225,2290,2271,23 Aug 2023
73,Alwar,Alwar,Wheat,Other,FAQ,2240,2378,2260,05 Jun 2023
74,Alwar,Alwar,Wheat,Other,FAQ,2250,2280,2270,01 Oct 2022
75,Alwar,Alwar,Wheat,Other,FAQ,2275,2317,2310,06 Oct 2022
76,Alwar,Alwar,Wheat,Other,FAQ,2300,2354,2345,16 Feb 2023
77,Alwar,Alwar,Wheat,Other,FAQ,2315,2362,2345,27 Mar 2023
78,Alwar,Alwar,Wheat,Other,FAQ,2320,2327,2325,07 Oct 2022
79,Alwar,Alwar,Wheat,Other,FAQ,2540,2570,2565,07 Nov 2022
80,Alwar,Alwar,Wheat,Other,FAQ,2572,2601,2586,08 Feb 2023
81,Alwar,Alwar,Wheat,Other,FAQ,2605,2665,2650,28 Jan 2023
82,Alwar,Alwar,Wheat,Other,FAQ,2698,2753,2745,17 Jan 2023
83,Baran,Anta,Wheat,Other,FAQ,1950,2039,1994,10 May 2023
84,Baran,Anta,Wheat,Other,FAQ,2015,2100,2057,16 Jun 2023
85,Baran,Anta,Wheat,Other,FAQ,2036,2085,2060,14 Jun 2023
86,Baran,Anta,Wheat,Other,FAQ,2118,2161,2139,16 Sep 2022
87,Baran,Anta,Wheat,Other,FAQ,2125,2125,2125,08 Jul 2023
88,Baran,Anta,Wheat,Other,FAQ,2125,2148,2136,27 Jun 2023
89,Baran,Anta,Wheat,Other,FAQ,2125,2150,2137,08 Sep 2022
90,Baran,Anta,Wheat,Other,FAQ,2230,2236,2233,19 Oct 2022
91,Baran,Anta,Wheat,Other,FAQ,2261,2280,2270,28 Oct 2022
92,Baran,Anta,Wheat,Other,FAQ,2422,2438,2430,30 Nov 2022
93,Baran,Anta,Wheat,Other,FAQ,2447,2459,2453,10 Dec 2022
94,Baran,Anta,Wheat,Other,FAQ,2471,2490,2480,10 Jan 2023
95,Baran,Anta,Wheat,Other,FAQ,2561,2656,2608,19 Jan 2023
96,Baran,Anta,Wheat,Other,FAQ,2820,2870,2845,25 Jan 2023
97,Anupgarh,Anupgarh,Wheat,Dara,FAQ,1950,2101,2000,13 Apr 2023
98,Anupgarh,Anupgarh,Wheat,Dara,FAQ,2000,2200,2100,04 Oct 2022
99,Anupgarh,Anupgarh,Wheat,Dara,FAQ,2040,2290,2095,22 May 2023
100,Anupgarh,Anupgarh,Wheat,Dara,FAQ,2075,2126,2112,05 Jul 2023
101,Anupgarh,Anupgarh,Wheat,Dara,FAQ,2090,2140,2128,14 Jul 2023
