0,1,2,3,4,5,6,7,8,9
1,Alwar,Alwar,Wheat,Other,FAQ,2781,2800,2800,04 Dec 2024
2,Alwar,Alwar,Wheat,Other,FAQ,2825,2847,2840,05 Dec 2024
3,Baran,Anta,Wheat,Other,FAQ,2650,2710,2680,04 Dec 2024
4,Baran,Anta,Wheat,Other,FAQ,2751,2831,2791,06 Dec 2024
5,Baran,Anta,Wheat,Other,FAQ,2776,2846,2811,05 Dec 2024
6,Anupgarh,Anupgarh,Wheat,Dara,FAQ,2750,2750,2750,06 Dec 2024
7,Anupgarh,Anupgarh,Wheat,Dara,FAQ,2815,2815,2815,05 Dec 2024
8,Baran,Atru,Wheat,Other,FAQ,2675,2911,2793,05 Dec 2024
9,Baran,Atru,Wheat,Other,FAQ,2705,2870,2787,07 Dec 2024
10,Baran,Atru,Wheat,Other,FAQ,2730,2804,2767,04 Dec 2024
11,Baran,Atru,Wheat,Other,FAQ,2750,2901,2825,06 Dec 2024
12,Jaipur Rural,Bagru,Wheat,Other,FAQ,2700,2800,2750,04 Dec 2024
13,Jaipur Rural,Bagru,Wheat,Other,FAQ,2700,2800,2750,05 Dec 2024
14,Dausa,Bandikui,Wheat,Other,FAQ,2700,2778,2739,04 Dec 2024
15,Dausa,Bandikui,Wheat,Other,FAQ,2710,2752,2731,05 Dec 2024
16,Kotputli- Behror,Bansoor,Wheat,147 Average,FAQ,2800,2855,2820,04 Dec 2024
17,Kotputli- Behror,Bansoor,Wheat,147 Average,FAQ,2825,2900,2875,05 Dec 2024
18,Baran,Baran,Wheat,Other,FAQ,2610,2855,2790,06 Dec 2024
19,Baran,Baran,Wheat,Other,FAQ,2620,2879,2800,07 Dec 2024
20,Baran,Baran,Wheat,Other,FAQ,2630,2950,2826,04 Dec 2024
21,Baran,Baran,Wheat,Other,FAQ,2640,2971,2830,05 Dec 2024
22,Chittorgarh,Barisadri,Wheat,Other,FAQ,2532,3071,2960,04 Dec 2024
23,Alwar,Barodamev,Wheat,Other,FAQ,2915,2918,2916,06 Dec 2024
24,Jaipur Rural,Bassi,Wheat,Other,FAQ,2380,2870,2625,04 Dec 2024
25,Jaipur Rural,Bassi,Wheat,Other,FAQ,2750,2849,2796,05 Dec 2024
26,Jaipur Rural,Bassi,Wheat,Other,FAQ,2790,2816,2803,06 Dec 2024
27,Jaipur Rural,Bassi,Wheat,Other,FAQ,2826,2890,2858,07 Dec 2024
28,Bharatpur,Bharatpur,Wheat,Other,FAQ,2805,2908,2857,04 Dec 2024
29,Bharatpur,Bharatpur,Wheat,Other,FAQ,2810,2918,2864,05 Dec 2024
30,Jhalawar,Bhawani Mandi,Wheat,Other,FAQ,2570,2891,2731,04 Dec 2024
31,Jhalawar,Bhawani Mandi,Wheat,Other,FAQ,2600,2870,2735,06 Dec 2024
32,Jhalawar,Bhawani Mandi,Wheat,Other,FAQ,2701,2872,2787,05 Dec 2024
33,Bhilwara,Bhilwara,Wheat,Other,FAQ,2720,2771,2750,04 Dec 2024
34,Bhilwara,Bhilwara,Wheat,Other,FAQ,2720,2800,2775,05 Dec 2024
35,Bundi,Bundi,Wheat,Other,FAQ,2600,2880,2740,04 Dec 2024
36,Bundi,Bundi,Wheat,Other,FAQ,2725,2850,2788,05 Dec 2024
37,Bundi,Bundi,Wheat,Other,FAQ,2750,2900,2825,06 Dec 2024
38,Jaipur Rural,Chaksu,Wheat,Other,FAQ,2700,2872,2750,06 Dec 2024
39,Baran,Chhabra,Wheat,Other,FAQ,2750,2920,2835,05 Dec 2024
40,Baran,Chhabra,Wheat,Other,FAQ,2846,2931,2888,04 Dec 2024
41,Pratapgarh,Chhotisadri,Wheat,Local,FAQ,2700,2999,2850,04 Dec 2024
42,Pratapgarh,Chhotisadri,Wheat,Local,FAQ,2700,3050,2830,05 Dec 2024
43,Pratapgarh,Chhotisadri,Wheat,Local,FAQ,2776,2987,2861,06 Dec 2024
44,Pratapgarh,Chhotisadri,Wheat,Local,FAQ,2851,2861,2851,07 Dec 2024
45,Jaipur Rural,Chomu (Grain),Wheat,Other,FAQ,2900,2900,2900,04 Dec 2024
46,Jhalawar,Choumahla,Wheat,Other,FAQ,2740,2840,2840,06 Dec 2024
47,Jhalawar,Choumahla,Wheat,Other,FAQ,2760,2760,2760,04 Dec 2024
48,Jhalawar,Choumahla,Wheat,Other,FAQ,2790,2790,2790,05 Dec 2024
49,Dausa,Dausa,Wheat,Other,FAQ,2775,2880,2827,05 Dec 2024
50,Deeg,Deeg,Wheat,Other,FAQ,2800,2845,2815,04 Dec 2024
51,Deeg,Deeg,Wheat,Other,FAQ,2801,2830,2815,06 Dec 2024
52,Deeg,Deeg,Wheat,Other,FAQ,2820,2850,2824,05 Dec 2024
53,Bundi,Dei,Wheat,Other,FAQ,2401,2855,2700,06 Dec 2024
54,Bundi,Dei,Wheat,Other,FAQ,2642,2780,2700,04 Dec 2024
55,Bundi,Dei,Wheat,Other,FAQ,2700,2835,2800,07 Dec 2024
56,Bundi,Dei,Wheat,Other,FAQ,2729,2879,2800,05 Dec 2024
57,Tonk,Deoli,Wheat,Other,FAQ,2700,2830,2765,04 Dec 2024
58,Tonk,Deoli,Wheat,Other,FAQ,2750,2820,2785,05 Dec 2024
59,Tonk,Deoli,Wheat,Other,FAQ,2760,2840,2800,06 Dec 2024
60,Dholpur,Dholpur,Wheat,Other,FAQ,2650,2750,2700,05 Dec 2024
61,Dholpur,Dholpur,Wheat,Other,FAQ,2700,2760,2750,04 Dec 2024
62,Tonk,Dooni,Wheat,147 Average,FAQ,2586,2717,2652,04 Dec 2024
63,Tonk,Dooni,Wheat,147 Average,FAQ,2650,2753,2702,07 Dec 2024
64,Tonk,Dooni,Wheat,147 Average,FAQ,2694,2783,2739,06 Dec 2024
65,Tonk,Dooni,Wheat,147 Average,FAQ,2710,2749,2730,05 Dec 2024
66,Dudu,Dudu,Wheat,147 Average,FAQ,2400,2600,2500,04 Dec 2024
67,Dudu,Dudu,Wheat,147 Average,FAQ,2600,2800,2700,05 Dec 2024
68,Udaipur,Fatehnagar,Wheat,Local,FAQ,2800,2963,2921,06 Dec 2024
69,Udaipur,Fatehnagar,Wheat,Local,FAQ,2800,2980,2900,05 Dec 2024
70,Udaipur,Fatehnagar,Wheat,Local,FAQ,2807,3021,2968,04 Dec 2024
71,Gangapur City,Gangapur City,Wheat,Other,FAQ,2770,2805,2787,06 Dec 2024
72,Anupgarh,Gharsana,Wheat,Other,FAQ,2800,2800,2800,06 Dec 2024
73,Anupgarh,Gharsana,Wheat,Other,FAQ,2845,2845,2845,07 Dec 2024
74,Jhunjhunu,Gudhagorji,Wheat,Other,FAQ,2800,2800,2800,05 Dec 2024
75,Karauli,Hindoun,Wheat,Other,FAQ,2750,2814,2782,04 Dec 2024
76,Karauli,Hindoun,Wheat,Other,FAQ,2825,2860,2843,06 Dec 2024
77,Jhalawar,Iklera,Wheat,Other,FAQ,2600,2850,2725,06 Dec 2024
78,Jhalawar,Iklera,Wheat,Other,FAQ,2600,2860,2730,05 Dec 2024
79,Jhalawar,Iklera,Wheat,Other,FAQ,2600,2880,2740,04 Dec 2024
80,Kota,Itawa,Wheat,Other,FAQ,2750,2895,2822,04 Dec 2024
81,Kota,Itawa,Wheat,Other,FAQ,2807,2929,2868,05 Dec 2024
82,Anupgarh,Jaitsar,Wheat,Other,FAQ,2690,2690,2690,04 Dec 2024
83,Jhalawar,Jhalarapatan,Wheat,Other,FAQ,2600,2800,2700,04 Dec 2024
84,Jhalawar,Jhalarapatan,Wheat,Other,FAQ,2600,2800,2700,05 Dec 2024
85,Jhalawar,Jhalarapatan,Wheat,Other,FAQ,2600,2800,2700,06 Dec 2024
86,Deeg,Kama,Wheat,Other,FAQ,2830,2830,2830,06 Dec 2024
87,Deeg,Kama,Wheat,Other,FAQ,2860,2860,2860,05 Dec 2024
88,Baran,Kawai Salpura (Atru),Wheat,Other,FAQ,2730,2888,2809,05 Dec 2024
89,Baran,Kawai Salpura (Atru),Wheat,Other,FAQ,2730,2890,2810,04 Dec 2024
90,Baran,Kawai Salpura (Atru),Wheat,Other,FAQ,2742,2862,2802,06 Dec 2024
91,Baran,Kawai Salpura (Atru),Wheat,Other,FAQ,2751,2890,2821,07 Dec 2024
92,Kekri,Kekri,Wheat,Other,FAQ,2411,2850,2800,06 Dec 2024
93,Kekri,Kekri,Wheat,Other,FAQ,2600,2851,2700,05 Dec 2024
94,Bundi,Keshoraipatan,Wheat,Other,FAQ,2000,2891,2875,05 Dec 2024
95,Bundi,Keshoraipatan,Wheat,Other,FAQ,2700,2819,2810,04 Dec 2024
96,Khairthal Tijara,Khairthal,Wheat,Other,FAQ,2700,2775,2730,04 Dec 2024
97,Khairthal Tijara,Khairthal,Wheat,Other,FAQ,2700,2775,2730,05 Dec 2024
98,Jhalawar,Khanpur,Wheat,Other,FAQ,2700,2899,2785,05 Dec 2024
99,Jhalawar,Khanpur,Wheat,Other,FAQ,2702,2911,2795,07 Dec 2024
100,Jhalawar,Khanpur,Wheat,Other,FAQ,2788,2919,2850,06 Dec 2024
101,Jhalawar,Khanpur,Wheat,Other,FAQ,2801,2943,2875,04 Dec 2024
102,Kota,Kota,Wheat,Other,FAQ,2701,2881,2775,04 Dec 2024
103,Kota,Kota,Wheat,Other,FAQ,2751,2900,2800,05 Dec 2024
104,Kota,Kota,Wheat,Other,FAQ,2821,2955,2900,06 Dec 2024
105,Ganganagar,Lalgarh Jatan,Wheat,Other,FAQ,2651,2651,2651,06 Dec 2024
106,Ganganagar,Lalgarh Jatan,Wheat,Other,FAQ,2726,2761,2734,05 Dec 2024
107,Dausa,Lalsot,Wheat,Other,FAQ,2600,2820,2700,06 Dec 2024
108,Dausa,Lalsot,Wheat,Other,FAQ,2625,2800,2675,04 Dec 2024
109,Dausa,Lalsot,Wheat,Other,FAQ,2650,2800,2702,05 Dec 2024
110,Ajmer,Madanganj Kishangarh,Wheat,Other,FAQ,2740,2926,2821,06 Dec 2024
111,Dausa,Madanganj Mahuwa,Wheat,Other,FAQ,2775,2808,2790,05 Dec 2024
112,Dausa,Madanganj Mandawar,Wheat,Other,FAQ,2600,2777,2740,06 Dec 2024
113,Dausa,Madanganj Mandawar,Wheat,Other,FAQ,2710,2743,2736,04 Dec 2024
114,Dausa,Madanganj Mandawar,Wheat,Other,FAQ,2750,2789,2786,05 Dec 2024
115,Tonk,Malpura,Wheat,Other,FAQ,2705,2715,2710,04 Dec 2024
116,Tonk,Malpura,Wheat,Other,FAQ,2732,2749,2740,05 Dec 2024
117,Tonk,Malpura,Wheat,Other,FAQ,2785,2796,2790,07 Dec 2024
118,Tonk,Malpura,Wheat,Other,FAQ,2807,2817,2815,06 Dec 2024
119,Dausa,Mandawari,Wheat,Other,FAQ,2726,2770,2765,04 Dec 2024
120,Dausa,Mandawari,Wheat,Other,FAQ,2746,2800,2780,05 Dec 2024
121,Dausa,Mandawari,Wheat,Other,FAQ,2750,2811,2790,06 Dec 2024
122,Jhalawar,Manohar Thana,Wheat,147 Average,FAQ,2600,2740,2670,07 Dec 2024
123,Jhalawar,Manohar Thana,Wheat,147 Average,FAQ,2600,2750,2675,04 Dec 2024
124,Jhalawar,Manohar Thana,Wheat,147 Average,FAQ,2600,2750,2675,05 Dec 2024
125,Jhalawar,Manohar Thana,Wheat,147 Average,FAQ,2600,2750,2675,06 Dec 2024
126,Bharatpur,Nadwai,Wheat,Other,FAQ,2774,2832,2821,04 Dec 2024
127,Bharatpur,Nadwai,Wheat,Other,FAQ,2841,2900,2861,05 Dec 2024
128,Baran,Nahargarh,Wheat,Other,FAQ,2600,2750,2690,04 Dec 2024
129,Chittorgarh,Nimbahera,Wheat,Other,FAQ,2760,3161,2960,04 Dec 2024
130,Chittorgarh,Nimbahera,Wheat,Other,FAQ,2800,3090,2900,05 Dec 2024
131,Chittorgarh,Nimbahera,Wheat,Other,FAQ,2800,3200,3000,06 Dec 2024
132,Chittorgarh,Nimbahera,Wheat,Other,FAQ,2850,3200,3000,07 Dec 2024
133,Tonk,Niwai,Wheat,Other,FAQ,2700,2892,2885,05 Dec 2024
134,Tonk,Niwai,Wheat,Other,FAQ,2721,2780,2750,04 Dec 2024
135,Tonk,Niwai,Wheat,Other,FAQ,2800,2856,2856,06 Dec 2024
