0,1,2,3,4,5,6,7,8,9
1,Adilabad,Bhainsa,Wheat,Deshi,FAQ,1601,1640,1638,21 Mar 2017
2,Adilabad,Bhainsa,Wheat,Local,FAQ,1525,1625,1606,24 Mar 2017
3,Adilabad,Bhainsa,Wheat,Local,FAQ,1642,1683,1683,22 Jun 2017
4,Adilabad,Bhainsa,Wheat,Local,FAQ,1722,1722,1722,07 Jul 2017
5,Adilabad,Bhainsa,Wheat,Other,FAQ,1716,1716,1716,01 Jul 2017
6,Medak,Zaheerabad,Wheat,Local,Medium,1550,1550,1550,03 Jul 2017
7,Medak,Zaheerabad,Wheat,Local,Medium,1550,1550,1550,17 May 2017
8,Adilabad,Bhainsa,Wheat,Deshi,FAQ,1649,1671,1671,14 Jun 2017
9,Adilabad,Bhainsa,Wheat,Local,FAQ,1587,1655,1651,06 Jun 2017
10,Adilabad,Bhainsa,Wheat,Local,FAQ,1683,1683,1683,28 Jun 2017
11,Adilabad,Bhainsa,Wheat,Other,FAQ,1629,1756,1756,21 Jul 2017
12,Nizamabad,Gandhari,Wheat,Local,Medium,1500,1500,1500,15 Jul 2017
13,Medak,Jogipet,Wheat,Local,FAQ,1450,1450,1450,26 May 2017
14,Medak,Jogipet,Wheat,Deshi,FAQ,1905,1905,1905,02 Apr 2017
15,Adilabad,Bhainsa,Wheat,Deshi,FAQ,1611,1673,1635,15 Mar 2017
16,Adilabad,Bhainsa,Wheat,Deshi,FAQ,1835,1835,1835,08 Feb 2017
17,Adilabad,Bhainsa,Wheat,Local,FAQ,1501,1665,1621,04 Apr 2017
18,Adilabad,Bhainsa,Wheat,Local,FAQ,1611,1650,1627,24 Apr 2017
19,Adilabad,Bhainsa,Wheat,Local,FAQ,1618,1717,1628,22 Mar 2017
20,Adilabad,Bhainsa,Wheat,Local,FAQ,1628,1679,1652,10 Jun 2017
21,Adilabad,Bhainsa,Wheat,Local,FAQ,1637,1652,1648,16 May 2017
22,Adilabad,Bhainsa,Wheat,Local,FAQ,1666,1666,1666,03 Jun 2017
23,Medak,Zaheerabad,Wheat,Local,Medium,1700,1700,1700,19 Dec 2016
24,Adilabad,Bhainsa,Wheat,Deshi,FAQ,1636,1703,1651,16 Mar 2017
25,Adilabad,Bhainsa,Wheat,Local,FAQ,1592,1699,1619,08 Apr 2017
26,Adilabad,Bhainsa,Wheat,Local,FAQ,1632,1664,1655,24 May 2017
27,Adilabad,Bhainsa,Wheat,Local,FAQ,1643,1660,1655,17 May 2017
28,Adilabad,Bhainsa,Wheat,Local,FAQ,1659,1659,1659,31 Aug 2017
29,Adilabad,Bhainsa,Wheat,Local,FAQ,1659,1662,1662,20 May 2017
30,Adilabad,Bhainsa,Wheat,Local,FAQ,1769,1769,1769,22 Jul 2017
31,Adilabad,Bhainsa,Wheat,Other,FAQ,1799,1799,1799,18 Aug 2017
32,Nizamabad,Nizamabad,Wheat,Bansi,Medium,1525,1525,1525,13 Apr 2017
33,Adilabad,Bhainsa,Wheat,Deshi,FAQ,1582,1643,1631,27 Mar 2017
34,Adilabad,Bhainsa,Wheat,Local,FAQ,1660,1661,1661,01 Jun 2017
35,Adilabad,Bhainsa,Wheat,Local,FAQ,1719,1719,1719,29 Jun 2017
36,Adilabad,Bhainsa,Wheat,Local,FAQ,1719,1729,1719,11 Jul 2017
37,Adilabad,Bhainsa,Wheat,Other,FAQ,1756,1756,1756,20 Jul 2017
38,Medak,Jogipet,Wheat,Local,FAQ,1570,1570,1570,25 Apr 2017
39,Adilabad,Bhainsa,Wheat,Local,FAQ,1580,1666,1636,31 May 2017
40,Adilabad,Bhainsa,Wheat,Local,FAQ,1622,1726,1661,19 Apr 2017
