0,1,2,3,4,5,6,7,8,9
1,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1525,1525,1525,04 May 2016
2,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1525,1525,1525,08 May 2016
3,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1525,1525,1525,11 Aug 2016
4,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1525,1525,1525,29 Jun 2016
5,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1550,1550,1550,15 May 2016
6,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1550,1550,1550,25 May 2016
7,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1550,1560,1556,20 Apr 2016
8,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1560,1560,1560,18 May 2016
9,UdhamSinghNagar,Bazpur,Wheat,Other,FAQ,1570,1570,1570,22 Apr 2016
10,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Wheat,Other,FAQ,1500,1550,1525,27 Mar 2016
11,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Wheat,Other,FAQ,1525,1540,1530,14 May 2016
12,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Wheat,Other,FAQ,1525,1575,1550,19 Mar 2016
13,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Wheat,Other,FAQ,1550,1570,1560,17 Jun 2016
14,Dehradoon,Dehradoon,Wheat,Other,FAQ,1480,2600,2000,02 Mar 2016
15,UdhamSinghNagar,Gadarpur,Wheat,Other,FAQ,1421,1421,1421,02 Sep 2015
16,UdhamSinghNagar,Gadarpur,Wheat,Other,FAQ,1421,1421,1421,06 Sep 2015
17,UdhamSinghNagar,Gadarpur,Wheat,Other,FAQ,1421,1486,1454,10 Sep 2015
18,UdhamSinghNagar,Gadarpur,Wheat,Other,FAQ,1450,1450,1450,02 Dec 2015
19,UdhamSinghNagar,Gadarpur,Wheat,Other,FAQ,1450,1450,1450,04 Dec 2015
20,UdhamSinghNagar,Gadarpur,Wheat,Other,FAQ,1450,1450,1450,04 Nov 2015
21,UdhamSinghNagar,Gadarpur,Wheat,Other,FAQ,1450,1450,1450,05 Dec 2015
22,UdhamSinghNagar,Gadarpur,Wheat,Other,FAQ,1450,1450,1450,15 Sep 2015
