0,1,2,3,4,5,6,7,8,9
1,Auraiya,Achalda,Wheat,Dara,FAQ,2350,2550,2450,02 Sep 2024
2,Auraiya,Achalda,Wheat,Dara,FAQ,2400,2500,2420,13 Jul 2024
3,Auraiya,Achalda,Wheat,Dara,FAQ,2500,2600,2550,03 Sep 2024
4,Auraiya,Achalda,Wheat,Dara,FAQ,2500,2600,2560,10 Sep 2024
5,Auraiya,Achalda,Wheat,Dara,FAQ,2560,2700,2660,27 Sep 2024
6,Auraiya,Achalda,Wheat,Dara,FAQ,2600,2800,2750,22 Oct 2024
7,Auraiya,Achalda,Wheat,Dara,FAQ,2600,2850,2730,17 Oct 2024
8,Auraiya,Achalda,Wheat,Dara,FAQ,2650,2750,2700,08 Oct 2024
9,Auraiya,Achalda,Wheat,Dara,FAQ,2700,2800,2750,28 Oct 2024
10,Auraiya,Achalda,Wheat,Dara,FAQ,2700,2850,2770,01 Nov 2024
11,Auraiya,Achalda,Wheat,Dara,FAQ,2700,2900,2800,29 Nov 2024
12,Agra,Achnera,Wheat,Dara,FAQ,2400,2570,2480,29 Jul 2024
13,Agra,Achnera,Wheat,Dara,FAQ,2450,2650,2550,25 Aug 2024
14,Agra,Achnera,Wheat,Dara,FAQ,2540,2700,2620,16 Sep 2024
15,Agra,Achnera,Wheat,Dara,FAQ,2700,2840,2800,20 Oct 2024
16,Agra,Achnera,Wheat,Dara,FAQ,2770,2860,2830,08 Nov 2024
17,Agra,Achnera,Wheat,Dara,FAQ,2800,2930,2870,11 Nov 2024
18,Agra,Achnera,Wheat,Dara,FAQ,2860,2940,2900,18 Nov 2024
19,Agra,Agra,Wheat,Dara,FAQ,2420,2520,2450,01 Jul 2024
20,Agra,Agra,Wheat,Dara,FAQ,2450,2510,2475,27 Jul 2024
21,Agra,Agra,Wheat,Dara,FAQ,2450,2520,2475,23 Jul 2024
22,Agra,Agra,Wheat,Dara,FAQ,2450,2530,2470,18 Jul 2024
23,Agra,Agra,Wheat,Dara,FAQ,2470,2550,2490,10 Aug 2024
24,Agra,Agra,Wheat,Dara,FAQ,2590,2680,2610,07 Sep 2024
25,Agra,Agra,Wheat,Dara,FAQ,2600,2700,2640,26 Sep 2024
26,Agra,Agra,Wheat,Dara,FAQ,2750,2810,2770,19 Oct 2024
27,Agra,Agra,Wheat,Dara,FAQ,2760,2810,2780,18 Oct 2024
28,Agra,Agra,Wheat,Dara,FAQ,2770,2820,2780,21 Oct 2024
29,Agra,Agra,Wheat,Dara,FAQ,2850,2950,2870,08 Nov 2024
30,Agra,Agra,Wheat,Dara,FAQ,2860,2910,2880,20 Nov 2024
31,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2605,2633,2615,24 Sep 2024
32,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2790,2810,2800,30 Nov 2024
33,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2810,2838,2825,22 Oct 2024
34,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2850,2888,2860,07 Nov 2024
35,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2850,2889,2870,17 Nov 2024
36,Prayagraj,Ajuha,Wheat,Dara,FAQ,2390,2460,2430,06 Aug 2024
37,Prayagraj,Ajuha,Wheat,Dara,FAQ,2400,2450,2430,30 Jul 2024
38,Prayagraj,Ajuha,Wheat,Dara,FAQ,2480,2550,2520,22 Aug 2024
39,Prayagraj,Ajuha,Wheat,Dara,FAQ,2480,2550,2520,28 Aug 2024
40,Prayagraj,Ajuha,Wheat,Dara,FAQ,2600,2680,2650,05 Oct 2024
41,Prayagraj,Ajuha,Wheat,Dara,FAQ,2640,2700,2680,08 Oct 2024
42,Prayagraj,Ajuha,Wheat,Dara,FAQ,2660,2730,2700,18 Oct 2024
43,Prayagraj,Ajuha,Wheat,Dara,FAQ,2670,2750,2720,02 Dec 2024
44,Prayagraj,Ajuha,Wheat,Dara,FAQ,2700,2780,2750,04 Nov 2024
45,Prayagraj,Ajuha,Wheat,Dara,FAQ,2740,2810,2780,22 Nov 2024
46,Prayagraj,Ajuha,Wheat,Dara,FAQ,2760,2830,2800,21 Nov 2024
47,Ambedkarnagar,Akbarpur,Wheat,Dara,FAQ,2380,2480,2430,20 Aug 2024
48,Ambedkarnagar,Akbarpur,Wheat,Dara,FAQ,2380,2500,2440,17 Aug 2024
49,Ambedkarnagar,Akbarpur,Wheat,Dara,FAQ,2380,2500,2440,20 Jul 2024
50,Ambedkarnagar,Akbarpur,Wheat,Dara,FAQ,2400,2480,2450,29 Aug 2024
51,Ambedkarnagar,Akbarpur,Wheat,Dara,FAQ,2400,2500,2440,26 Jul 2024
52,Ambedkarnagar,Akbarpur,Wheat,Dara,FAQ,2440,2580,2500,27 Sep 2024
53,Ambedkarnagar,Akbarpur,Wheat,Dara,FAQ,2450,2550,2500,02 Sep 2024
54,Ambedkarnagar,Akbarpur,Wheat,Dara,FAQ,2480,2600,2540,28 Sep 2024
55,Ambedkarnagar,Akbarpur,Wheat,Dara,FAQ,2500,2650,2560,04 Oct 2024
56,Auraiya,Achalda,Wheat,Dara,FAQ,2300,2500,2430,27 Jul 2024
57,Auraiya,Achalda,Wheat,Dara,FAQ,2350,2500,2420,12 Jul 2024
58,Auraiya,Achalda,Wheat,Dara,FAQ,2500,2592,2560,27 Aug 2024
59,Auraiya,Achalda,Wheat,Dara,FAQ,2500,2600,2550,23 Aug 2024
60,Auraiya,Achalda,Wheat,Dara,FAQ,2700,2840,2770,05 Nov 2024
61,Auraiya,Achalda,Wheat,Dara,FAQ,2700,2890,2780,27 Nov 2024
62,Auraiya,Achalda,Wheat,Dara,FAQ,2700,2890,2800,11 Nov 2024
63,Auraiya,Achalda,Wheat,Dara,FAQ,2700,2890,2800,15 Nov 2024
64,Auraiya,Achalda,Wheat,Dara,FAQ,2700,2890,2800,30 Nov 2024
65,Auraiya,Achalda,Wheat,Dara,FAQ,2700,2900,2810,19 Nov 2024
66,Agra,Achnera,Wheat,Dara,FAQ,2400,2550,2450,03 Jul 2024
67,Agra,Achnera,Wheat,Dara,FAQ,2400,2600,2520,15 Aug 2024
68,Agra,Achnera,Wheat,Dara,FAQ,2700,2840,2780,18 Oct 2024
69,Agra,Agra,Wheat,Dara,FAQ,2450,2520,2475,02 Aug 2024
70,Agra,Agra,Wheat,Dara,FAQ,2460,2520,2480,26 Jul 2024
71,Agra,Agra,Wheat,Dara,FAQ,2480,2550,2500,09 Aug 2024
72,Agra,Agra,Wheat,Dara,FAQ,2500,2580,2525,20 Aug 2024
73,Agra,Agra,Wheat,Dara,FAQ,2540,2600,2550,27 Aug 2024
74,Agra,Agra,Wheat,Dara,FAQ,2540,2610,2560,26 Aug 2024
75,Agra,Agra,Wheat,Dara,FAQ,2680,2800,2710,04 Oct 2024
76,Agra,Agra,Wheat,Dara,FAQ,2720,2800,2740,15 Oct 2024
77,Agra,Agra,Wheat,Dara,FAQ,2780,2830,2790,04 Nov 2024
78,Agra,Agra,Wheat,Dara,FAQ,2780,2840,2800,05 Nov 2024
79,Agra,Agra,Wheat,Dara,FAQ,2850,2900,2870,02 Dec 2024
80,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2440,2460,2450,12 Jul 2024
81,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2500,2525,2510,04 Aug 2024
82,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2510,2533,2520,05 Aug 2024
83,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2520,2556,2530,07 Aug 2024
84,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2605,2616,2610,15 Sep 2024
85,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2800,2810,2805,14 Oct 2024
86,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2800,2840,2820,04 Nov 2024
87,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2810,2833,2820,19 Oct 2024
88,Jalaun (Orai),Ait,Wheat,Dara,FAQ,2830,2840,2835,30 Oct 2024
89,Prayagraj,Ajuha,Wheat,Dara,FAQ,2360,2430,2400,10 Jul 2024
90,Prayagraj,Ajuha,Wheat,Dara,FAQ,2400,2465,2440,07 Aug 2024
91,Prayagraj,Ajuha,Wheat,Dara,FAQ,2460,2530,2500,27 Aug 2024
92,Prayagraj,Ajuha,Wheat,Dara,FAQ,2500,2560,2530,03 Sep 2024
93,Prayagraj,Ajuha,Wheat,Dara,FAQ,2510,2580,2550,27 Sep 2024
94,Prayagraj,Ajuha,Wheat,Dara,FAQ,2660,2730,2700,10 Oct 2024
95,Prayagraj,Ajuha,Wheat,Dara,FAQ,2720,2800,2760,23 Nov 2024
96,Ambedkarnagar,Akbarpur,Wheat,Dara,FAQ,2350,2450,2410,09 Jul 2024
97,Ambedkarnagar,Akbarpur,Wheat,Dara,FAQ,2360,2500,2410,08 Aug 2024
98,Ambedkarnagar,Akbarpur,Wheat,Dara,FAQ,2360,2500,2420,13 Jul 2024
99,Ambedkarnagar,Akbarpur,Wheat,Dara,FAQ,2700,2790,2780,14 Nov 2024
100,Etah,Aliganj,Wheat,Dara,FAQ,2300,2315,2305,07 Jul 2024
101,Etah,Aliganj,Wheat,Dara,FAQ,2300,2400,2350,28 Aug 2024
102,Etah,Aliganj,Wheat,Dara,FAQ,2450,2500,2455,06 Oct 2024
103,Etah,Aliganj,Wheat,Dara,FAQ,2450,2500,2475,10 Sep 2024
104,Etah,Aliganj,Wheat,Dara,FAQ,2500,2600,2550,13 Oct 2024
105,Etah,Aliganj,Wheat,Dara,FAQ,2600,2615,2605,06 Nov 2024
106,Etah,Aliganj,Wheat,Dara,FAQ,2600,2650,2605,05 Nov 2024
107,Etah,Aliganj,Wheat,Dara,FAQ,2600,2655,2625,30 Oct 2024
108,Aligarh,Aligarh,Wheat,Dara,FAQ,2420,2440,2430,29 Jul 2024
109,Aligarh,Aligarh,Wheat,Dara,FAQ,2440,2480,2460,05 Jul 2024
110,Aligarh,Aligarh,Wheat,Dara,FAQ,2520,2550,2540,14 Aug 2024
111,Auraiya,Achalda,Wheat,Dara,FAQ,2300,2500,2450,08 Aug 2024
112,Auraiya,Achalda,Wheat,Dara,FAQ,2400,2500,2420,01 Jul 2024
113,Auraiya,Achalda,Wheat,Dara,FAQ,2400,2500,2450,07 Aug 2024
114,Auraiya,Achalda,Wheat,Dara,FAQ,2400,2500,2450,09 Aug 2024
115,Auraiya,Achalda,Wheat,Dara,FAQ,2450,2620,2570,29 Aug 2024
116,Auraiya,Achalda,Wheat,Dara,FAQ,2500,2600,2550,26 Aug 2024
117,Auraiya,Achalda,Wheat,Dara,FAQ,2500,2600,2560,05 Sep 2024
