0,1,2,3,4,5,6,7,8,9
1,Auraiya,Achalda,Wheat,Dara,FAQ,2100,2150,2125,05 May 2023
2,Auraiya,Achalda,Wheat,Dara,FAQ,2100,2150,2130,08 May 2023
3,Auraiya,Achalda,Wheat,Dara,FAQ,2100,2300,2200,27 May 2023
4,Auraiya,Achalda,Wheat,Dara,FAQ,2120,2320,2220,22 Jun 2023
5,Auraiya,Achalda,Wheat,Dara,FAQ,2125,2250,2200,25 May 2023
6,Auraiya,Achalda,Wheat,Dara,FAQ,2150,2290,2250,26 Jun 2023
7,Auraiya,Achalda,Wheat,Dara,FAQ,2200,2300,2230,11 Jul 2023
8,Auraiya,Achalda,Wheat,Dara,FAQ,2200,2350,2290,28 Sep 2022
9,Auraiya,Achalda,Wheat,Dara,FAQ,2200,2350,2300,27 Mar 2023
10,Auraiya,Achalda,Wheat,Dara,FAQ,2400,2560,2500,11 Feb 2023
11,Auraiya,Achalda,Wheat,Dara,FAQ,2400,2600,2550,14 Nov 2022
12,Auraiya,Achalda,Wheat,Dara,FAQ,2500,2560,2520,21 Nov 2022
13,Auraiya,Achalda,Wheat,Dara,FAQ,2500,2590,2550,25 Nov 2022
14,Auraiya,Achalda,Wheat,Dara,FAQ,2500,2600,2550,09 Dec 2022
15,Auraiya,Achalda,Wheat,Dara,FAQ,2500,2600,2560,09 Feb 2023
16,Auraiya,Achalda,Wheat,Dara,FAQ,2500,2600,2570,01 Feb 2023
17,Agra,Achnera,Wheat,Dara,FAQ,2200,2280,2240,19 Jul 2023
18,Agra,Achnera,Wheat,Dara,FAQ,2250,2350,2310,30 Sep 2022
19,Agra,Agra,Wheat,Dara,FAQ,2140,2180,2160,25 Apr 2023
20,Agra,Agra,Wheat,Dara,FAQ,2180,2230,2210,20 May 2023
21,Agra,Agra,Wheat,Dara,FAQ,2200,2250,2220,18 May 2023
22,Agra,Agra,Wheat,Dara,FAQ,2220,2260,2240,19 Sep 2022
23,Agra,Agra,Wheat,Dara,FAQ,2220,2270,2250,10 Apr 2023
24,Agra,Agra,Wheat,Dara,FAQ,2230,2300,2270,25 Jul 2023
25,Agra,Agra,Wheat,Dara,FAQ,2240,2280,2260,08 Apr 2023
26,Agra,Agra,Wheat,Dara,FAQ,2250,2320,2290,22 Jul 2023
27,Agra,Agra,Wheat,Dara,FAQ,2250,2340,2290,18 Jul 2023
28,Agra,Agra,Wheat,Dara,FAQ,2300,2340,2320,12 Jun 2023
29,Agra,Agra,Wheat,Dara,FAQ,2300,2350,2325,12 Sep 2022
30,Agra,Agra,Wheat,Dara,FAQ,2300,2350,2325,16 Jun 2023
31,Agra,Agra,Wheat,Dara,FAQ,2300,2350,2330,15 Jun 2023
32,Agra,Agra,Wheat,Dara,FAQ,2320,2380,2360,07 Sep 2022
33,Agra,Agra,Wheat,Dara,FAQ,2340,2380,2360,26 Sep 2022
34,Agra,Agra,Wheat,Dara,FAQ,2400,2440,2415,17 Oct 2022
35,Agra,Agra,Wheat,Dara,FAQ,2450,2550,2500,23 Feb 2023
36,Agra,Agra,Wheat,Dara,FAQ,2610,2660,2640,26 Nov 2022
37,Agra,Agra,Wheat,Dara,FAQ,2620,2670,2650,22 Nov 2022
38,Agra,Agra,Wheat,Dara,FAQ,2740,2790,2765,06 Jan 2023
39,Agra,Agra,Wheat,Dara,FAQ,2820,2860,2840,03 Feb 2023
40,Mirzapur,Ahirora,Wheat,Dara,FAQ,1980,2180,2060,01 Sep 2022
41,Mirzapur,Ahirora,Wheat,Dara,FAQ,2125,2125,2125,09 Jun 2023
42,Mirzapur,Ahirora,Wheat,Dara,FAQ,2125,2125,2125,11 Apr 2023
43,Mirzapur,Ahirora,Wheat,Dara,FAQ,2125,2125,2125,21 Apr 2023
44,Mirzapur,Ahirora,Wheat,Dara,FAQ,2125,2125,2125,23 Apr 2023
45,Mirzapur,Ahirora,Wheat,Dara,FAQ,2140,2350,2240,02 Apr 2023
46,Mirzapur,Ahirora,Wheat,Dara,FAQ,2150,2380,2270,11 Oct 2022
47,Mirzapur,Ahirora,Wheat,Dara,FAQ,2200,2350,2280,24 Jun 2023
48,Mirzapur,Ahirora,Wheat,Dara,FAQ,2200,2400,2300,18 Jul 2023
49,Mirzapur,Ahirora,Wheat,Dara,FAQ,2200,2400,2310,29 Aug 2023
50,Mirzapur,Ahirora,Wheat,Dara,FAQ,2280,2480,2380,17 Nov 2022
51,Mirzapur,Ahirora,Wheat,Dara,FAQ,2400,2580,2480,09 Mar 2023
52,Mirzapur,Ahirora,Wheat,Dara,FAQ,2400,2600,2500,05 Mar 2023
