,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,01 Apr 2022,2022,Apr,1,2022-04-01
1,1.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,01 Feb 2022,2022,Feb,1,2022-02-01
2,2.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,01 Mar 2022,2022,Mar,1,2022-03-01
3,3.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,01 Sep 2022,2022,Sep,1,2022-09-01
4,4.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,02 Feb 2022,2022,Feb,2,2022-02-02
5,5.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,02 Mar 2022,2022,Mar,2,2022-03-02
6,6.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,03 Feb 2022,2022,Feb,3,2022-02-03
7,7.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,03 Jan 2022,2022,Jan,3,2022-01-03
8,8.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,03 Mar 2022,2022,Mar,3,2022-03-03
9,9.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,04 Apr 2022,2022,Apr,4,2022-04-04
10,10.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,04 Feb 2022,2022,Feb,4,2022-02-04
11,11.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,04 Mar 2022,2022,Mar,4,2022-03-04
12,12.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,05 Apr 2022,2022,Apr,5,2022-04-05
13,13.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,05 Feb 2022,2022,Feb,5,2022-02-05
14,14.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,05 Jan 2022,2022,Jan,5,2022-01-05
15,15.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,06 Jan 2022,2022,Jan,6,2022-01-06
16,16.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,07 Apr 2022,2022,Apr,7,2022-04-07
17,17.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,07 Feb 2022,2022,Feb,7,2022-02-07
18,18.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,07 Jan 2022,2022,Jan,7,2022-01-07
19,19.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,07 Mar 2022,2022,Mar,7,2022-03-07
20,20.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,08 Apr 2022,2022,Apr,8,2022-04-08
21,21.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,08 Feb 2022,2022,Feb,8,2022-02-08
22,22.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,08 Mar 2022,2022,Mar,8,2022-03-08
23,23.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,09 Feb 2022,2022,Feb,9,2022-02-09
24,24.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,09 Mar 2022,2022,Mar,9,2022-03-09
25,25.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,10 Feb 2022,2022,Feb,10,2022-02-10
26,26.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,10 Jan 2022,2022,Jan,10,2022-01-10
27,27.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,10 Mar 2022,2022,Mar,10,2022-03-10
28,28.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,11 Apr 2022,2022,Apr,11,2022-04-11
29,29.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,11 Feb 2022,2022,Feb,11,2022-02-11
30,30.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,11 Jan 2022,2022,Jan,11,2022-01-11
31,31.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,11 Mar 2022,2022,Mar,11,2022-03-11
32,32.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,12 Apr 2022,2022,Apr,12,2022-04-12
33,33.0,Bishnupur,Bishenpur,Bengal Gram Dal (Chana Dal),Bengal Gram Dal,FAQ,10400,11000,10700,12 Jan 2022,2022,Jan,12,2022-01-12
