Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,Seoni,Chhpara,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4080,4310,4195,17 Aug 2021,2021,Aug,17,2021-08-17
1,1.0,Seoni,Chhpara,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4300,4300,4300,12 Mar 2021,2021,Mar,12,2021-03-12
2,2.0,Sagar,Jaisinagar,Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,4200,4310,4300,17 Jul 2021,2021,Jul,17,2021-07-17
3,3.0,Sagar,Jaisinagar,Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,4200,4350,4300,16 Jul 2021,2021,Jul,16,2021-07-16
4,4.0,Sagar,Jaisinagar,Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,4650,4650,4650,07 Jun 2021,2021,Jun,7,2021-06-07
5,5.0,Sagar,Jaisinagar,Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,4650,4670,4650,08 Jun 2021,2021,Jun,8,2021-06-08
6,6.0,Sagar,Jaisinagar,Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,4720,4750,4720,05 Jun 2021,2021,Jun,5,2021-06-05
7,7.0,Sagar,Jaisinagar,Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,4750,4850,4800,31 Jul 2021,2021,Jul,31,2021-07-31
8,8.0,Sagar,Jaisinagar,Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,4800,4800,4800,28 Apr 2021,2021,Apr,28,2021-04-28
9,9.0,Sagar,Jaisinagar,Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,4800,4850,4825,02 Aug 2021,2021,Aug,2,2021-08-02
10,10.0,Rajgarh,Jeerapur,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4200,4600,4400,10 Jul 2021,2021,Jul,10,2021-07-10
11,11.0,Rajgarh,Jeerapur,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4200,4600,4400,13 Jul 2021,2021,Jul,13,2021-07-13
12,12.0,Rajgarh,Jeerapur,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4300,4500,4400,12 Jul 2021,2021,Jul,12,2021-07-12
13,13.0,Rajgarh,Jeerapur,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4300,4500,4400,17 Jul 2021,2021,Jul,17,2021-07-17
14,14.0,Rajgarh,Jeerapur,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4300,4550,4400,16 Jul 2021,2021,Jul,16,2021-07-16
15,15.0,Rajgarh,Jeerapur,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4300,4700,4500,28 Jun 2021,2021,Jun,28,2021-06-28
16,16.0,Rajgarh,Jeerapur,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4400,4600,4500,08 Jul 2021,2021,Jul,8,2021-07-08
17,17.0,Rajgarh,Jeerapur,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4400,4700,4500,15 Jul 2021,2021,Jul,15,2021-07-15
18,18.0,Rajgarh,Jeerapur,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4400,4820,4600,26 Jun 2021,2021,Jun,26,2021-06-26
19,19.0,Rajgarh,Jeerapur,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4400,4850,4600,29 Jun 2021,2021,Jun,29,2021-06-29
20,20.0,Rajgarh,Jeerapur,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4500,4750,4600,24 Jun 2021,2021,Jun,24,2021-06-24
21,21.0,Sagar,Kesli,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4500,4700,4670,31 Mar 2021,2021,Mar,31,2021-03-31
22,22.0,Khandwa,Khandwa,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,3500,4865,4510,26 Jul 2021,2021,Jul,26,2021-07-26
23,23.0,Khandwa,Khandwa,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4101,4648,4426,15 Jun 2021,2021,Jun,15,2021-06-15
24,24.0,Khandwa,Khandwa,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4550,4727,4626,14 Jun 2021,2021,Jun,14,2021-06-14
25,25.0,Ujjain,Mahidpur,Bengal Gram Dal (Chana Dal),Desi (F.A.Q. Split),FAQ,7265,8985,7900,09 Apr 2021,2021,Apr,9,2021-04-09
26,26.0,Mandla,Mandla,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,3500,3500,3500,10 Sep 2020,2020,Sep,10,2020-09-10
27,27.0,Mandla,Mandla,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,3550,3700,3650,15 Dec 2020,2020,Dec,15,2020-12-15
28,28.0,Mandla,Mandla,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,3600,3750,3610,08 Feb 2021,2021,Feb,8,2021-02-08
29,29.0,Mandla,Mandla,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,3800,3800,3800,30 Jan 2021,2021,Jan,30,2021-01-30
