Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,Kekri,Kekri,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5100,5400,5300,23 Apr 2021,2021,Apr,23,2021-04-23
1,1.0,Ganganagar,Ridmalsar,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5600,5600,5600,12 Apr 2021,2021,Apr,12,2021-04-12
2,2.0,Ganganagar,Ridmalsar,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5606,5606,5606,13 Apr 2021,2021,Apr,13,2021-04-13
3,3.0,Kekri,Kekri,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4141,4651,4400,13 Jan 2022,2022,Jan,13,2022-01-13
4,4.0,Kekri,Kekri,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4150,4571,4250,06 Jan 2022,2022,Jan,6,2022-01-06
5,5.0,Kekri,Kekri,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4200,4681,4500,11 Jan 2022,2022,Jan,11,2022-01-11
6,6.0,Kekri,Kekri,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4201,4611,4350,07 Jan 2022,2022,Jan,7,2022-01-07
7,7.0,Kekri,Kekri,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4601,4651,4621,20 Apr 2022,2022,Apr,20,2022-04-20
8,8.0,Alwar,Kherli,Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5071,5071,5071,07 Apr 2022,2022,Apr,7,2022-04-07
9,9.0,Ganganagar,Sriganganagar (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4780,4980,4890,02 Jun 2022,2022,Jun,2,2022-06-02
10,10.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4000,4000,4000,20 Feb 2017,2017,Feb,20,2017-02-20
11,11.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4201,4201,4201,01 Mar 2017,2017,Mar,1,2017-03-01
12,12.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4251,4600,4425,02 Mar 2017,2017,Mar,2,2017-03-02
13,13.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4301,4301,4301,06 Mar 2017,2017,Mar,6,2017-03-06
14,14.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4501,4501,4501,10 Mar 2017,2017,Mar,10,2017-03-10
15,15.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4501,4543,4522,17 Mar 2017,2017,Mar,17,2017-03-17
16,16.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4530,4661,4595,18 Mar 2017,2017,Mar,18,2017-03-18
17,17.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4562,4951,4756,20 Mar 2017,2017,Mar,20,2017-03-20
18,18.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4591,4591,4591,09 Mar 2017,2017,Mar,9,2017-03-09
19,19.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4620,4620,4620,10 Feb 2017,2017,Feb,10,2017-02-10
20,20.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4686,4686,4686,09 Feb 2017,2017,Feb,9,2017-02-09
21,21.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4700,4700,4700,15 Feb 2017,2017,Feb,15,2017-02-15
22,22.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4700,4700,4700,22 Feb 2017,2017,Feb,22,2017-02-22
23,23.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4750,5000,4875,16 Feb 2017,2017,Feb,16,2017-02-16
24,24.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4800,4800,4800,13 Feb 2017,2017,Feb,13,2017-02-13
25,25.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4800,4800,4800,18 Feb 2017,2017,Feb,18,2017-02-18
26,26.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4800,4800,4800,21 Feb 2017,2017,Feb,21,2017-02-21
27,27.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4920,5145,5032,21 Mar 2017,2017,Mar,21,2017-03-21
28,28.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,4951,5103,5027,08 Apr 2017,2017,Apr,8,2017-04-08
29,29.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5001,5260,5130,27 Mar 2017,2017,Mar,27,2017-03-27
30,30.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5051,5251,5151,28 Mar 2017,2017,Mar,28,2017-03-28
31,31.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5101,5346,5223,11 Apr 2017,2017,Apr,11,2017-04-11
32,32.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5101,5401,5256,10 Apr 2017,2017,Apr,10,2017-04-10
33,33.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5122,5811,5466,01 Apr 2017,2017,Apr,1,2017-04-01
34,34.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5151,5281,5216,07 Apr 2017,2017,Apr,7,2017-04-07
35,35.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5201,5571,5386,23 Mar 2017,2017,Mar,23,2017-03-23
36,36.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5274,6031,5652,19 Apr 2017,2017,Apr,19,2017-04-19
37,37.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5300,5593,5446,25 Mar 2017,2017,Mar,25,2017-03-25
38,38.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5301,5485,5393,04 Apr 2017,2017,Apr,4,2017-04-04
39,39.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5301,5601,5451,12 Apr 2017,2017,Apr,12,2017-04-12
40,40.0,Bikaner,Bikaner (Grain),Bengal Gram Dal (Chana Dal),Bengal Gram (Split),FAQ,5321,5411,5366,06 Apr 2017,2017,Apr,6,2017-04-06
