,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,South Andaman,Port Blair,Potato,Other,FAQ,2000,4000,3000,29 Jan 2022,2022,Jan,29,2022-01-29
1,1.0,South Andaman,Port Blair,Potato,Other,FAQ,2000,4000,3000,31 Jan 2022,2022,Jan,31,2022-01-31
2,2.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,02 May 2022,2022,May,2,2022-05-02
3,3.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,04 Apr 2022,2022,Apr,4,2022-04-04
4,4.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,04 May 2022,2022,May,4,2022-05-04
5,5.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,05 Apr 2022,2022,Apr,5,2022-04-05
6,6.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,05 May 2022,2022,May,5,2022-05-05
7,7.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,06 Apr 2022,2022,Apr,6,2022-04-06
8,8.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,07 Apr 2022,2022,Apr,7,2022-04-07
9,9.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,09 Apr 2022,2022,Apr,9,2022-04-09
10,10.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,14 Mar 2022,2022,Mar,14,2022-03-14
11,11.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,15 Mar 2022,2022,Mar,15,2022-03-15
12,12.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,16 Mar 2022,2022,Mar,16,2022-03-16
13,13.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,17 Mar 2022,2022,Mar,17,2022-03-17
14,14.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,18 Apr 2022,2022,Apr,18,2022-04-18
15,15.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,19 Apr 2022,2022,Apr,19,2022-04-19
16,16.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,19 Mar 2022,2022,Mar,19,2022-03-19
17,17.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,20 Apr 2022,2022,Apr,20,2022-04-20
18,18.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,21 Apr 2022,2022,Apr,21,2022-04-21
19,19.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,21 Mar 2022,2022,Mar,21,2022-03-21
20,20.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,22 Mar 2022,2022,Mar,22,2022-03-22
21,21.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,23 Mar 2022,2022,Mar,23,2022-03-23
22,22.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,25 Apr 2022,2022,Apr,25,2022-04-25
23,23.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,25 Mar 2022,2022,Mar,25,2022-03-25
24,24.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,26 Apr 2022,2022,Apr,26,2022-04-26
25,25.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,26 Mar 2022,2022,Mar,26,2022-03-26
26,26.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,27 Apr 2022,2022,Apr,27,2022-04-27
27,27.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,28 Apr 2022,2022,Apr,28,2022-04-28
28,28.0,South Andaman,Port Blair,Potato,Other,FAQ,3000,4000,3500,29 Apr 2022,2022,Apr,29,2022-04-29
