,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,Delhi,Azadpur,Potato,Other,FAQ,1200,5100,2615,12 Sep 2020,2020,Sep,12,2020-09-12
1,1.0,Delhi,Azadpur,Potato,Other,FAQ,1200,5100,2615,15 Sep 2020,2020,Sep,15,2020-09-15
2,2.0,Delhi,Azadpur,Potato,Other,FAQ,1200,5100,2625,19 Sep 2020,2020,Sep,19,2020-09-19
3,3.0,Delhi,Azadpur,Potato,Other,FAQ,1200,5100,2638,29 Sep 2020,2020,Sep,29,2020-09-29
4,4.0,Delhi,Azadpur,Potato,Potato,FAQ,200,4400,2982,30 Oct 2020,2020,Oct,30,2020-10-30
5,5.0,Delhi,Azadpur,Potato,Potato,FAQ,300,700,509,15 Feb 2021,2021,Feb,15,2021-02-15
6,6.0,Delhi,Azadpur,Potato,Potato,FAQ,300,800,509,11 Feb 2021,2021,Feb,11,2021-02-11
7,7.0,Delhi,Azadpur,Potato,Potato,FAQ,300,800,509,12 Feb 2021,2021,Feb,12,2021-02-12
8,8.0,Delhi,Azadpur,Potato,Potato,FAQ,300,800,509,13 Feb 2021,2021,Feb,13,2021-02-13
9,9.0,Delhi,Azadpur,Potato,Potato,FAQ,300,800,526,10 Feb 2021,2021,Feb,10,2021-02-10
10,10.0,Delhi,Azadpur,Potato,Potato,FAQ,300,900,483,16 Feb 2021,2021,Feb,16,2021-02-16
11,11.0,Delhi,Azadpur,Potato,Potato,FAQ,300,900,483,17 Feb 2021,2021,Feb,17,2021-02-17
12,12.0,Delhi,Azadpur,Potato,Potato,FAQ,300,900,483,18 Feb 2021,2021,Feb,18,2021-02-18
13,13.0,Delhi,Azadpur,Potato,Potato,FAQ,300,900,483,19 Feb 2021,2021,Feb,19,2021-02-19
14,14.0,Delhi,Azadpur,Potato,Potato,FAQ,300,900,483,20 Feb 2021,2021,Feb,20,2021-02-20
15,15.0,Delhi,Azadpur,Potato,Potato,FAQ,300,900,483,22 Feb 2021,2021,Feb,22,2021-02-22
16,16.0,Delhi,Azadpur,Potato,Potato,FAQ,300,900,483,23 Feb 2021,2021,Feb,23,2021-02-23
17,17.0,Delhi,Azadpur,Potato,Potato,FAQ,300,900,557,06 Feb 2021,2021,Feb,6,2021-02-06
18,18.0,Delhi,Azadpur,Potato,Potato,FAQ,300,900,569,08 Feb 2021,2021,Feb,8,2021-02-08
19,19.0,Delhi,Azadpur,Potato,Potato,FAQ,300,900,569,09 Feb 2021,2021,Feb,9,2021-02-09
20,20.0,Delhi,Azadpur,Potato,Potato,FAQ,300,1000,483,24 Feb 2021,2021,Feb,24,2021-02-24
21,21.0,Delhi,Azadpur,Potato,Potato,FAQ,300,1100,503,26 Feb 2021,2021,Feb,26,2021-02-26
22,22.0,Delhi,Azadpur,Potato,Potato,FAQ,300,1100,503,27 Feb 2021,2021,Feb,27,2021-02-27
23,23.0,Delhi,Azadpur,Potato,Potato,FAQ,300,1340,875,29 Dec 2020,2020,Dec,29,2020-12-29
24,24.0,Delhi,Azadpur,Potato,Potato,FAQ,300,1340,875,30 Dec 2020,2020,Dec,30,2020-12-30
25,25.0,Delhi,Azadpur,Potato,Potato,FAQ,300,1400,865,26 Dec 2020,2020,Dec,26,2020-12-26
26,26.0,Delhi,Azadpur,Potato,Potato,FAQ,300,1400,890,28 Dec 2020,2020,Dec,28,2020-12-28
27,27.0,Delhi,Azadpur,Potato,Potato,FAQ,300,1500,900,19 Dec 2020,2020,Dec,19,2020-12-19
28,28.0,Delhi,Azadpur,Potato,Potato,FAQ,300,1500,900,21 Dec 2020,2020,Dec,21,2020-12-21
29,29.0,Delhi,Azadpur,Potato,Potato,FAQ,300,1500,900,22 Dec 2020,2020,Dec,22,2020-12-22
30,30.0,Delhi,Azadpur,Potato,Potato,FAQ,300,1500,900,23 Dec 2020,2020,Dec,23,2020-12-23
31,31.0,Delhi,Azadpur,Potato,Potato,FAQ,300,1500,900,24 Dec 2020,2020,Dec,24,2020-12-24
32,32.0,Delhi,Azadpur,Potato,Potato,FAQ,300,1500,900,25 Dec 2020,2020,Dec,25,2020-12-25
33,33.0,Delhi,Azadpur,Potato,Potato,FAQ,300,1600,925,18 Dec 2020,2020,Dec,18,2020-12-18
34,34.0,Delhi,Azadpur,Potato,Potato,FAQ,320,1000,474,30 Mar 2021,2021,Mar,30,2021-03-30
35,35.0,Delhi,Azadpur,Potato,Potato,FAQ,320,1000,474,31 Mar 2021,2021,Mar,31,2021-03-31
36,36.0,Delhi,Azadpur,Potato,Potato,FAQ,320,1100,503,25 Feb 2021,2021,Feb,25,2021-02-25
37,37.0,Delhi,Azadpur,Potato,Potato,FAQ,320,1100,563,03 Mar 2021,2021,Mar,3,2021-03-03
38,38.0,Delhi,Azadpur,Potato,Potato,FAQ,320,1100,563,04 Mar 2021,2021,Mar,4,2021-03-04
39,39.0,Delhi,Azadpur,Potato,Potato,FAQ,320,1100,563,05 Mar 2021,2021,Mar,5,2021-03-05
40,40.0,Delhi,Azadpur,Potato,Potato,FAQ,320,1100,563,06 Mar 2021,2021,Mar,6,2021-03-06
41,41.0,Delhi,Azadpur,Potato,Potato,FAQ,340,900,486,25 Mar 2021,2021,Mar,25,2021-03-25
42,42.0,Delhi,Azadpur,Potato,Potato,FAQ,340,900,486,26 Mar 2021,2021,Mar,26,2021-03-26
43,43.0,Delhi,Azadpur,Potato,Potato,FAQ,340,900,489,18 Mar 2021,2021,Mar,18,2021-03-18
44,44.0,Delhi,Azadpur,Potato,Potato,FAQ,340,900,489,19 Mar 2021,2021,Mar,19,2021-03-19
45,45.0,Delhi,Azadpur,Potato,Potato,FAQ,340,900,503,20 Mar 2021,2021,Mar,20,2021-03-20
46,46.0,Delhi,Azadpur,Potato,Potato,FAQ,340,900,503,22 Mar 2021,2021,Mar,22,2021-03-22
47,47.0,Delhi,Azadpur,Potato,Potato,FAQ,340,900,503,23 Mar 2021,2021,Mar,23,2021-03-23
48,48.0,Delhi,Azadpur,Potato,Potato,FAQ,340,900,503,24 Mar 2021,2021,Mar,24,2021-03-24
