,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,Kullu,Bandrol,Potato,Other,FAQ,1200,1500,1350.0,22 Jun 2021,2021,Jun,22,2021-06-22
1,Kullu,Bandrol,Potato,Other,FAQ,1200,1500,1400.0,05 Jul 2021,2021,Jul,05,2021-07-05
2,Kullu,Bandrol,Potato,Other,FAQ,1200,1600,1400.0,04 Jul 2021,2021,Jul,04,2021-07-04
3,Kullu,Bandrol,Potato,Other,FAQ,1200,1600,1400.0,12 Jul 2021,2021,Jul,12,2021-07-12
4,Kullu,Bandrol,Potato,Other,FAQ,1200,1600,1400.0,23 Jun 2021,2021,Jun,23,2021-06-23
5,Kullu,Bandrol,Potato,Other,FAQ,1200,1700,1400.0,11 Jul 2021,2021,Jul,11,2021-07-11
6,Kullu,Bandrol,Potato,Other,FAQ,1200,1700,1500.0,21 Jun 2021,2021,Jun,21,2021-06-21
7,Kullu,Bandrol,Potato,Other,FAQ,1300,1500,1400.0,25 Jul 2021,2021,Jul,25,2021-07-25
8,Kullu,Bandrol,Potato,Other,FAQ,1300,1600,1500.0,14 Jul 2021,2021,Jul,14,2021-07-14
9,Kullu,Bandrol,Potato,Other,FAQ,1300,1700,1500.0,07 Jul 2021,2021,Jul,07,2021-07-07
10,Kullu,Bandrol,Potato,Other,FAQ,1300,1700,1500.0,08 Jul 2021,2021,Jul,08,2021-07-08
11,Kullu,Bandrol,Potato,Other,FAQ,1400,1600,1500.0,01 Jul 2021,2021,Jul,01,2021-07-01
12,Kullu,Bandrol,Potato,Other,FAQ,1400,1600,1500.0,02 Jul 2021,2021,Jul,02,2021-07-02
13,Kullu,Bandrol,Potato,Other,FAQ,1400,1600,1500.0,29 Jun 2021,2021,Jun,29,2021-06-29
14,Kullu,Bandrol,Potato,Other,FAQ,1400,1700,1500.0,06 Jul 2021,2021,Jul,06,2021-07-06
15,Kullu,Bandrol,Potato,Other,FAQ,1400,1700,1500.0,30 Jun 2021,2021,Jun,30,2021-06-30
16,Kullu,Bandrol,Potato,Other,FAQ,1500,1700,1600.0,24 Jun 2021,2021,Jun,24,2021-06-24
17,Kullu,Bandrol,Potato,Other,FAQ,1500,1700,1600.0,28 Jun 2021,2021,Jun,28,2021-06-28
18,Kullu,Bandrol,Potato,Other,FAQ,1500,1800,1650.0,20 Jun 2021,2021,Jun,20,2021-06-20
19,Kullu,Bandrol,Potato,Other,FAQ,1600,1800,1700.0,18 Jun 2021,2021,Jun,18,2021-06-18
20,Kullu,Bandrol,Potato,Other,FAQ,1800,2000,1900.0,16 Aug 2021,2021,Aug,16,2021-08-16
21,Kullu,Bandrol,Potato,Other,FAQ,3000,3300,3150.0,10 Sep 2020,2020,Sep,10,2020-09-10
22,Kullu,Bandrol,Potato,Other,FAQ,3000,3500,3250.0,11 Sep 2020,2020,Sep,11,2020-09-11
23,Kullu,Bandrol,Potato,Other,FAQ,3100,3500,3300.0,16 Sep 2020,2020,Sep,16,2020-09-16
24,Kullu,Bandrol,Potato,Other,FAQ,3200,3400,3300.0,15 Sep 2020,2020,Sep,15,2020-09-15
25,Kullu,Bandrol,Potato,Other,FAQ,3200,3800,3500.0,04 Sep 2020,2020,Sep,04,2020-09-04
26,Kullu,Bhuntar,Potato,Other,FAQ,800,1000,900.0,22 Apr 2021,2021,Apr,22,2021-04-22
27,Kullu,Bhuntar,Potato,Other,FAQ,800,1000,900.0,23 Apr 2021,2021,Apr,23,2021-04-23
28,Kullu,Bhuntar,Potato,Other,FAQ,800,1000,900.0,25 Apr 2021,2021,Apr,25,2021-04-25
29,Kullu,Bhuntar,Potato,Other,FAQ,900,1000,950.0,21 Mar 2021,2021,Mar,21,2021-03-21
30,Kullu,Bhuntar,Potato,Other,FAQ,900,1000,950.0,22 Mar 2021,2021,Mar,22,2021-03-22
31,Kullu,Bhuntar,Potato,Other,FAQ,900,1000,950.0,23 May 2021,2021,May,23,2021-05-23
32,Kullu,Bhuntar,Potato,Other,FAQ,900,1000,950.0,26 Apr 2021,2021,Apr,26,2021-04-26
33,Kullu,Bhuntar,Potato,Other,FAQ,900,1000,950.0,27 Apr 2021,2021,Apr,27,2021-04-27
34,Kullu,Bhuntar,Potato,Other,FAQ,900,1000,950.0,28 Apr 2021,2021,Apr,28,2021-04-28
35,Kullu,Bhuntar,Potato,Other,FAQ,900,1000,950.0,29 Apr 2021,2021,Apr,29,2021-04-29
