,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,Chikmagalur,Bagepalli,Potato,Other,FAQ,1000,1400,1200,17 Mar 2021,2021,Mar,17,2021-03-17
1,Chikmagalur,Bagepalli,Potato,Other,FAQ,1400,1800,1650,17 Aug 2021,2021,Aug,17,2021-08-17
2,Chikmagalur,Bagepalli,Potato,Other,FAQ,1500,2200,1860,29 Oct 2020,2020,Oct,29,2020-10-29
3,Chikmagalur,Bagepalli,Potato,Other,FAQ,1600,2200,2000,19 Sep 2020,2020,Sep,19,2020-09-19
4,Chikmagalur,Bagepalli,Potato,Other,FAQ,1800,2400,2100,16 Jan 2021,2021,Jan,16,2021-01-16
5,Bangalore,Bangalore,Potato,Local,FAQ,700,900,800,29 Jul 2021,2021,Jul,29,2021-07-29
6,Bangalore,Bangalore,Potato,Local,FAQ,800,1000,900,27 Jul 2021,2021,Jul,27,2021-07-27
7,Bangalore,Bangalore,Potato,Local,FAQ,900,1100,1000,02 Aug 2021,2021,Aug,02,2021-08-02
8,Bangalore,Bangalore,Potato,Local,FAQ,900,1100,1000,03 Mar 2021,2021,Mar,03,2021-03-03
9,Bangalore,Bangalore,Potato,Local,FAQ,900,1100,1000,17 Mar 2021,2021,Mar,17,2021-03-17
10,Bangalore,Bangalore,Potato,Local,FAQ,900,1100,1000,28 Jun 2021,2021,Jun,28,2021-06-28
11,Bangalore,Bangalore,Potato,Local,FAQ,1000,1200,1100,18 Aug 2021,2021,Aug,18,2021-08-18
12,Bangalore,Bangalore,Potato,Local,FAQ,1000,1200,1100,31 Jul 2021,2021,Jul,31,2021-07-31
13,Bangalore,Bangalore,Potato,Local,FAQ,1100,1200,1150,08 Feb 2021,2021,Feb,08,2021-02-08
14,Bangalore,Bangalore,Potato,Local,FAQ,1100,1300,1200,07 Jul 2021,2021,Jul,07,2021-07-07
15,Bangalore,Bangalore,Potato,Local,FAQ,1200,1400,1300,29 Jan 2021,2021,Jan,29,2021-01-29
16,Bangalore,Bangalore,Potato,Local,FAQ,1300,1500,1400,05 May 2021,2021,May,05,2021-05-05
17,Bangalore,Bangalore,Potato,Local,FAQ,1400,1600,1500,19 Oct 2020,2020,Oct,19,2020-10-19
18,Bangalore,Bangalore,Potato,Local,FAQ,1600,2200,1900,16 Jan 2021,2021,Jan,16,2021-01-16
19,Bangalore,Bangalore,Potato,Local,FAQ,1800,3000,2300,14 Sep 2020,2020,Sep,14,2020-09-14
20,Bangalore,Bangalore,Potato,Local,FAQ,1800,3400,2600,18 Sep 2020,2020,Sep,18,2020-09-18
