,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,Balrampur,Ramanujganj,Rice,1009 Kar,FAQ,2500,2500,2500,12 Nov 2020,2020,Nov,12,2020-11-12
1,Balrampur,Ramanujganj,Rice,1009 Kar,FAQ,2000,2000,2000,27 Dec 2016,2016,Dec,27,2016-12-27
2,Balrampur,Ramanujganj,Rice,1009 Kar,FAQ,2000,2000,2000,19 Nov 2018,2018,Nov,19,2018-11-19
3,Raigarh,Baramkela,Rice,Other,FAQ,1850,1900,1850,31 Oct 2014,2014,Oct,31,2014-10-31
4,Raigarh,Baramkela,Rice,Other,FAQ,1663,1663,1663,11 Dec 2014,2014,Dec,11,2014-12-11
5,Bilaspur,Ratanpur,Rice,Other,FAQ,1500,1500,1500,20 Aug 2015,2015,Aug,20,2015-08-20
6,Raigarh,Baramkela,Rice,Other,FAQ,1900,1900,1900,19 Nov 2014,2014,Nov,19,2014-11-19
7,Raigarh,Sariya,Rice,Other,FAQ,1900,1900,1900,19 Nov 2014,2014,Nov,19,2014-11-19
8,Kanker,Sambalpur,Rice,Other,FAQ,1800,1800,1800,25 Jan 2016,2016,Jan,25,2016-01-25
9,Kanker,Sambalpur,Rice,Other,FAQ,2000,2000,2000,29 Jan 2016,2016,Jan,29,2016-01-29
10,Kanker,Sambalpur,Rice,Other,FAQ,1300,1300,1300,23 Jan 2016,2016,Jan,23,2016-01-23
11,Kanker,Sambalpur,Rice,Other,FAQ,1450,1450,1450,17 Jan 2016,2016,Jan,17,2016-01-17
12,Kanker,Sambalpur,Rice,Other,FAQ,1500,1500,1500,04 Feb 2016,2016,Feb,04,2016-02-04
13,Kanker,Sambalpur,Rice,Other,FAQ,1800,1800,1800,05 Feb 2016,2016,Feb,05,2016-02-05
14,Kanker,Sambalpur,Rice,Other,FAQ,1800,1800,1800,27 Jan 2016,2016,Jan,27,2016-01-27
15,Kanker,Sambalpur,Rice,Other,FAQ,1300,1300,1300,14 Feb 2016,2016,Feb,14,2016-02-14
16,Kanker,Sambalpur,Rice,Other,FAQ,1400,2000,1700,09 Feb 2016,2016,Feb,09,2016-02-09
17,Kanker,Sambalpur,Rice,Other,FAQ,2000,2000,2000,20 Feb 2016,2016,Feb,20,2016-02-20
18,Kanker,Sambalpur,Rice,Other,FAQ,1300,1300,1300,26 Jan 2016,2016,Jan,26,2016-01-26
19,Kanker,Sambalpur,Rice,Other,FAQ,1800,1800,1800,31 Jan 2016,2016,Jan,31,2016-01-31
20,Kanker,Sambalpur,Rice,Other,FAQ,1400,1400,1400,30 Jan 2016,2016,Jan,30,2016-01-30
21,Kanker,Sambalpur,Rice,Other,FAQ,1400,1400,1400,10 Feb 2016,2016,Feb,10,2016-02-10
22,Kanker,Sambalpur,Rice,Other,FAQ,2000,2000,2000,11 Feb 2016,2016,Feb,11,2016-02-11
23,Balrampur,Ramanujganj,Rice,1009 Kar,FAQ,3240,3240,3240,24 Nov 2017,2017,Nov,24,2017-11-24
