0,1,2,3,4,5,6,7,8,9
1,Delhi,Narela,Sugar,Chini,FAQ,3554.0,3554.0,3554.0,31 Jan 2022
2,Delhi,Narela,Sugar,Chini,FAQ,3644.0,3644.0,3644.0,27 Mar 2022
3,Delhi,Narela,Sugar,Chini,FAQ,3667.0,3667.0,3667.0,04 Feb 2022
4,Delhi,Narela,Sugar,Chini,FAQ,3667.0,3667.0,3667.0,21 Jul 2022
5,Delhi,Narela,Sugar,Chini,FAQ,3674.0,3674.0,3674.0,16 Apr 2022
6,Delhi,Narela,Sugar,Chini,FAQ,3682.0,3682.0,3682.0,08 Feb 2022
7,Delhi,Narela,Sugar,Chini,FAQ,3689.0,3689.0,3689.0,30 Jan 2022
8,Delhi,Narela,Sugar,Chini,FAQ,3698.0,3698.0,3698.0,16 Jun 2022
9,Delhi,Narela,Sugar,Chini,FAQ,3703.0,3703.0,3703.0,05 May 2022
10,Delhi,Narela,Sugar,Chini,FAQ,3705.0,3705.0,3705.0,28 Jan 2022
11,Delhi,Narela,Sugar,Chini,FAQ,3729.0,3729.0,3729.0,24 Feb 2022
12,Delhi,Narela,Sugar,Chini,FAQ,3744.0,3744.0,3744.0,28 Aug 2022
1,Delhi,Najafgarh,Sugar,Chini,FAQ,3450.0,3450.0,3450.0,18 Dec 2016
2,Delhi,Najafgarh,Sugar,Chini,FAQ,3500.0,3500.0,3500.0,26 Dec 2016
3,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,05 Jan 2017
4,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,06 Apr 2017
5,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,06 Sep 2016
6,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,07 Feb 2017
7,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,07 Oct 2016
8,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,09 Jul 2017
9,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,12 Jun 2017
10,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,12 Sep 2016
11,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,13 Dec 2016
12,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,15 Jun 2017
13,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,20 Mar 2017
14,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,20 Oct 2016
15,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,21 Feb 2017
16,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,23 May 2017
17,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,25 Apr 2017
18,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,25 Nov 2016
19,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,26 Sep 2016
20,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,27 Jan 2017
21,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,27 Jun 2017
22,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,28 Apr 2017
23,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3600.0,3600.0,30 May 2017
24,Delhi,Najafgarh,Sugar,Chini,FAQ,3600.0,3800.0,3700.0,25 Jun 2017
25,Delhi,Najafgarh,Sugar,Chini,FAQ,3650.0,3650.0,3650.0,08 Sep 2016
26,Delhi,Najafgarh,Sugar,Chini,FAQ,3650.0,3650.0,3650.0,10 Mar 2017
27,Delhi,Najafgarh,Sugar,Chini,FAQ,3650.0,3650.0,3650.0,16 Jul 2017
28,Delhi,Najafgarh,Sugar,Chini,FAQ,3700.0,3700.0,3700.0,07 Jan 2017
29,Delhi,Najafgarh,Sugar,Chini,FAQ,3700.0,3700.0,3700.0,10 Oct 2016
30,Delhi,Najafgarh,Sugar,Chini,FAQ,3700.0,3700.0,3700.0,12 Aug 2017
31,Delhi,Najafgarh,Sugar,Chini,FAQ,3700.0,3700.0,3700.0,12 Nov 2016
32,Delhi,Najafgarh,Sugar,Chini,FAQ,3700.0,3700.0,3700.0,17 Aug 2017
33,Delhi,Najafgarh,Sugar,Chini,FAQ,3700.0,3700.0,3700.0,17 Oct 2016
34,Delhi,Najafgarh,Sugar,Chini,FAQ,3700.0,3700.0,3700.0,22 Sep 2016
35,Delhi,Najafgarh,Sugar,Chini,FAQ,3700.0,3700.0,3700.0,23 Jan 2017
36,Delhi,Najafgarh,Sugar,Chini,FAQ,3700.0,3700.0,3700.0,24 Dec 2016
37,Delhi,Najafgarh,Sugar,Chini,FAQ,3700.0,3700.0,3700.0,27 Oct 2016
38,Delhi,Najafgarh,Sugar,Chini,FAQ,3700.0,3700.0,3700.0,29 Aug 2017
39,Delhi,Najafgarh,Sugar,Chini,FAQ,3700.0,3700.0,3700.0,29 Nov 2016
40,Delhi,Najafgarh,Sugar,Chini,FAQ,3750.0,3750.0,3750.0,13 Nov 2016
41,Delhi,Najafgarh,Sugar,Chini,FAQ,3800.0,3800.0,3800.0,03 Dec 2016
42,Delhi,Najafgarh,Sugar,Chini,FAQ,3800.0,3800.0,3800.0,05 Jun 2017
43,Delhi,Najafgarh,Sugar,Chini,FAQ,3800.0,3800.0,3800.0,07 May 2017
44,Delhi,Najafgarh,Sugar,Chini,FAQ,3800.0,3800.0,3800.0,08 May 2017
45,Delhi,Najafgarh,Sugar,Chini,FAQ,3800.0,3800.0,3800.0,11 Feb 2017
46,Delhi,Najafgarh,Sugar,Chini,FAQ,3800.0,3800.0,3800.0,14 Mar 2017
47,Delhi,Najafgarh,Sugar,Chini,FAQ,3800.0,3800.0,3800.0,19 Aug 2017
48,Delhi,Najafgarh,Sugar,Chini,FAQ,3800.0,3800.0,3800.0,22 Jan 2017
49,Delhi,Najafgarh,Sugar,Chini,FAQ,3800.0,3800.0,3800.0,24 Aug 2017
50,Delhi,Najafgarh,Sugar,Chini,FAQ,3800.0,3800.0,3800.0,27 Apr 2017
51,Delhi,Najafgarh,Sugar,Chini,FAQ,3800.0,3800.0,3800.0,27 Feb 2017
52,Delhi,Najafgarh,Sugar,Chini,FAQ,3800.0,3800.0,3800.0,28 Oct 2016
53,Delhi,Najafgarh,Sugar,Chini,FAQ,3800.0,3800.0,3800.0,29 Jan 2017
54,Delhi,Najafgarh,Sugar,Chini,FAQ,3800.0,3800.0,3800.0,29 Jul 2017
55,Delhi,Najafgarh,Sugar,Chini,FAQ,3800.0,3800.0,3800.0,29 Sep 2016
56,Delhi,Najafgarh,Sugar,Chini,FAQ,3850.0,3850.0,3850.0,16 Apr 2017
