,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,04 Jan 2022,2022,Jan,4,2022-01-04
1,1.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,05 Aug 2022,2022,Aug,5,2022-08-05
2,2.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,06 Jan 2022,2022,Jan,6,2022-01-06
3,3.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,08 Aug 2022,2022,Aug,8,2022-08-08
4,4.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,09 Mar 2022,2022,Mar,9,2022-03-09
5,5.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,10 Feb 2022,2022,Feb,10,2022-02-10
6,6.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,11 Jul 2022,2022,Jul,11,2022-07-11
7,7.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,12 Apr 2022,2022,Apr,12,2022-04-12
8,8.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,13 May 2022,2022,May,13,2022-05-13
9,9.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,14 Mar 2022,2022,Mar,14,2022-03-14
10,10.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,15 Jan 2022,2022,Jan,15,2022-01-15
11,11.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,16 Apr 2022,2022,Apr,16,2022-04-16
12,12.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,17 Jun 2022,2022,Jun,17,2022-06-17
13,13.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,18 Jul 2022,2022,Jul,18,2022-07-18
14,14.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,19 Feb 2022,2022,Feb,19,2022-02-19
15,15.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,20 Apr 2022,2022,Apr,20,2022-04-20
16,16.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,24 Jan 2022,2022,Jan,24,2022-01-24
17,17.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,27 Jun 2022,2022,Jun,27,2022-06-27
18,18.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,29 Jul 2022,2022,Jul,29,2022-07-29
19,19.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4000,4000,30 Mar 2022,2022,Mar,30,2022-03-30
20,20.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4200,4200,29 Jan 2022,2022,Jan,29,2022-01-29
21,21.0,Sundergarh,Bonai,Sugar,Other,FAQ,4000,4400,4000,31 May 2022,2022,May,31,2022-05-31
22,22.0,Sundergarh,Bonai,Sugar,Other,FAQ,4200,4200,4200,06 Aug 2022,2022,Aug,6,2022-08-06
23,23.0,Sundergarh,Bonai,Sugar,Other,FAQ,4200,4200,4200,15 Mar 2022,2022,Mar,15,2022-03-15
24,24.0,Sundergarh,Bonai,Sugar,Other,FAQ,4400,4400,4400,02 Apr 2022,2022,Apr,2,2022-04-02
25,25.0,Sundergarh,Bonai,Sugar,Other,FAQ,3200,3200,3200,03 Jan 2017,2017,Jan,3,2017-01-03
26,26.0,Sundergarh,Bonai,Sugar,Other,FAQ,3200,3300,3300,07 Jan 2017,2017,Jan,7,2017-01-07
27,27.0,Sundergarh,Bonai,Sugar,Other,FAQ,3200,3500,3200,29 Sep 2016,2016,Sep,29,2016-09-29
28,28.0,Sundergarh,Bonai,Sugar,Other,FAQ,3300,3300,3300,10 Feb 2017,2017,Feb,10,2017-02-10
29,29.0,Sundergarh,Bonai,Sugar,Other,FAQ,3300,3300,3300,11 Feb 2017,2017,Feb,11,2017-02-11
30,30.0,Sundergarh,Bonai,Sugar,Other,FAQ,3300,3500,3500,16 Jun 2017,2017,Jun,16,2017-06-16
31,31.0,Sundergarh,Bonai,Sugar,Other,FAQ,3300,3500,3500,17 Jun 2017,2017,Jun,17,2017-06-17
32,32.0,Sundergarh,Bonai,Sugar,Other,FAQ,3300,3500,3500,21 Jun 2017,2017,Jun,21,2017-06-21
