Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3350,3600,3475,31 Mar 2021,2021,Mar,31,2021-03-31
1,1.0,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3350,3600,3500,26 Mar 2021,2021,Mar,26,2021-03-26
2,2.0,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3400,3600,3500,22 Mar 2021,2021,Mar,22,2021-03-22
3,3.0,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3450,3600,3500,05 Apr 2021,2021,Apr,5,2021-04-05
4,4.0,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3450,3600,3500,06 Apr 2021,2021,Apr,6,2021-04-06
5,5.0,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3450,3600,3525,07 Apr 2021,2021,Apr,7,2021-04-07
6,6.0,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3450,3600,3525,09 Apr 2021,2021,Apr,9,2021-04-09
7,7.0,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3450,3600,3525,25 Mar 2021,2021,Mar,25,2021-03-25
8,8.0,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3500,3600,3550,25 Jan 2021,2021,Jan,25,2021-01-25
9,9.0,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3500,3800,3650,12 Apr 2021,2021,Apr,12,2021-04-12
10,10.0,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3500,3800,3650,16 Apr 2021,2021,Apr,16,2021-04-16
11,11.0,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,3500,3800,3650,20 Apr 2021,2021,Apr,20,2021-04-20
12,12.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3300,3600,3450,12 Jan 2021,2021,Jan,12,2021-01-12
13,13.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3300,3600,3450,30 Jan 2021,2021,Jan,30,2021-01-30
14,14.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3350,3600,3450,14 Jan 2021,2021,Jan,14,2021-01-14
15,15.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3500,3450,02 Jan 2021,2021,Jan,2,2021-01-02
16,16.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3500,3450,04 Jan 2021,2021,Jan,4,2021-01-04
17,17.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3500,3450,25 Dec 2020,2020,Dec,25,2020-12-25
18,18.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3600,3500,04 Feb 2021,2021,Feb,4,2021-02-04
19,19.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3600,3500,05 Jan 2021,2021,Jan,5,2021-01-05
20,20.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3600,3500,05 Mar 2021,2021,Mar,5,2021-03-05
21,21.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3600,3500,06 Mar 2021,2021,Mar,6,2021-03-06
22,22.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3600,3500,07 Jan 2021,2021,Jan,7,2021-01-07
23,23.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3600,3500,10 Mar 2021,2021,Mar,10,2021-03-10
24,24.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3600,3500,12 Mar 2021,2021,Mar,12,2021-03-12
25,25.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3600,3500,13 Jan 2021,2021,Jan,13,2021-01-13
26,26.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3600,3500,23 Feb 2021,2021,Feb,23,2021-02-23
27,27.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3600,3500,24 Feb 2021,2021,Feb,24,2021-02-24
28,28.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3600,3500,25 Jan 2021,2021,Jan,25,2021-01-25
29,29.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3600,3500,27 Jan 2021,2021,Jan,27,2021-01-27
30,30.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3600,3500,28 Dec 2020,2020,Dec,28,2020-12-28
31,31.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3600,3500,28 Feb 2021,2021,Feb,28,2021-02-28
32,32.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3600,3500,31 Dec 2020,2020,Dec,31,2020-12-31
33,33.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3400,3650,3525,15 Jan 2021,2021,Jan,15,2021-01-15
34,34.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3412,3650,3525,11 Feb 2021,2021,Feb,11,2021-02-11
35,35.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3420,3615,3510,08 Feb 2021,2021,Feb,8,2021-02-08
36,36.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3420,3620,3520,26 Feb 2021,2021,Feb,26,2021-02-26
37,37.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3420,3620,3520,31 Jan 2021,2021,Jan,31,2021-01-31
38,38.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3425,3600,3500,19 Jan 2021,2021,Jan,19,2021-01-19
39,39.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3425,3600,3550,27 Dec 2020,2020,Dec,27,2020-12-27
40,40.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3425,3600,3550,29 Dec 2020,2020,Dec,29,2020-12-29
41,41.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3425,3625,3525,01 Feb 2021,2021,Feb,1,2021-02-01
42,42.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3425,3625,3525,07 Feb 2021,2021,Feb,7,2021-02-07
43,43.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3425,3625,3525,09 Feb 2021,2021,Feb,9,2021-02-09
44,44.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3425,3625,3525,18 Feb 2021,2021,Feb,18,2021-02-18
45,45.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3425,3650,3500,09 Mar 2021,2021,Mar,9,2021-03-09
46,46.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3425,3650,3525,17 Feb 2021,2021,Feb,17,2021-02-17
47,47.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3425,3650,3525,25 Feb 2021,2021,Feb,25,2021-02-25
48,48.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3425,3650,3525,27 Feb 2021,2021,Feb,27,2021-02-27
49,49.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3425,3650,3550,11 Mar 2021,2021,Mar,11,2021-03-11
50,50.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3450,3550,3500,24 Dec 2020,2020,Dec,24,2020-12-24
51,51.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3450,3600,3500,18 Jan 2021,2021,Jan,18,2021-01-18
52,52.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3450,3600,3500,22 Dec 2020,2020,Dec,22,2020-12-22
53,53.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3450,3600,3500,30 Dec 2020,2020,Dec,30,2020-12-30
54,54.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3450,3600,3550,23 Dec 2020,2020,Dec,23,2020-12-23
55,55.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3450,3600,3550,26 Dec 2020,2020,Dec,26,2020-12-26
56,56.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3450,3650,3550,02 Feb 2021,2021,Feb,2,2021-02-02
57,57.0,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,3450,3650,3550,02 Mar 2021,2021,Mar,2,2021-03-02
