Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,0.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,2960,3240,3100.0,24 Mar 2021,2021,Mar,24,2021-03-24
1,1.0,1.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,2980,3400,3190.0,03 Mar 2021,2021,Mar,3,2021-03-03
2,2.0,2.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,2980,3460,3220.0,19 Jan 2021,2021,Jan,19,2021-01-19
3,3.0,3.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3080,3500,3290.0,04 Jan 2021,2021,Jan,4,2021-01-04
4,4.0,4.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3350,3350,3350.0,20 Aug 2021,2021,Aug,20,2021-08-20
5,5.0,5.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3460,3720,3590.0,16 Apr 2021,2021,Apr,16,2021-04-16
6,6.0,6.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3800,4200,4000.0,07 Dec 2020,2020,Dec,7,2020-12-07
7,7.0,7.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3850,4440,4145.0,03 Nov 2020,2020,Nov,3,2020-11-03
8,8.0,8.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3990,4570,4280.0,18 Sep 2020,2020,Sep,18,2020-09-18
9,9.0,9.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,2860,3400,3130.0,27 Aug 2021,2021,Aug,27,2021-08-27
10,10.0,10.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,2900,3190,3045.0,18 Mar 2021,2021,Mar,18,2021-03-18
11,11.0,11.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,2920,3140,3030.0,23 Feb 2021,2021,Feb,23,2021-02-23
12,12.0,12.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,2950,3270,3110.0,07 Apr 2021,2021,Apr,7,2021-04-07
13,13.0,13.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3340,3680,3510.0,21 Jun 2021,2021,Jun,21,2021-06-21
14,14.0,14.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3430,3700,3565.0,24 Nov 2020,2020,Nov,24,2020-11-24
15,15.0,15.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3450,3780,3615.0,11 Nov 2020,2020,Nov,11,2020-11-11
16,16.0,16.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3750,3970,3860.0,05 Nov 2020,2020,Nov,5,2020-11-05
17,17.0,17.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3790,4000,3895.0,09 Sep 2020,2020,Sep,9,2020-09-09
18,18.0,18.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3875,4060,3968.0,18 Sep 2020,2020,Sep,18,2020-09-18
19,19.0,19.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2700,2940,2820.0,06 Feb 2021,2021,Feb,6,2021-02-06
20,20.0,20.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2760,2920,2840.0,18 Mar 2021,2021,Mar,18,2021-03-18
21,21.0,21.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2780,2910,2845.0,23 Feb 2021,2021,Feb,23,2021-02-23
22,22.0,22.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2800,2930,2865.0,09 Feb 2021,2021,Feb,9,2021-02-09
23,23.0,23.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2800,3090,2945.0,03 May 2021,2021,May,3,2021-05-03
24,24.0,24.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2800,3500,3150.0,03 Dec 2020,2020,Dec,3,2020-12-03
25,25.0,25.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2810,3090,2950.0,04 May 2021,2021,May,4,2021-05-04
26,26.0,26.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2900,3340,3120.0,16 Nov 2020,2020,Nov,16,2020-11-16
27,27.0,27.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3000,3030,3015.0,28 Jul 2021,2021,Jul,28,2021-07-28
28,28.0,28.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3040,3490,3265.0,30 Nov 2020,2020,Nov,30,2020-11-30
29,29.0,29.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3200,3338,3269.0,14 Dec 2020,2020,Dec,14,2020-12-14
30,30.0,30.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3290,3580,3435.0,11 Dec 2020,2020,Dec,11,2020-12-11
31,31.0,31.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3310,4020,3665.0,03 Nov 2020,2020,Nov,3,2020-11-03
32,32.0,32.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3420,3730,3575.0,04 Nov 2020,2020,Nov,4,2020-11-04
33,33.0,33.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,3600,3600,3600.0,26 May 2021,2021,May,26,2021-05-26
34,34.0,34.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,3600,4000,3600.0,05 Jun 2021,2021,Jun,5,2021-06-05
35,35.0,35.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,3600,4000,3600.0,24 May 2021,2021,May,24,2021-05-24
36,36.0,36.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,3600,4400,3600.0,09 May 2021,2021,May,9,2021-05-09
37,37.0,37.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,3900,4300,4000.0,05 Nov 2020,2020,Nov,5,2020-11-05
38,38.0,38.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4000,4000.0,01 Sep 2020,2020,Sep,1,2020-09-01
39,39.0,39.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4000,4000.0,04 Mar 2021,2021,Mar,4,2021-03-04
40,40.0,40.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4000,4000.0,09 Jul 2021,2021,Jul,9,2021-07-09
41,41.0,41.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4000,4000.0,14 Aug 2021,2021,Aug,14,2021-08-14
42,42.0,42.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4000,4000.0,16 Jan 2021,2021,Jan,16,2021-01-16
43,43.0,43.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4000,4000.0,23 Feb 2021,2021,Feb,23,2021-02-23
44,44.0,44.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4000,4000.0,23 Nov 2020,2020,Nov,23,2020-11-23
45,45.0,45.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4100,4000.0,05 Jan 2021,2021,Jan,5,2021-01-05
46,46.0,46.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4200,4000.0,12 Jan 2021,2021,Jan,12,2021-01-12
47,47.0,47.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4400,4000.0,12 Apr 2021,2021,Apr,12,2021-04-12
48,48.0,48.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4400,4000.0,17 Mar 2021,2021,Mar,17,2021-03-17
49,49.0,49.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,2960,3380,3170.0,09 Mar 2021,2021,Mar,9,2021-03-09
50,50.0,50.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3100,3500,3300.0,10 Apr 2021,2021,Apr,10,2021-04-10
51,51.0,51.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3250,3600,3425.0,29 Dec 2020,2020,Dec,29,2020-12-29
52,52.0,52.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3380,3900,3640.0,17 Dec 2020,2020,Dec,17,2020-12-17
53,53.0,53.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3540,3660,3600.0,15 Dec 2020,2020,Dec,15,2020-12-15
54,54.0,54.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3600,4250,3925.0,11 Dec 2020,2020,Dec,11,2020-12-11
55,55.0,55.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3740,4210,3975.0,02 Dec 2020,2020,Dec,2,2020-12-02
56,56.0,56.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,3890,4100,3995.0,07 Sep 2020,2020,Sep,7,2020-09-07
57,57.0,57.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,2930,3180,3055.0,09 Mar 2021,2021,Mar,9,2021-03-09
58,58.0,58.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3140,3600,3370.0,19 Apr 2021,2021,Apr,19,2021-04-19
59,59.0,59.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3150,3650,3400.0,22 Apr 2021,2021,Apr,22,2021-04-22
60,60.0,60.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3200,3200,3200.0,05 Jul 2021,2021,Jul,5,2021-07-05
61,61.0,61.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3810,4370,4090.0,03 Nov 2020,2020,Nov,3,2020-11-03
62,62.0,62.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3860,4120,3990.0,22 Sep 2020,2020,Sep,22,2020-09-22
63,63.0,63.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,4000,4355,4177.0,29 Oct 2020,2020,Oct,29,2020-10-29
64,64.0,64.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,4060,4340,4200.0,20 Oct 2020,2020,Oct,20,2020-10-20
65,65.0,65.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2750,2930,2840.0,11 Feb 2021,2021,Feb,11,2021-02-11
66,66.0,66.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2770,3050,2910.0,12 Apr 2021,2021,Apr,12,2021-04-12
67,67.0,67.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2800,3760,3280.0,09 Sep 2020,2020,Sep,9,2020-09-09
68,68.0,68.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2850,3420,3135.0,20 Nov 2020,2020,Nov,20,2020-11-20
69,69.0,69.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2900,3830,3365.0,08 Sep 2020,2020,Sep,8,2020-09-08
70,70.0,70.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,2980,3516,3248.0,04 Dec 2020,2020,Dec,4,2020-12-04
71,71.0,71.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3060,3430,3245.0,28 Nov 2020,2020,Nov,28,2020-11-28
72,72.0,72.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3400,3800,3600.0,16 Oct 2020,2020,Oct,16,2020-10-16
73,73.0,73.0,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3900,4340,4120.0,31 Oct 2020,2020,Oct,31,2020-10-31
74,74.0,74.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,3600,4000,3600.0,08 Jun 2021,2021,Jun,8,2021-06-08
75,75.0,75.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,3600,4000,3600.0,24 Apr 2021,2021,Apr,24,2021-04-24
76,76.0,76.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,3600,4000,3900.0,23 Apr 2021,2021,Apr,23,2021-04-23
77,77.0,77.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4000,4000.0,18 Aug 2021,2021,Aug,18,2021-08-18
78,78.0,78.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4000,4000.0,18 Sep 2020,2020,Sep,18,2020-09-18
79,79.0,79.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4000,4000.0,19 Apr 2021,2021,Apr,19,2021-04-19
80,80.0,80.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4100,4000.0,01 Dec 2020,2020,Dec,1,2020-12-01
81,81.0,81.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4100,4000.0,12 Mar 2021,2021,Mar,12,2021-03-12
82,82.0,82.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4100,4000.0,24 Dec 2020,2020,Dec,24,2020-12-24
83,83.0,83.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4300,4000.0,01 Mar 2021,2021,Mar,1,2021-03-01
84,84.0,84.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4400,4300.0,06 Oct 2020,2020,Oct,6,2020-10-06
85,85.0,85.0,Chittor,Chittoor,Gur(Jaggery),NO 1,FAQ,4000,4500,4000.0,02 Apr 2021,2021,Apr,2,2021-04-02
86,86.0,86.0,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,3600,3600,3600.0,06 Jul 2021,2021,Jul,6,2021-07-06
