,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,Mandla,Bichhiya,Gur(Jaggery),Yellow,FAQ,2950,2950,2950,14 May 2021,2021,May,14,2021-05-14
1,Chhindwara,Chaurai,Gur(Jaggery),Other,FAQ,3125,3151,3151,31 May 2021,2021,May,31,2021-05-31
2,Narsinghpur,Gotegaon,Gur(Jaggery),Yellow,FAQ,2530,2610,2600,22 Feb 2021,2021,Feb,22,2021-02-22
3,Narsinghpur,Narsinghpur,Gur(Jaggery),Other,FAQ,2550,2560,2555,16 Feb 2021,2021,Feb,16,2021-02-16
4,Narsinghpur,Narsinghpur,Gur(Jaggery),Other,FAQ,2600,2621,2610,02 Mar 2021,2021,Mar,02,2021-03-02
5,Narsinghpur,Narsinghpur,Gur(Jaggery),Other,FAQ,2700,2700,2700,23 Jul 2021,2021,Jul,23,2021-07-23
6,Narsinghpur,Tendukheda,Gur(Jaggery),Other,FAQ,2660,3230,2824,23 Feb 2021,2021,Feb,23,2021-02-23
7,Ashoknagar,Ashoknagar,Gur(Jaggery),Other,FAQ,2600,2650,2630,06 Feb 2021,2021,Feb,06,2021-02-06
8,Mandla,Bichhiya,Gur(Jaggery),Yellow,FAQ,2300,2300,2300,27 Jun 2021,2021,Jun,27,2021-06-27
9,Mandla,Bichhiya,Gur(Jaggery),Yellow,FAQ,2885,2885,2885,19 Apr 2021,2021,Apr,19,2021-04-19
10,Mandla,Bichhiya,Gur(Jaggery),Yellow,FAQ,3000,3000,3000,02 Jul 2021,2021,Jul,02,2021-07-02
11,Mandla,Bichhiya,Gur(Jaggery),Yellow,FAQ,3000,3000,3000,19 Aug 2021,2021,Aug,19,2021-08-19
12,Mandla,Bichhiya,Gur(Jaggery),Yellow,FAQ,3000,3000,3000,29 Jun 2021,2021,Jun,29,2021-06-29
13,Chhindwara,Chaurai,Gur(Jaggery),Other,FAQ,2995,3005,3005,21 Jul 2021,2021,Jul,21,2021-07-21
