Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,0.0,Mahbubnagar,Gadwal(Lezza),Gur(Jaggery),Achhu,FAQ,1900,2940,2300,05 Aug 2022,2022,Aug,5,2022-08-05
1,1.0,1.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,1900,2940,2000,05 Aug 2022,2022,Aug,5,2022-08-05
2,2.0,2.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3011,3011,3011,05 Jan 2017,2017,Jan,5,2017-01-05
3,3.0,3.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3100,3100,3100,29 Nov 2016,2016,Nov,29,2016-11-29
4,4.0,4.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3200,3350,3300,31 Jan 2017,2017,Jan,31,2017-01-31
5,5.0,5.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3100,3100,3100,05 Dec 2016,2016,Dec,5,2016-12-05
6,6.0,6.0,Khammam,Sattupalli,Gur(Jaggery),Other,FAQ,1250,1250,1250,02 Nov 2016,2016,Nov,2,2016-11-02
7,7.0,7.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3100,3100,3100,18 Nov 2016,2016,Nov,18,2016-11-18
8,8.0,8.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3200,3200,3200,14 Nov 2016,2016,Nov,14,2016-11-14
9,9.0,9.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,2590,2590,2590,02 Apr 2017,2017,Apr,2,2017-04-02
10,10.0,10.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3100,3100,3100,21 Nov 2016,2016,Nov,21,2016-11-21
11,11.0,11.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3700,3700,3700,15 Jun 2017,2017,Jun,15,2017-06-15
12,12.0,12.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,2800,2800,2800,19 Mar 2017,2017,Mar,19,2017-03-19
13,13.0,13.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3100,3400,3300,22 Dec 2016,2016,Dec,22,2016-12-22
14,14.0,14.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3800,3800,3800,20 Jun 2017,2017,Jun,20,2017-06-20
15,15.0,15.0,Nizamabad,Bhiknoor,Gur(Jaggery),Black,Medium,2400,2600,2600,07 Sep 2016,2016,Sep,7,2016-09-07
16,16.0,16.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3750,3750,3750,07 Jun 2017,2017,Jun,7,2017-06-07
17,17.0,17.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,2920,2920,2920,30 Dec 2016,2016,Dec,30,2016-12-30
18,18.0,18.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3600,3600,3600,16 Oct 2016,2016,Oct,16,2016-10-16
19,19.0,19.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3200,3200,3200,29 Oct 2016,2016,Oct,29,2016-10-29
20,20.0,20.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3600,3600,3600,11 Jul 2017,2017,Jul,11,2017-07-11
21,21.0,21.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3900,3900,3900,18 Jul 2017,2017,Jul,18,2017-07-18
22,22.0,22.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,2880,2880,2880,02 Jan 2017,2017,Jan,2,2017-01-02
23,23.0,23.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3000,3000,3000,30 Oct 2016,2016,Oct,30,2016-10-30
24,24.0,24.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3020,3020,3020,17 Dec 2016,2016,Dec,17,2016-12-17
25,25.0,25.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3200,3200,3200,12 Nov 2016,2016,Nov,12,2016-11-12
26,26.0,26.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,2400,2400,2400,05 Aug 2017,2017,Aug,5,2017-08-05
27,27.0,27.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3035,3035,3035,12 Dec 2016,2016,Dec,12,2016-12-12
28,28.0,28.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3150,3150,3150,04 Sep 2016,2016,Sep,4,2016-09-04
29,29.0,29.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3175,3175,3175,13 Dec 2016,2016,Dec,13,2016-12-13
30,30.0,30.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,2200,2200,2200,20 Nov 2016,2016,Nov,20,2016-11-20
31,31.0,31.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,2984,2984,2984,16 Jan 2017,2017,Jan,16,2017-01-16
32,32.0,32.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3020,3020,3020,21 Dec 2016,2016,Dec,21,2016-12-21
33,33.0,33.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3800,3800,3800,18 Oct 2016,2016,Oct,18,2016-10-18
34,34.0,34.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3219,3219,3219,08 Nov 2016,2016,Nov,8,2016-11-08
35,35.0,35.0,Nizamabad,Bodhan,Gur(Jaggery),Other,Medium,3310,3310,3310,11 Jan 2017,2017,Jan,11,2017-01-11
36,36.0,36.0,Medak,Narsapur,Gur(Jaggery),Black,FAQ,1800,2500,2000,24 Nov 2014,2014,Nov,24,2014-11-24
37,37.0,37.0,Medak,Narsapur,Gur(Jaggery),Black,FAQ,2000,2500,2250,28 Jun 2015,2015,Jun,28,2015-06-28
38,38.0,38.0,Medak,Narsapur,Gur(Jaggery),Black,FAQ,1500,2500,2000,09 May 2015,2015,May,9,2015-05-09
39,39.0,39.0,Medak,Dubbak,Gur(Jaggery),Achhu,Medium,1800,1800,1800,14 Aug 2015,2015,Aug,14,2015-08-14
40,40.0,40.0,Medak,Narsapur,Gur(Jaggery),Black,FAQ,1800,2500,2000,01 Jun 2015,2015,Jun,1,2015-06-01
41,41.0,41.0,Mahbubnagar,Alampur,Gur(Jaggery),Achhu,FAQ,3000,3500,3200,16 Dec 2022,2022,Dec,16,2022-12-16
