,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,Garhwa,Gadhwah,Masur Dal,Kala Masoor New,FAQ,4500,4595,4540,11 Jan 2019,2019,Jan,11,2019-01-11
1,Garhwa,Gadhwah,Masur Dal,Kala Masoor New,FAQ,8600,8605,8602,27 Jun 2019,2019,Jun,27,2019-06-27
2,Bokaro,Bermo,Masur Dal,Other,FAQ,6100,6300,6150,21 Sep 2014,2014,Sep,21,2014-09-21
3,Bokaro,Bermo,Masur Dal,Other,FAQ,6100,6300,6250,27 Sep 2014,2014,Sep,27,2014-09-27
4,Bokaro,Bermo,Masur Dal,Other,FAQ,6100,6300,6300,20 Sep 2014,2014,Sep,20,2014-09-20
5,Bokaro,Bermo,Masur Dal,Other,FAQ,6200,6400,6400,01 Sep 2014,2014,Sep,01,2014-09-01
6,Bokaro,Bermo,Masur Dal,Other,FAQ,6200,6500,6500,15 Sep 2014,2014,Sep,15,2014-09-15
7,Bokaro,Bermo,Masur Dal,Other,FAQ,6250,6450,6450,06 Sep 2014,2014,Sep,06,2014-09-06
8,Bokaro,Bermo,Masur Dal,Other,FAQ,6250,6450,6450,10 Sep 2014,2014,Sep,10,2014-09-10
9,Bokaro,Bermo,Masur Dal,Other,FAQ,6300,6500,6500,17 Sep 2014,2014,Sep,17,2014-09-17
10,West Singbhum,Chaibasa,Masur Dal,Masur Dal,FAQ,5500,5950,5650,01 Sep 2014,2014,Sep,01,2014-09-01
11,West Singbhum,Chaibasa,Masur Dal,Masur Dal,FAQ,5500,5950,5650,02 Sep 2014,2014,Sep,02,2014-09-02
12,West Singbhum,Chaibasa,Masur Dal,Masur Dal,FAQ,5500,5950,5650,03 Sep 2014,2014,Sep,03,2014-09-03
13,West Singbhum,Chaibasa,Masur Dal,Masur Dal,FAQ,5500,5950,5650,04 Sep 2014,2014,Sep,04,2014-09-04
14,West Singbhum,Chaibasa,Masur Dal,Masur Dal,FAQ,5500,5950,5650,06 Sep 2014,2014,Sep,06,2014-09-06
15,West Singbhum,Chaibasa,Masur Dal,Masur Dal,FAQ,5500,5950,5650,08 Sep 2014,2014,Sep,08,2014-09-08
16,West Singbhum,Chaibasa,Masur Dal,Masur Dal,FAQ,5500,5950,5650,10 Sep 2014,2014,Sep,10,2014-09-10
17,West Singbhum,Chaibasa,Masur Dal,Masur Dal,FAQ,5500,5950,5650,11 Sep 2014,2014,Sep,11,2014-09-11
18,West Singbhum,Chaibasa,Masur Dal,Masur Dal,FAQ,5600,5800,5650,22 Sep 2014,2014,Sep,22,2014-09-22
19,West Singbhum,Chaibasa,Masur Dal,Masur Dal,FAQ,5600,6000,5650,12 Sep 2014,2014,Sep,12,2014-09-12
20,West Singbhum,Chaibasa,Masur Dal,Masur Dal,FAQ,5600,6000,5650,13 Sep 2014,2014,Sep,13,2014-09-13
21,West Singbhum,Chaibasa,Masur Dal,Masur Dal,FAQ,5600,6000,5650,15 Sep 2014,2014,Sep,15,2014-09-15
