,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,Mumbai,Mumbai,Masur Dal,Other,FAQ,6200,6500,6300,01 Jan 2021,2021,Jan,01,2021-01-01
1,Mumbai,Mumbai,Masur Dal,Other,FAQ,6200,6500,6300,02 Dec 2020,2020,Dec,02,2020-12-02
2,Mumbai,Mumbai,Masur Dal,Other,FAQ,6200,6500,6300,02 Jan 2021,2021,Jan,02,2021-01-02
3,Mumbai,Mumbai,Masur Dal,Other,FAQ,6200,6500,6300,02 Mar 2021,2021,Mar,02,2021-03-02
4,Mumbai,Mumbai,Masur Dal,Other,FAQ,6200,6500,6300,02 Nov 2020,2020,Nov,02,2020-11-02
5,Mumbai,Mumbai,Masur Dal,Other,FAQ,6200,6500,6300,03 Mar 2021,2021,Mar,03,2021-03-03
6,Mumbai,Mumbai,Masur Dal,Other,FAQ,6200,6500,6300,03 Nov 2020,2020,Nov,03,2020-11-03
7,Mumbai,Mumbai,Masur Dal,Other,FAQ,6200,6500,6300,04 Jan 2021,2021,Jan,04,2021-01-04
8,Mumbai,Mumbai,Masur Dal,Other,FAQ,6200,6500,6300,04 Mar 2021,2021,Mar,04,2021-03-04
9,Mumbai,Mumbai,Masur Dal,Other,FAQ,6200,6500,6300,04 Nov 2020,2020,Nov,04,2020-11-04
10,Mumbai,Mumbai,Masur Dal,Other,FAQ,6200,6500,6300,05 Jan 2021,2021,Jan,05,2021-01-05
11,Mumbai,Mumbai,Masur Dal,Other,FAQ,6200,6500,6300,05 Mar 2021,2021,Mar,05,2021-03-05
12,Mumbai,Mumbai,Masur Dal,Other,FAQ,6200,6500,6300,05 Nov 2020,2020,Nov,05,2020-11-05
13,Mumbai,Mumbai,Masur Dal,Other,FAQ,6200,6500,6300,06 Jan 2021,2021,Jan,06,2021-01-06
14,Mumbai,Mumbai,Masur Dal,Other,FAQ,6200,6500,6300,06 Mar 2021,2021,Mar,06,2021-03-06
15,Mumbai,Mumbai,Masur Dal,Other,FAQ,6200,6500,6300,06 Nov 2020,2020,Nov,06,2020-11-06
16,Mumbai,Mumbai,Masur Dal,Other,FAQ,6200,6500,6300,08 Mar 2021,2021,Mar,08,2021-03-08
17,Mumbai,Mumbai,Masur Dal,Other,FAQ,6200,6500,6300,09 Mar 2021,2021,Mar,09,2021-03-09
