,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,Hassan,Arasikere,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5320,5320,5320,02 Sep 2020,2020,Sep,02,2020-09-02
1,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,800,9000,8500,06 Aug 2021,2021,Aug,06,2021-08-06
2,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,960,10200,9900,30 Apr 2021,2021,Apr,30,2021-04-30
3,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,9000,8500,02 Aug 2021,2021,Aug,02,2021-08-02
4,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,9000,8500,07 Aug 2021,2021,Aug,07,2021-08-07
5,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,9000,8500,31 Jul 2021,2021,Jul,31,2021-07-31
6,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,9200,8600,03 Aug 2021,2021,Aug,03,2021-08-03
7,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,9400,8700,03 Oct 2020,2020,Oct,03,2020-10-03
8,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,9400,8700,04 Aug 2021,2021,Aug,04,2021-08-04
9,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8000,9400,8700,05 Oct 2020,2020,Oct,05,2020-10-05
10,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8200,9000,8600,09 Aug 2021,2021,Aug,09,2021-08-09
11,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8200,9000,8600,10 Aug 2021,2021,Aug,10,2021-08-10
12,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8200,9000,8600,11 Aug 2021,2021,Aug,11,2021-08-11
13,Bangalore,Bangalore,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,8200,9000,8600,12 Aug 2021,2021,Aug,12,2021-08-12
