,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11500,12000,11750,26 Feb 2021,2021,Feb,26,2021-02-26
1,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11500,12000,11750,27 Feb 2021,2021,Feb,27,2021-02-27
2,Imphal West,Imphal,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10000,12000,11000,25 Feb 2021,2021,Feb,25,2021-02-25
3,Imphal West,Imphal,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10000,12000,11000,26 Feb 2021,2021,Feb,26,2021-02-26
4,Imphal West,Imphal,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10000,12000,11000,27 Feb 2021,2021,Feb,27,2021-02-27
5,Imphal East,Lamlong Bazaar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11000,12000,11500,25 Feb 2021,2021,Feb,25,2021-02-25
6,Imphal East,Lamlong Bazaar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11000,12000,11500,26 Feb 2021,2021,Feb,26,2021-02-26
7,Imphal East,Lamlong Bazaar,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11000,12000,11500,27 Feb 2021,2021,Feb,27,2021-02-27
8,Thoubal,Thoubal,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11500,12000,11750,25 Feb 2021,2021,Feb,25,2021-02-25
9,Thoubal,Thoubal,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11500,12000,11750,26 Feb 2021,2021,Feb,26,2021-02-26
10,Thoubal,Thoubal,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11500,12000,11750,27 Feb 2021,2021,Feb,27,2021-02-27
11,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,01 Apr 2022,2022,Apr,01,2022-04-01
12,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,01 Feb 2022,2022,Feb,01,2022-02-01
13,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,01 Mar 2022,2022,Mar,01,2022-03-01
14,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,01 Sep 2022,2022,Sep,01,2022-09-01
15,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,02 Feb 2022,2022,Feb,02,2022-02-02
16,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,02 Mar 2022,2022,Mar,02,2022-03-02
17,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,03 Feb 2022,2022,Feb,03,2022-02-03
18,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,03 Mar 2022,2022,Mar,03,2022-03-03
19,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,04 Apr 2022,2022,Apr,04,2022-04-04
20,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,04 Feb 2022,2022,Feb,04,2022-02-04
21,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,04 Mar 2022,2022,Mar,04,2022-03-04
22,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,05 Apr 2022,2022,Apr,05,2022-04-05
23,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,05 Feb 2022,2022,Feb,05,2022-02-05
24,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,06 Apr 2022,2022,Apr,06,2022-04-06
25,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,07 Apr 2022,2022,Apr,07,2022-04-07
26,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,07 Feb 2022,2022,Feb,07,2022-02-07
27,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,07 Mar 2022,2022,Mar,07,2022-03-07
28,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,08 Apr 2022,2022,Apr,08,2022-04-08
29,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,08 Feb 2022,2022,Feb,08,2022-02-08
30,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,08 Mar 2022,2022,Mar,08,2022-03-08
31,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,09 Feb 2022,2022,Feb,09,2022-02-09
32,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,09 Mar 2022,2022,Mar,09,2022-03-09
33,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,10 Feb 2022,2022,Feb,10,2022-02-10
34,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,10 Mar 2022,2022,Mar,10,2022-03-10
35,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,11 Apr 2022,2022,Apr,11,2022-04-11
36,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,11 Feb 2022,2022,Feb,11,2022-02-11
37,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,11 Mar 2022,2022,Mar,11,2022-03-11
38,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,12 Apr 2022,2022,Apr,12,2022-04-12
39,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,13 Apr 2022,2022,Apr,13,2022-04-13
40,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,14 Feb 2022,2022,Feb,14,2022-02-14
41,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,14 Mar 2022,2022,Mar,14,2022-03-14
42,Bishnupur,Bishenpur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,11400,12000,11700,15 Mar 2022,2022,Mar,15,2022-03-15
