,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,UdhamSinghNagar,Sitarganj,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4000,4200,4200,26 Oct 2016,2016,Oct,26,2016-10-26
1,UdhamSinghNagar,Sitarganj,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4200,4900,4900,29 Sep 2016,2016,Sep,29,2016-09-29
2,UdhamSinghNagar,Sitarganj,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4600,5200,5200,08 Sep 2016,2016,Sep,08,2016-09-08
3,UdhamSinghNagar,Sitarganj,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5000,5400,5400,26 Sep 2016,2016,Sep,26,2016-09-26
4,UdhamSinghNagar,Sitarganj,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6300,6300,6300,20 Nov 2016,2016,Nov,20,2016-11-20
5,Haridwar,Roorkee,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4500,4900,4800,24 Jun 2019,2019,Jun,24,2019-06-24
6,Haridwar,Roorkee,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4680,4680,4680,25 Apr 2019,2019,Apr,25,2019-04-25
7,Haridwar,Roorkee,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5200,5625,5400,24 Aug 2019,2019,Aug,24,2019-08-24
8,Haridwar,Roorkee,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5425,6350,5850,23 Feb 2019,2019,Feb,23,2019-02-23
9,Haridwar,Roorkee,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5425,7050,6350,27 Feb 2019,2019,Feb,27,2019-02-27
10,Haridwar,Roorkee,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,5800,6220,6100,28 Jan 2019,2019,Jan,28,2019-01-28
11,Haridwar,Roorkee,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6350,6400,6400,18 Jan 2019,2019,Jan,18,2019-01-18
12,Haridwar,Roorkee,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6350,6400,6400,22 Jan 2019,2019,Jan,22,2019-01-22
13,Haridwar,Roorkee,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6500,6825,6800,18 Feb 2019,2019,Feb,18,2019-02-18
14,Haridwar,Roorkee,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6600,6800,6750,11 Mar 2019,2019,Mar,11,2019-03-11
15,Haridwar,Roorkee,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6700,7100,6880,03 May 2019,2019,May,03,2019-05-03
16,Haridwar,Roorkee,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6730,6730,6730,02 May 2019,2019,May,02,2019-05-02
17,Haridwar,Roorkee,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,6730,7250,6950,04 May 2019,2019,May,04,2019-05-04
18,Haridwar,Roorkee,Green Gram Dal (Moong Dal),Green Gram Dhall-I,FAQ,5300,6350,5425,26 Feb 2019,2019,Feb,26,2019-02-26
19,UdhamSinghNagar,Rudrapur,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,4100,5100,4600,25 Sep 2018,2018,Sep,25,2018-09-25
