Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,01 Aug 2021,2021,Aug,1,2021-08-01
1,1.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,02 Aug 2021,2021,Aug,2,2021-08-02
2,2.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,02 Jul 2021,2021,Jul,2,2021-07-02
3,3.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,03 Aug 2021,2021,Aug,3,2021-08-03
4,4.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,03 Jul 2021,2021,Jul,3,2021-07-03
5,5.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,04 Aug 2021,2021,Aug,4,2021-08-04
6,6.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,04 Jul 2021,2021,Jul,4,2021-07-04
7,7.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,05 Aug 2021,2021,Aug,5,2021-08-05
8,8.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,05 Jul 2021,2021,Jul,5,2021-07-05
9,9.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,06 Aug 2021,2021,Aug,6,2021-08-06
10,10.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,06 Jul 2021,2021,Jul,6,2021-07-06
11,11.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,07 Aug 2021,2021,Aug,7,2021-08-07
12,12.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,07 Jul 2021,2021,Jul,7,2021-07-07
13,13.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,08 Aug 2021,2021,Aug,8,2021-08-08
14,14.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,08 Jul 2021,2021,Jul,8,2021-07-08
15,15.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,09 Aug 2021,2021,Aug,9,2021-08-09
16,16.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,09 Jul 2021,2021,Jul,9,2021-07-09
17,17.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,10 Aug 2021,2021,Aug,10,2021-08-10
18,18.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,10 Jul 2021,2021,Jul,10,2021-07-10
19,19.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,11 Aug 2021,2021,Aug,11,2021-08-11
20,20.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,11 Jul 2021,2021,Jul,11,2021-07-11
21,21.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,12 Aug 2021,2021,Aug,12,2021-08-12
22,22.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,12 Jul 2021,2021,Jul,12,2021-07-12
23,23.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,13 Aug 2021,2021,Aug,13,2021-08-13
24,24.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,13 Jul 2021,2021,Jul,13,2021-07-13
25,25.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,14 Aug 2021,2021,Aug,14,2021-08-14
26,26.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,14 Jul 2021,2021,Jul,14,2021-07-14
27,27.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,15 Aug 2021,2021,Aug,15,2021-08-15
28,28.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,16 Aug 2021,2021,Aug,16,2021-08-16
29,29.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,16 Jul 2021,2021,Jul,16,2021-07-16
30,30.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,17 Aug 2021,2021,Aug,17,2021-08-17
31,31.0,Howrah,Ramkrishanpur(Howrah),Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,10800,11200,11000,17 Jul 2021,2021,Jul,17,2021-07-17
