,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,Shajapur,Akodiya,Mustard Oil,Other,FAQ,2900,3071,3050,10 Apr 2017,2017,Apr,10,2017-04-10
1,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3000,3620,3600,22 Apr 2017,2017,Apr,22,2017-04-22
2,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3000,3651,3600,28 Apr 2017,2017,Apr,28,2017-04-28
3,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3100,3801,3800,18 Apr 2017,2017,Apr,18,2017-04-18
4,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3200,3766,3700,24 Apr 2017,2017,Apr,24,2017-04-24
5,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3200,3802,3800,21 Apr 2017,2017,Apr,21,2017-04-21
6,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3500,4000,3850,08 Apr 2017,2017,Apr,08,2017-04-08
7,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3500,4000,3900,20 Apr 2017,2017,Apr,20,2017-04-20
8,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3500,4101,3980,06 Apr 2017,2017,Apr,06,2017-04-06
9,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3800,4100,4000,13 Apr 2017,2017,Apr,13,2017-04-13
10,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3800,4100,4001,15 Apr 2017,2017,Apr,15,2017-04-15
11,Shajapur,Akodiya,Mustard Oil,Other,FAQ,2800,3240,3200,23 Apr 2015,2015,Apr,23,2015-04-23
12,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3000,3250,3200,11 Apr 2015,2015,Apr,11,2015-04-11
13,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3000,3250,3200,27 Apr 2015,2015,Apr,27,2015-04-27
14,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3000,3260,3200,10 Apr 2015,2015,Apr,10,2015-04-10
15,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3000,3300,3200,19 Apr 2015,2015,Apr,19,2015-04-19
16,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3000,3300,3200,20 Apr 2015,2015,Apr,20,2015-04-20
17,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3000,3300,3200,28 Apr 2015,2015,Apr,28,2015-04-28
18,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3000,3310,3250,26 Apr 2015,2015,Apr,26,2015-04-26
19,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3000,3600,3500,07 Apr 2015,2015,Apr,07,2015-04-07
20,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3100,3200,3150,12 Apr 2015,2015,Apr,12,2015-04-12
21,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3100,3300,3200,25 Apr 2015,2015,Apr,25,2015-04-25
22,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3100,3320,3200,17 Apr 2015,2015,Apr,17,2015-04-17
23,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3200,3340,3300,16 Apr 2015,2015,Apr,16,2015-04-16
24,Khargone,Segaon,Mustard Oil,Mustard Oil,FAQ,1000,1100,1100,14 Jun 2023,2023,Jun,14,2023-06-14
25,Khargone,Segaon,Mustard Oil,Mustard Oil,FAQ,1100,1300,1200,26 Jun 2023,2023,Jun,26,2023-06-26
26,Khargone,Segaon,Mustard Oil,Mustard Oil,FAQ,1250,1275,1275,24 Jun 2023,2023,Jun,24,2023-06-24
27,Khargone,Segaon,Mustard Oil,Mustard Oil,FAQ,1250,1452,1300,19 Jun 2023,2023,Jun,19,2023-06-19
28,Khargone,Segaon,Mustard Oil,Mustard Oil,FAQ,1300,1450,1400,25 Jun 2023,2023,Jun,25,2023-06-25
29,Khargone,Segaon,Mustard Oil,Mustard Oil,FAQ,1300,1549,1500,17 Jun 2023,2023,Jun,17,2023-06-17
30,Khargone,Segaon,Mustard Oil,Mustard Oil,FAQ,1321,1321,1321,23 Jun 2023,2023,Jun,23,2023-06-23
31,Khargone,Segaon,Mustard Oil,Mustard Oil,FAQ,1500,1500,1500,21 Jun 2023,2023,Jun,21,2023-06-21
32,Khargone,Segaon,Mustard Oil,Mustard Oil,FAQ,1550,1550,1550,15 Jun 2023,2023,Jun,15,2023-06-15
33,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3200,3301,3300,02 Apr 2016,2016,Apr,02,2016-04-02
34,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3200,3500,3400,04 Apr 2016,2016,Apr,04,2016-04-04
35,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3300,3700,3600,05 Apr 2016,2016,Apr,05,2016-04-05
36,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3300,3885,3800,09 Apr 2016,2016,Apr,09,2016-04-09
37,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3500,3950,3800,10 Apr 2016,2016,Apr,10,2016-04-10
38,Shajapur,Akodiya,Mustard Oil,Other,FAQ,3600,3700,3650,11 Apr 2016,2016,Apr,11,2016-04-11
