Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,0.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1100,1300,1200,09 Jul 2017,2017,Jul,9,2017-07-09
1,1.0,1.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1150,1350,1250,07 Jul 2017,2017,Jul,7,2017-07-07
2,2.0,2.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1200,1400,1300,06 Jun 2017,2017,Jun,6,2017-06-06
3,3.0,3.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1200,1400,1300,08 Jul 2017,2017,Jul,8,2017-07-08
4,4.0,4.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1200,1400,1300,08 Jun 2017,2017,Jun,8,2017-06-08
5,5.0,5.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1200,1400,1300,09 Jun 2017,2017,Jun,9,2017-06-09
6,6.0,6.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1200,1400,1300,10 Jun 2017,2017,Jun,10,2017-06-10
7,7.0,7.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1200,1400,1300,29 Jun 2017,2017,Jun,29,2017-06-29
8,8.0,8.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,1320,1310,14 Jul 2017,2017,Jul,14,2017-07-14
9,9.0,9.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,1340,1320,12 Jul 2017,2017,Jul,12,2017-07-12
10,10.0,10.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,1340,1320,24 Jul 2017,2017,Jul,24,2017-07-24
11,11.0,11.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,1400,1350,10 Jul 2017,2017,Jul,10,2017-07-10
12,12.0,12.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,1400,1350,11 Jul 2017,2017,Jul,11,2017-07-11
13,13.0,13.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,1400,1350,13 Jul 2017,2017,Jul,13,2017-07-13
14,14.0,14.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,1500,1400,20 Jun 2017,2017,Jun,20,2017-06-20
15,15.0,15.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,1500,1400,21 Jun 2017,2017,Jun,21,2017-06-21
16,16.0,16.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,1500,1400,26 Jun 2017,2017,Jun,26,2017-06-26
17,17.0,17.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,1500,1400,28 Jun 2017,2017,Jun,28,2017-06-28
18,18.0,18.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,1600,1450,13 Jun 2017,2017,Jun,13,2017-06-13
19,19.0,19.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,1600,1450,14 Jun 2017,2017,Jun,14,2017-06-14
20,20.0,20.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,1600,1450,17 Jun 2017,2017,Jun,17,2017-06-17
21,21.0,21.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,1600,1450,19 Jun 2017,2017,Jun,19,2017-06-19
22,22.0,22.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,1600,1450,22 Jun 2017,2017,Jun,22,2017-06-22
23,23.0,23.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,1600,1450,24 Jun 2017,2017,Jun,24,2017-06-24
24,24.0,24.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,1700,1500,23 Jun 2017,2017,Jun,23,2017-06-23
25,25.0,25.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,2300,1800,26 Jul 2017,2017,Jul,26,2017-07-26
26,26.0,26.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1300,2400,1800,29 Jul 2017,2017,Jul,29,2017-07-29
27,27.0,27.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1350,1370,1360,16 Jul 2017,2017,Jul,16,2017-07-16
28,28.0,28.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1350,1370,1360,17 Jul 2017,2017,Jul,17,2017-07-17
29,29.0,29.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1350,1370,1360,20 Jul 2017,2017,Jul,20,2017-07-20
30,30.0,30.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1350,1370,1360,21 Jul 2017,2017,Jul,21,2017-07-21
31,31.0,31.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1350,1450,1400,15 Jul 2017,2017,Jul,15,2017-07-15
32,32.0,32.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1350,1700,1500,05 Jun 2017,2017,Jun,5,2017-06-05
33,33.0,33.0,Papum Pore,Naharlagun,Onion,Onion,FAQ,1400,1420,1410,22 Jul 2017,2017,Jul,22,2017-07-22
