,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,Bhojpur,Aarah,Onion,Onion,FAQ,1200,1400,1300,30 Mar 2022,2022,Mar,30,2022-03-30
1,1.0,Bhojpur,Aarah,Onion,Onion,FAQ,1200,1600,1400,28 Mar 2022,2022,Mar,28,2022-03-28
2,2.0,Aurangabad,Amba,Onion,1st Sort,FAQ,1200,1400,1300,01 Jun 2022,2022,Jun,1,2022-06-01
3,3.0,Aurangabad,Amba,Onion,1st Sort,FAQ,1400,1600,1500,13 May 2022,2022,May,13,2022-05-13
4,4.0,Aurangabad,Amba,Onion,1st Sort,FAQ,1500,1600,1550,23 Apr 2022,2022,Apr,23,2022-04-23
5,5.0,Aurangabad,Amba,Onion,Nasik,FAQ,1500,1600,1550,16 Apr 2022,2022,Apr,16,2022-04-16
6,6.0,Araria,Arreria,Onion,1st Sort,FAQ,1200,1300,1250,03 Jun 2022,2022,Jun,3,2022-06-03
7,7.0,Araria,Arreria,Onion,1st Sort,FAQ,1200,1400,1300,14 Apr 2022,2022,Apr,14,2022-04-14
8,8.0,Araria,Arreria,Onion,1st Sort,FAQ,1200,1400,1300,18 Apr 2022,2022,Apr,18,2022-04-18
9,9.0,Araria,Arreria,Onion,1st Sort,FAQ,1200,1500,1350,12 Jun 2022,2022,Jun,12,2022-06-12
10,10.0,Araria,Arreria,Onion,1st Sort,FAQ,1400,1700,1600,22 Jul 2022,2022,Jul,22,2022-07-22
11,11.0,Araria,Arreria,Onion,1st Sort,FAQ,1500,1600,1550,22 Jun 2022,2022,Jun,22,2022-06-22
12,12.0,Araria,Arreria,Onion,1st Sort,FAQ,1500,1800,1700,08 Feb 2022,2022,Feb,8,2022-02-08
13,13.0,Araria,Arreria,Onion,1st Sort,FAQ,1500,1800,1700,29 Mar 2022,2022,Mar,29,2022-03-29
14,14.0,Araria,Arreria,Onion,1st Sort,FAQ,1600,2100,1900,10 Feb 2022,2022,Feb,10,2022-02-10
15,15.0,Araria,Arreria,Onion,1st Sort,FAQ,1700,1800,1750,07 Jul 2022,2022,Jul,7,2022-07-07
16,16.0,Araria,Arreria,Onion,1st Sort,FAQ,2200,2600,2500,08 Mar 2022,2022,Mar,8,2022-03-08
17,17.0,Araria,Arreria,Onion,1st Sort,FAQ,2500,3000,2800,15 Feb 2022,2022,Feb,15,2022-02-15
18,18.0,Arwal,Arwal,Onion,Local,FAQ,1500,1750,1600,02 Aug 2022,2022,Aug,2,2022-08-02
19,19.0,Arwal,Arwal,Onion,Local,FAQ,1600,1800,1700,16 Aug 2022,2022,Aug,16,2022-08-16
20,20.0,Aurangabad,Aurangabad,Onion,Other,FAQ,1300,1400,1350,18 May 2022,2022,May,18,2022-05-18
21,21.0,Aurangabad,Aurangabad,Onion,Other,FAQ,1300,1500,1400,30 Apr 2022,2022,Apr,30,2022-04-30
22,22.0,Aurangabad,Aurangabad,Onion,Other,FAQ,1400,1500,1450,27 May 2022,2022,May,27,2022-05-27
23,23.0,Aurangabad,Aurangabad,Onion,Other,FAQ,1600,1800,1700,01 Apr 2022,2022,Apr,1,2022-04-01
24,24.0,Aurangabad,Aurangabad,Onion,Other,FAQ,2000,2100,2050,30 May 2022,2022,May,30,2022-05-30
25,25.0,Aurangabad,Aurangabad,Onion,Other,FAQ,2000,2200,2100,07 Jun 2022,2022,Jun,7,2022-06-07
26,26.0,Aurangabad,Aurangabad,Onion,Other,FAQ,2400,2600,2500,15 Mar 2022,2022,Mar,15,2022-03-15
27,27.0,Kishanganj,Bahadurganj,Onion,1st Sort,FAQ,1200,1400,1300,14 May 2022,2022,May,14,2022-05-14
28,28.0,Kishanganj,Bahadurganj,Onion,1st Sort,FAQ,1200,1500,1400,21 May 2022,2022,May,21,2022-05-21
29,29.0,Kishanganj,Bahadurganj,Onion,1st Sort,FAQ,1300,1500,1400,13 May 2022,2022,May,13,2022-05-13
30,30.0,Kishanganj,Bahadurganj,Onion,1st Sort,FAQ,1300,1500,1400,20 Jun 2022,2022,Jun,20,2022-06-20
31,31.0,Kishanganj,Bahadurganj,Onion,1st Sort,FAQ,1400,1600,1500,27 Jun 2022,2022,Jun,27,2022-06-27
32,32.0,Kishanganj,Bahadurganj,Onion,1st Sort,FAQ,2800,3100,2900,06 Mar 2022,2022,Mar,6,2022-03-06
33,33.0,Kishanganj,Bahadurganj,Onion,1st Sort,FAQ,3000,3500,3200,24 Feb 2022,2022,Feb,24,2022-02-24
34,34.0,Kishanganj,Bahadurganj,Onion,1st Sort,FAQ,3200,3500,3300,03 Mar 2022,2022,Mar,3,2022-03-03
35,35.0,Begusarai,Balliah,Onion,1st Sort,FAQ,1400,1600,1500,24 May 2022,2022,May,24,2022-05-24
36,36.0,Begusarai,Balliah,Onion,1st Sort,FAQ,1500,1550,1525,28 Apr 2022,2022,Apr,28,2022-04-28
37,37.0,Begusarai,Balliah,Onion,1st Sort,FAQ,1500,2200,1900,29 Jun 2022,2022,Jun,29,2022-06-29
38,38.0,Begusarai,Balliah,Onion,1st Sort,FAQ,1600,1800,1700,04 Aug 2022,2022,Aug,4,2022-08-04
39,39.0,Begusarai,Balliah,Onion,1st Sort,FAQ,1600,1800,1700,09 Jul 2022,2022,Jul,9,2022-07-09
40,40.0,Banka,Barahat,Onion,1st Sort,FAQ,900,1100,1000,26 Apr 2022,2022,Apr,26,2022-04-26
41,41.0,Banka,Barahat,Onion,1st Sort,FAQ,1000,1200,1130,13 Apr 2022,2022,Apr,13,2022-04-13
42,42.0,Banka,Barahat,Onion,1st Sort,FAQ,1300,1500,1400,11 Jun 2022,2022,Jun,11,2022-06-11
43,43.0,Banka,Barahat,Onion,1st Sort,FAQ,1300,1500,1400,16 Jun 2022,2022,Jun,16,2022-06-16
44,44.0,Banka,Barahat,Onion,1st Sort,FAQ,1400,1600,1500,30 Mar 2022,2022,Mar,30,2022-03-30
45,45.0,Banka,Barahat,Onion,1st Sort,FAQ,3000,3500,3200,02 Mar 2022,2022,Mar,2,2022-03-02
46,46.0,Banka,Barahat,Onion,Big,FAQ,1350,1400,1350,10 Apr 2022,2022,Apr,10,2022-04-10
47,47.0,Banka,Barahat,Onion,Big,FAQ,1350,1500,1450,17 May 2022,2022,May,17,2022-05-17
48,48.0,Banka,Barahat,Onion,Big,FAQ,1350,1550,1450,11 Jun 2022,2022,Jun,11,2022-06-11
49,49.0,Banka,Barahat,Onion,Big,FAQ,1350,1600,1450,30 May 2022,2022,May,30,2022-05-30
50,50.0,Banka,Barahat,Onion,Big,FAQ,3100,3450,3300,12 Mar 2022,2022,Mar,12,2022-03-12
51,51.0,Banka,Barahat,Onion,Big,FAQ,3100,3550,3300,05 Mar 2022,2022,Mar,5,2022-03-05
52,52.0,Sheikhpura,Barbigha,Onion,1st Sort,FAQ,850,1050,950,27 May 2022,2022,May,27,2022-05-27
53,53.0,Sheikhpura,Barbigha,Onion,1st Sort,FAQ,950,1050,1000,26 May 2022,2022,May,26,2022-05-26
54,54.0,Sheikhpura,Barbigha,Onion,1st Sort,FAQ,1000,1100,1050,14 Jun 2022,2022,Jun,14,2022-06-14
55,55.0,Bhojpur,Aarah,Onion,Onion,FAQ,1000,1200,1100,26 Apr 2022,2022,Apr,26,2022-04-26
56,56.0,Bhojpur,Aarah,Onion,Onion,FAQ,2000,2500,2200,13 Mar 2022,2022,Mar,13,2022-03-13
57,57.0,Bhojpur,Aarah,Onion,Onion,FAQ,2400,2600,2500,28 Feb 2022,2022,Feb,28,2022-02-28
58,58.0,Bhojpur,Aarah,Onion,Onion,FAQ,2500,2700,2600,12 Feb 2022,2022,Feb,12,2022-02-12
59,59.0,Bhojpur,Aarah,Onion,Onion,FAQ,2800,3000,2900,01 Feb 2022,2022,Feb,1,2022-02-01
60,60.0,Bhojpur,Aarah,Onion,Onion,FAQ,2900,3000,3000,14 Jan 2022,2022,Jan,14,2022-01-14
61,61.0,Banka,Amarpur,Onion,1st Sort,FAQ,1000,1400,1200,24 May 2022,2022,May,24,2022-05-24
62,62.0,Banka,Amarpur,Onion,1st Sort,FAQ,1200,1500,1300,20 May 2022,2022,May,20,2022-05-20
63,63.0,Banka,Amarpur,Onion,1st Sort,FAQ,1300,1500,1400,07 Jun 2022,2022,Jun,7,2022-06-07
64,64.0,Aurangabad,Amba,Onion,1st Sort,FAQ,1300,1500,1400,06 Jun 2022,2022,Jun,6,2022-06-06
65,65.0,Aurangabad,Amba,Onion,1st Sort,FAQ,1300,1500,1400,10 Jun 2022,2022,Jun,10,2022-06-10
66,66.0,Aurangabad,Amba,Onion,1st Sort,FAQ,1300,1500,1400,10 May 2022,2022,May,10,2022-05-10
67,67.0,Aurangabad,Amba,Onion,1st Sort,FAQ,1500,1600,1550,19 Apr 2022,2022,Apr,19,2022-04-19
68,68.0,Aurangabad,Amba,Onion,1st Sort,FAQ,1500,1700,1600,28 Jun 2022,2022,Jun,28,2022-06-28
69,69.0,Aurangabad,Amba,Onion,Nasik,FAQ,1300,1500,1400,30 May 2022,2022,May,30,2022-05-30
70,70.0,Aurangabad,Amba,Onion,Nasik,FAQ,1400,1500,1450,06 Apr 2022,2022,Apr,6,2022-04-06
71,71.0,Araria,Arreria,Onion,1st Sort,FAQ,900,1100,1000,18 May 2022,2022,May,18,2022-05-18
72,72.0,Araria,Arreria,Onion,1st Sort,FAQ,1000,1200,1100,04 May 2022,2022,May,4,2022-05-04
73,73.0,Araria,Arreria,Onion,1st Sort,FAQ,1100,1200,1150,01 May 2022,2022,May,1,2022-05-01
74,74.0,Araria,Arreria,Onion,1st Sort,FAQ,1150,1300,1200,08 May 2022,2022,May,8,2022-05-08
75,75.0,Araria,Arreria,Onion,1st Sort,FAQ,1400,1600,1500,05 Jul 2022,2022,Jul,5,2022-07-05
76,76.0,Araria,Arreria,Onion,1st Sort,FAQ,1400,1600,1500,23 Jun 2022,2022,Jun,23,2022-06-23
77,77.0,Araria,Arreria,Onion,1st Sort,FAQ,1500,1700,1600,28 Jul 2022,2022,Jul,28,2022-07-28
78,78.0,Araria,Arreria,Onion,1st Sort,FAQ,1500,1800,1650,09 Jul 2022,2022,Jul,9,2022-07-09
79,79.0,Araria,Arreria,Onion,1st Sort,FAQ,1500,1900,1700,10 Aug 2022,2022,Aug,10,2022-08-10
