Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,Imphal West,Imphal,Onion,Other,FAQ,3000,4000,3500,25 Feb 2021,2021,Feb,25,2021-02-25
1,1.0,Imphal West,Imphal,Onion,Other,FAQ,3000,4000,3500,26 Feb 2021,2021,Feb,26,2021-02-26
2,2.0,Imphal West,Imphal,Onion,Other,FAQ,3000,4000,3500,27 Feb 2021,2021,Feb,27,2021-02-27
3,3.0,Imphal East,Lamlong Bazaar,Onion,Other,FAQ,3000,4000,3500,25 Feb 2021,2021,Feb,25,2021-02-25
4,4.0,Imphal East,Lamlong Bazaar,Onion,Other,FAQ,3000,4000,3500,26 Feb 2021,2021,Feb,26,2021-02-26
5,5.0,Imphal East,Lamlong Bazaar,Onion,Other,FAQ,3000,4000,3500,27 Feb 2021,2021,Feb,27,2021-02-27
6,6.0,Thoubal,Thoubal,Onion,Other,FAQ,3500,4000,3750,25 Feb 2021,2021,Feb,25,2021-02-25
7,7.0,Thoubal,Thoubal,Onion,Other,FAQ,3500,4000,3750,26 Feb 2021,2021,Feb,26,2021-02-26
8,8.0,Thoubal,Thoubal,Onion,Other,FAQ,3500,4000,3750,27 Feb 2021,2021,Feb,27,2021-02-27
9,9.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,2600,3000,2800,26 Apr 2022,2022,Apr,26,2022-04-26
10,10.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,2600,3000,2800,27 Apr 2022,2022,Apr,27,2022-04-27
11,11.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,2600,3000,2800,28 Apr 2022,2022,Apr,28,2022-04-28
12,12.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,2600,3000,2800,29 Apr 2022,2022,Apr,29,2022-04-29
13,13.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,3100,3500,3300,01 Sep 2022,2022,Sep,1,2022-09-01
14,14.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,3500,4000,3750,11 Apr 2022,2022,Apr,11,2022-04-11
15,15.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,3500,4000,3750,12 Apr 2022,2022,Apr,12,2022-04-12
16,16.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,3500,4000,3750,13 Apr 2022,2022,Apr,13,2022-04-13
17,17.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,3500,4000,3750,18 Apr 2022,2022,Apr,18,2022-04-18
18,18.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,3500,4000,3750,19 Apr 2022,2022,Apr,19,2022-04-19
19,19.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,3500,4000,3750,20 Apr 2022,2022,Apr,20,2022-04-20
20,20.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,3500,4000,3750,21 Apr 2022,2022,Apr,21,2022-04-21
21,21.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,3500,4000,3750,22 Apr 2022,2022,Apr,22,2022-04-22
22,22.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,3500,4000,3750,25 Apr 2022,2022,Apr,25,2022-04-25
23,23.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,01 Apr 2022,2022,Apr,1,2022-04-01
24,24.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,01 Feb 2022,2022,Feb,1,2022-02-01
25,25.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,01 Mar 2022,2022,Mar,1,2022-03-01
26,26.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,02 Feb 2022,2022,Feb,2,2022-02-02
27,27.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,02 Mar 2022,2022,Mar,2,2022-03-02
28,28.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,03 Feb 2022,2022,Feb,3,2022-02-03
29,29.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,03 Mar 2022,2022,Mar,3,2022-03-03
30,30.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,04 Apr 2022,2022,Apr,4,2022-04-04
31,31.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,04 Feb 2022,2022,Feb,4,2022-02-04
32,32.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,04 Mar 2022,2022,Mar,4,2022-03-04
33,33.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,05 Apr 2022,2022,Apr,5,2022-04-05
34,34.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,05 Feb 2022,2022,Feb,5,2022-02-05
35,35.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,06 Apr 2022,2022,Apr,6,2022-04-06
36,36.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,06 Jan 2022,2022,Jan,6,2022-01-06
37,37.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,07 Apr 2022,2022,Apr,7,2022-04-07
38,38.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,07 Feb 2022,2022,Feb,7,2022-02-07
39,39.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,07 Jan 2022,2022,Jan,7,2022-01-07
40,40.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,07 Mar 2022,2022,Mar,7,2022-03-07
41,41.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,08 Apr 2022,2022,Apr,8,2022-04-08
42,42.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,08 Feb 2022,2022,Feb,8,2022-02-08
43,43.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,08 Mar 2022,2022,Mar,8,2022-03-08
44,44.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,09 Feb 2022,2022,Feb,9,2022-02-09
45,45.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,09 Mar 2022,2022,Mar,9,2022-03-09
46,46.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,10 Feb 2022,2022,Feb,10,2022-02-10
47,47.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,10 Jan 2022,2022,Jan,10,2022-01-10
48,48.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,10 Mar 2022,2022,Mar,10,2022-03-10
49,49.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,11 Feb 2022,2022,Feb,11,2022-02-11
50,50.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,11 Jan 2022,2022,Jan,11,2022-01-11
51,51.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,11 Mar 2022,2022,Mar,11,2022-03-11
52,52.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,12 Jan 2022,2022,Jan,12,2022-01-12
53,53.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,13 Jan 2022,2022,Jan,13,2022-01-13
54,54.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,14 Feb 2022,2022,Feb,14,2022-02-14
55,55.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,14 Mar 2022,2022,Mar,14,2022-03-14
56,56.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,15 Mar 2022,2022,Mar,15,2022-03-15
57,57.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,16 Feb 2022,2022,Feb,16,2022-02-16
58,58.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,16 Mar 2022,2022,Mar,16,2022-03-16
59,59.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,17 Feb 2022,2022,Feb,17,2022-02-17
60,60.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,17 Jan 2022,2022,Jan,17,2022-01-17
61,61.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,17 Mar 2022,2022,Mar,17,2022-03-17
62,62.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,18 Feb 2022,2022,Feb,18,2022-02-18
63,63.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,18 Jan 2022,2022,Jan,18,2022-01-18
64,64.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,19 Feb 2022,2022,Feb,19,2022-02-19
65,65.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,19 Jan 2022,2022,Jan,19,2022-01-19
66,66.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,20 Jan 2022,2022,Jan,20,2022-01-20
67,67.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,21 Feb 2022,2022,Feb,21,2022-02-21
68,68.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,21 Jan 2022,2022,Jan,21,2022-01-21
69,69.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,22 Jan 2022,2022,Jan,22,2022-01-22
70,70.0,Bishnupur,Bishenpur,Onion,Onion,FAQ,4500,5000,4750,23 Feb 2022,2022,Feb,23,2022-02-23
