Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,0.0,Hyderabad,Bowenpally,Onion,1st Sort,FAQ,500,1500,1200,05 Sep 2020,2020,Sep,5,2020-09-05
1,1.0,1.0,Hyderabad,Bowenpally,Onion,1st Sort,FAQ,500,2000,1500,02 Jul 2021,2021,Jul,2,2021-07-02
2,2.0,2.0,Hyderabad,Bowenpally,Onion,1st Sort,FAQ,600,1200,1000,31 Mar 2021,2021,Mar,31,2021-03-31
3,3.0,3.0,Hyderabad,Bowenpally,Onion,1st Sort,FAQ,600,1200,1100,04 Apr 2021,2021,Apr,4,2021-04-04
4,4.0,4.0,Hyderabad,Bowenpally,Onion,1st Sort,FAQ,600,2000,1800,21 Sep 2020,2020,Sep,21,2020-09-21
5,5.0,5.0,Hyderabad,Bowenpally,Onion,1st Sort,FAQ,800,1800,1400,03 Jul 2021,2021,Jul,3,2021-07-03
6,6.0,6.0,Hyderabad,Bowenpally,Onion,1st Sort,FAQ,800,2000,1600,16 Jun 2021,2021,Jun,16,2021-06-16
7,7.0,7.0,Hyderabad,Bowenpally,Onion,1st Sort,FAQ,800,2000,1600,30 Jun 2021,2021,Jun,30,2021-06-30
8,8.0,8.0,Hyderabad,Bowenpally,Onion,1st Sort,FAQ,800,2500,2000,05 Aug 2021,2021,Aug,5,2021-08-05
9,9.0,9.0,Hyderabad,Bowenpally,Onion,1st Sort,FAQ,1000,2000,1800,07 Mar 2021,2021,Mar,7,2021-03-07
10,10.0,10.0,Hyderabad,Bowenpally,Onion,1st Sort,FAQ,1000,2000,1800,21 Aug 2021,2021,Aug,21,2021-08-21
11,11.0,11.0,Hyderabad,Bowenpally,Onion,1st Sort,FAQ,1000,2000,1800,22 Jul 2021,2021,Jul,22,2021-07-22
12,12.0,12.0,Hyderabad,Bowenpally,Onion,1st Sort,FAQ,1000,2200,1800,03 Aug 2021,2021,Aug,3,2021-08-03
