,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,South Andaman,Port Blair,Tomato,Other,FAQ,3000,5000,4000,02 May 2022,2022,May,2,2022-05-02
1,1.0,South Andaman,Port Blair,Tomato,Other,FAQ,4000,6000,5000,31 Jan 2022,2022,Jan,31,2022-01-31
2,2.0,South Andaman,Port Blair,Tomato,Other,FAQ,4000,8000,6000,04 May 2022,2022,May,4,2022-05-04
3,3.0,South Andaman,Port Blair,Tomato,Other,FAQ,4000,8000,6000,05 May 2022,2022,May,5,2022-05-05
4,4.0,South Andaman,Port Blair,Tomato,Other,FAQ,4000,8000,6000,18 May 2022,2022,May,18,2022-05-18
5,5.0,South Andaman,Port Blair,Tomato,Other,FAQ,5000,8000,6000,14 Mar 2022,2022,Mar,14,2022-03-14
6,6.0,South Andaman,Port Blair,Tomato,Other,FAQ,5000,8000,6000,15 Mar 2022,2022,Mar,15,2022-03-15
7,7.0,South Andaman,Port Blair,Tomato,Other,FAQ,5000,8000,6000,16 Mar 2022,2022,Mar,16,2022-03-16
8,8.0,South Andaman,Port Blair,Tomato,Other,FAQ,5000,8000,6000,17 Mar 2022,2022,Mar,17,2022-03-17
9,9.0,South Andaman,Port Blair,Tomato,Other,FAQ,5000,8000,6000,19 Mar 2022,2022,Mar,19,2022-03-19
10,10.0,South Andaman,Port Blair,Tomato,Other,FAQ,5000,8000,6000,21 Mar 2022,2022,Mar,21,2022-03-21
11,11.0,South Andaman,Port Blair,Tomato,Other,FAQ,5000,8000,6000,22 Mar 2022,2022,Mar,22,2022-03-22
12,12.0,South Andaman,Port Blair,Tomato,Other,FAQ,5000,8000,6000,23 Mar 2022,2022,Mar,23,2022-03-23
13,13.0,South Andaman,Port Blair,Tomato,Other,FAQ,5000,8000,6000,25 Mar 2022,2022,Mar,25,2022-03-25
14,14.0,South Andaman,Port Blair,Tomato,Other,FAQ,5000,8000,6000,26 Mar 2022,2022,Mar,26,2022-03-26
15,15.0,South Andaman,Port Blair,Tomato,Other,FAQ,5000,8000,6000,28 Jan 2022,2022,Jan,28,2022-01-28
16,16.0,South Andaman,Port Blair,Tomato,Other,FAQ,6000,10000,8000,20 Jun 2022,2022,Jun,20,2022-06-20
17,17.0,South Andaman,Port Blair,Tomato,Other,FAQ,6000,10000,8000,21 Jun 2022,2022,Jun,21,2022-06-21
18,18.0,South Andaman,Port Blair,Tomato,Other,FAQ,8000,12000,10000,22 Jun 2022,2022,Jun,22,2022-06-22
19,19.0,South Andaman,Port Blair,Tomato,Other,FAQ,8000,12000,10000,25 May 2022,2022,May,25,2022-05-25
20,20.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,1000,1500,1200,18 Apr 2017,2017,Apr,18,2017-04-18
21,21.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,1200,2000,1500,11 Apr 2017,2017,Apr,11,2017-04-11
22,22.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,1200,2000,1500,12 Apr 2017,2017,Apr,12,2017-04-12
23,23.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,1200,2000,1500,13 Apr 2017,2017,Apr,13,2017-04-13
24,24.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,1200,2000,1500,15 Apr 2017,2017,Apr,15,2017-04-15
25,25.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,2500,3000,2800,17 Apr 2017,2017,Apr,17,2017-04-17
26,26.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,3000,4000,3500,25 Jan 2017,2017,Jan,25,2017-01-25
27,27.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,3000,4000,3500,28 Mar 2017,2017,Mar,28,2017-03-28
28,28.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,3000,5000,4000,23 Mar 2017,2017,Mar,23,2017-03-23
29,29.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,4000,5000,4500,20 Mar 2017,2017,Mar,20,2017-03-20
30,30.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,4000,5000,4500,30 Jan 2017,2017,Jan,30,2017-01-30
31,31.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,4000,6000,5000,01 Nov 2016,2016,Nov,1,2016-11-01
32,32.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,4000,6000,5000,26 Oct 2016,2016,Oct,26,2016-10-26
33,33.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,4500,6000,5000,07 Feb 2017,2017,Feb,7,2017-02-07
34,34.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,5000,6000,5500,04 Feb 2017,2017,Feb,4,2017-02-04
35,35.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,5000,6000,5500,04 Oct 2016,2016,Oct,4,2016-10-04
36,36.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,5000,6000,5500,06 Feb 2017,2017,Feb,6,2017-02-06
37,37.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,5000,6000,5500,08 Feb 2017,2017,Feb,8,2017-02-08
38,38.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,5000,6000,5500,13 Oct 2016,2016,Oct,13,2016-10-13
39,39.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,5000,6000,5500,17 Mar 2017,2017,Mar,17,2017-03-17
40,40.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,5000,6000,5500,23 Nov 2016,2016,Nov,23,2016-11-23
41,41.0,North and Middle Andaman,Diglipur,Tomato,Other,FAQ,5000,6000,5500,25 Oct 2016,2016,Oct,25,2016-10-25
42,42.0,Nicobar,Car Nicobar,Tomato,Other,FAQ,6000,10000,8000,01 Jun 2019,2019,Jun,1,2019-06-01
43,43.0,Nicobar,Car Nicobar,Tomato,Other,FAQ,6000,10000,8000,13 Jun 2019,2019,Jun,13,2019-06-13
44,44.0,Nicobar,Car Nicobar,Tomato,Other,FAQ,6000,10000,8000,17 Jun 2019,2019,Jun,17,2019-06-17
45,45.0,Nicobar,Car Nicobar,Tomato,Other,FAQ,8000,12000,10000,03 Jun 2019,2019,Jun,3,2019-06-03
