,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,Chittor,Kalikiri,Tomato,Local,FAQ,460,730,600,15 Jun 2021,2021,Jun,15,2021-06-15
1,Chittor,Kalikiri,Tomato,Local,FAQ,500,800,660,10 Mar 2021,2021,Mar,10,2021-03-10
2,Chittor,Kalikiri,Tomato,Local,FAQ,500,860,660,17 Jun 2021,2021,Jun,17,2021-06-17
3,Chittor,Kalikiri,Tomato,Local,FAQ,500,930,700,07 Apr 2021,2021,Apr,07,2021-04-07
4,Chittor,Kalikiri,Tomato,Local,FAQ,600,1000,800,06 Jan 2021,2021,Jan,06,2021-01-06
5,Chittor,Kalikiri,Tomato,Local,FAQ,600,1060,830,05 Jul 2021,2021,Jul,05,2021-07-05
6,Chittor,Kalikiri,Tomato,Local,FAQ,630,1060,800,23 Jun 2021,2021,Jun,23,2021-06-23
7,Chittor,Kalikiri,Tomato,Local,FAQ,660,1130,900,04 Mar 2021,2021,Mar,04,2021-03-04
8,Chittor,Kalikiri,Tomato,Local,FAQ,730,1460,1100,05 Feb 2021,2021,Feb,05,2021-02-05
9,Chittor,Kalikiri,Tomato,Local,FAQ,1000,2000,1530,23 Nov 2020,2020,Nov,23,2020-11-23
10,Chittor,Kalikiri,Tomato,Local,FAQ,1000,2460,1800,05 Nov 2020,2020,Nov,05,2020-11-05
11,Chittor,Kalikiri,Tomato,Local,FAQ,1360,3300,2330,15 Sep 2020,2020,Sep,15,2020-09-15
12,Chittor,Kalikiri,Tomato,Local,FAQ,1660,3330,2300,09 Sep 2020,2020,Sep,09,2020-09-09
13,Chittor,Mulakalacheruvu,Tomato,Local,FAQ,400,600,500,22 Apr 2021,2021,Apr,22,2021-04-22
14,Chittor,Mulakalacheruvu,Tomato,Local,FAQ,500,800,650,23 Mar 2021,2021,Mar,23,2021-03-23
15,Chittor,Mulakalacheruvu,Tomato,Local,FAQ,500,800,700,08 Apr 2021,2021,Apr,08,2021-04-08
16,Chittor,Mulakalacheruvu,Tomato,Local,FAQ,500,800,700,17 Apr 2021,2021,Apr,17,2021-04-17
17,Chittor,Mulakalacheruvu,Tomato,Local,FAQ,500,950,750,08 Mar 2021,2021,Mar,08,2021-03-08
