,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,600,7000,6500,18 Jul 2017,2017,Jul,18,2017-07-18
1,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,3200,3400,3300,12 Jul 2017,2017,Jul,12,2017-07-12
2,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,3200,3800,3500,09 Jul 2017,2017,Jul,09,2017-07-09
3,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,3300,3500,3400,29 Jun 2017,2017,Jun,29,2017-06-29
4,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,3300,3800,3500,07 Jul 2017,2017,Jul,07,2017-07-07
5,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,3400,3700,3500,26 Jun 2017,2017,Jun,26,2017-06-26
6,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,3400,3700,3600,23 Jun 2017,2017,Jun,23,2017-06-23
7,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,3500,3900,3700,24 Jun 2017,2017,Jun,24,2017-06-24
8,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,3500,4000,3700,05 Jul 2017,2017,Jul,05,2017-07-05
9,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,3500,4000,3750,21 Jun 2017,2017,Jun,21,2017-06-21
10,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,3500,4000,3750,22 Jun 2017,2017,Jun,22,2017-06-22
11,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,3800,8000,4000,02 Jul 2017,2017,Jul,02,2017-07-02
12,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,4000,4600,4300,04 Jul 2017,2017,Jul,04,2017-07-04
13,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,4000,5000,4500,11 Jul 2017,2017,Jul,11,2017-07-11
14,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,5700,6000,5850,20 Jun 2017,2017,Jun,20,2017-06-20
15,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,5800,6000,5900,13 Jul 2017,2017,Jul,13,2017-07-13
16,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,5900,6200,6000,15 Jul 2017,2017,Jul,15,2017-07-15
17,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,5900,6500,6000,16 Jul 2017,2017,Jul,16,2017-07-16
18,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,6000,6400,6200,17 Jul 2017,2017,Jul,17,2017-07-17
19,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,6000,6500,6300,22 Jul 2017,2017,Jul,22,2017-07-22
20,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,6000,7000,6500,20 Jul 2017,2017,Jul,20,2017-07-20
21,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,6000,7000,6500,21 Jul 2017,2017,Jul,21,2017-07-21
22,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,6500,8000,7200,26 Jul 2017,2017,Jul,26,2017-07-26
23,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,6500,8000,7500,24 Jul 2017,2017,Jul,24,2017-07-24
24,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,7000,8000,7500,07 Aug 2017,2017,Aug,07,2017-08-07
25,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,7000,8000,7500,09 Aug 2017,2017,Aug,09,2017-08-09
26,Papum Pore,Naharlagun,Tomato,Tomato,FAQ,7000,8000,7500,16 Aug 2017,2017,Aug,16,2017-08-16
