,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,Cachar,Cachar,Tomato,Tomato,FAQ,1800,2000,1900,17 Mar 2022,2022,Mar,17,2022-03-17
1,1.0,Cachar,Cachar,Tomato,Tomato,FAQ,2200,2600,2500,11 Apr 2022,2022,Apr,11,2022-04-11
2,2.0,Cachar,Cachar,Tomato,Tomato,FAQ,3000,3400,3200,30 Apr 2022,2022,Apr,30,2022-04-30
3,3.0,Dhubri,Gauripur,Tomato,Local,FAQ,1200,1300,1200,01 Feb 2022,2022,Feb,1,2022-02-01
4,4.0,Dhubri,Gauripur,Tomato,Tomato,FAQ,1500,1600,1500,09 Feb 2022,2022,Feb,9,2022-02-09
5,5.0,Dhubri,Gauripur,Tomato,Tomato,FAQ,1800,2000,1900,07 Feb 2022,2022,Feb,7,2022-02-07
6,6.0,Goalpara,Goalpara,Tomato,Tomato,FAQ,2000,2200,2000,08 Apr 2022,2022,Apr,8,2022-04-08
7,7.0,Goalpara,Goalpara,Tomato,Tomato,FAQ,2000,3000,2500,12 Apr 2022,2022,Apr,12,2022-04-12
8,8.0,Goalpara,Goalpara,Tomato,Tomato,FAQ,2000,3000,2500,21 May 2022,2022,May,21,2022-05-21
9,9.0,Goalpara,Goalpara,Tomato,Tomato,FAQ,2000,3000,2500,27 May 2022,2022,May,27,2022-05-27
10,10.0,Goalpara,Goalpara,Tomato,Tomato,FAQ,2000,3000,2500,30 Apr 2022,2022,Apr,30,2022-04-30
11,11.0,Golaghat,Golaghat,Tomato,Tomato,FAQ,2400,2600,2500,12 Apr 2022,2022,Apr,12,2022-04-12
12,12.0,Hailakandi,Hailakandi,Tomato,Tomato,FAQ,1500,1700,1600,12 Apr 2022,2022,Apr,12,2022-04-12
13,13.0,Hailakandi,Hailakandi,Tomato,Tomato,FAQ,1800,2000,1900,02 Apr 2022,2022,Apr,2,2022-04-02
14,14.0,Hailakandi,Hailakandi,Tomato,Tomato,FAQ,1800,2000,1900,30 Mar 2022,2022,Mar,30,2022-03-30
15,15.0,Hailakandi,Hailakandi,Tomato,Tomato,FAQ,2000,2200,2100,08 Apr 2022,2022,Apr,8,2022-04-08
16,16.0,Hailakandi,Hailakandi,Tomato,Tomato,FAQ,2000,2500,2250,07 Apr 2022,2022,Apr,7,2022-04-07
17,17.0,Barpeta,Howly,Tomato,Local,FAQ,800,1400,1100,07 Feb 2022,2022,Feb,7,2022-02-07
18,18.0,Barpeta,Howly,Tomato,Local,FAQ,800,1500,1200,12 Feb 2022,2022,Feb,12,2022-02-12
19,19.0,Barpeta,Howly,Tomato,Local,FAQ,800,1600,1200,27 Feb 2022,2022,Feb,27,2022-02-27
20,20.0,Barpeta,Howly,Tomato,Local,FAQ,900,1500,1200,14 Feb 2022,2022,Feb,14,2022-02-14
21,21.0,Barpeta,Howly,Tomato,Local,FAQ,900,1500,1200,22 Feb 2022,2022,Feb,22,2022-02-22
22,22.0,Barpeta,Howly,Tomato,Local,FAQ,900,1800,1400,18 Feb 2022,2022,Feb,18,2022-02-18
23,23.0,Barpeta,Howly,Tomato,Local,FAQ,1400,2000,1600,16 Feb 2022,2022,Feb,16,2022-02-16
24,24.0,Barpeta,Howly,Tomato,Tomato,FAQ,600,800,700,28 Jan 2022,2022,Jan,28,2022-01-28
25,25.0,Barpeta,Howly,Tomato,Tomato,FAQ,600,900,700,05 Feb 2022,2022,Feb,5,2022-02-05
26,26.0,Barpeta,Howly,Tomato,Tomato,FAQ,600,900,800,03 Feb 2022,2022,Feb,3,2022-02-03
27,27.0,Barpeta,Howly,Tomato,Tomato,FAQ,700,1000,900,01 Mar 2022,2022,Mar,1,2022-03-01
28,28.0,Barpeta,Howly,Tomato,Tomato,FAQ,800,1200,1000,24 Mar 2022,2022,Mar,24,2022-03-24
29,29.0,Barpeta,Howly,Tomato,Tomato,FAQ,800,1400,1100,28 Mar 2022,2022,Mar,28,2022-03-28
30,30.0,Barpeta,Howly,Tomato,Tomato,FAQ,800,1600,1200,11 Feb 2022,2022,Feb,11,2022-02-11
