,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,Aizawl,New Market Aizawl,Tomato,Other,FAQ,1000,2000,1500,19 May 2017,2017,May,19,2017-05-19
1,Aizawl,New Market Aizawl,Tomato,Other,FAQ,1800,2600,1900,30 Nov 2016,2016,Nov,30,2016-11-30
2,Aizawl,New Market Aizawl,Tomato,Other,FAQ,1800,4000,2900,09 Mar 2017,2017,Mar,09,2017-03-09
3,Aizawl,New Market Aizawl,Tomato,Other,FAQ,1800,4000,2900,21 Mar 2017,2017,Mar,21,2017-03-21
4,Aizawl,New Market Aizawl,Tomato,Other,FAQ,1800,4000,2900,22 Mar 2017,2017,Mar,22,2017-03-22
5,Aizawl,New Market Aizawl,Tomato,Other,FAQ,2000,3000,2500,11 Jul 2017,2017,Jul,11,2017-07-11
6,Aizawl,New Market Aizawl,Tomato,Other,FAQ,2000,4000,3000,25 Jan 2017,2017,Jan,25,2017-01-25
7,Aizawl,New Market Aizawl,Tomato,Other,FAQ,2300,4000,2750,08 Feb 2017,2017,Feb,08,2017-02-08
8,Aizawl,New Market Aizawl,Tomato,Other,FAQ,2300,4000,3150,16 Feb 2017,2017,Feb,16,2017-02-16
9,Aizawl,New Market Aizawl,Tomato,Other,FAQ,2300,5000,3650,05 May 2017,2017,May,05,2017-05-05
10,Aizawl,New Market Aizawl,Tomato,Other,FAQ,2300,5000,3650,09 May 2017,2017,May,09,2017-05-09
11,Aizawl,New Market Aizawl,Tomato,Other,FAQ,2300,5000,3650,12 May 2017,2017,May,12,2017-05-12
12,Aizawl,New Market Aizawl,Tomato,Other,FAQ,2300,5000,3650,17 May 2017,2017,May,17,2017-05-17
13,Aizawl,New Market Aizawl,Tomato,Other,FAQ,2500,5000,3750,13 Dec 2016,2016,Dec,13,2016-12-13
14,Aizawl,New Market Aizawl,Tomato,Other,FAQ,2500,5000,3750,13 Feb 2017,2017,Feb,13,2017-02-13
15,Aizawl,New Market Aizawl,Tomato,Other,FAQ,2500,5000,3750,18 Oct 2016,2016,Oct,18,2016-10-18
16,Aizawl,New Market Aizawl,Tomato,Other,FAQ,2500,5000,3750,24 Oct 2016,2016,Oct,24,2016-10-24
17,Aizawl,New Market Aizawl,Tomato,Other,FAQ,2500,5000,3750,27 Oct 2016,2016,Oct,27,2016-10-27
18,Aizawl,New Market Aizawl,Tomato,Other,FAQ,3000,6000,4500,10 Oct 2016,2016,Oct,10,2016-10-10
19,Aizawl,New Market Aizawl,Tomato,Other,FAQ,3000,6000,4500,13 Oct 2016,2016,Oct,13,2016-10-13
20,Aizawl,New Market Aizawl,Tomato,Other,FAQ,3000,6000,4500,19 Oct 2016,2016,Oct,19,2016-10-19
21,Aizawl,New Market Aizawl,Tomato,Other,FAQ,3000,6000,4500,20 Oct 2016,2016,Oct,20,2016-10-20
22,Aizawl,New Market Aizawl,Tomato,Other,FAQ,3000,6000,4500,21 Oct 2016,2016,Oct,21,2016-10-21
23,Aizawl,New Market Aizawl,Tomato,Other,FAQ,3000,6000,4500,27 Dec 2016,2016,Dec,27,2016-12-27
24,Aizawl,New Market Aizawl,Tomato,Other,FAQ,3500,5000,4250,08 Sep 2016,2016,Sep,08,2016-09-08
25,Aizawl,New Market Aizawl,Tomato,Other,FAQ,3500,6000,4750,05 Oct 2016,2016,Oct,05,2016-10-05
26,Aizawl,New Market Aizawl,Tomato,Other,FAQ,3500,6000,4750,12 Jul 2017,2017,Jul,12,2017-07-12
27,Aizawl,New Market Aizawl,Tomato,Other,FAQ,3500,6000,4750,14 Jul 2017,2017,Jul,14,2017-07-14
28,Aizawl,New Market Aizawl,Tomato,Other,FAQ,3500,6000,4750,14 Oct 2016,2016,Oct,14,2016-10-14
29,Aizawl,New Market Aizawl,Tomato,Other,FAQ,3500,6000,4750,18 Jul 2017,2017,Jul,18,2017-07-18
30,Aizawl,New Market Aizawl,Tomato,Other,FAQ,3800,6000,4900,28 Dec 2016,2016,Dec,28,2016-12-28
31,Aizawl,New Market Aizawl,Tomato,Other,FAQ,3800,6000,4900,29 Sep 2016,2016,Sep,29,2016-09-29
32,Aizawl,New Market Aizawl,Tomato,Other,FAQ,4000,6000,5000,09 Sep 2016,2016,Sep,09,2016-09-09
33,Aizawl,New Market Aizawl,Tomato,Other,FAQ,4000,6000,5000,16 Sep 2016,2016,Sep,16,2016-09-16
34,Aizawl,New Market Aizawl,Tomato,Other,FAQ,4000,8000,6000,03 Aug 2017,2017,Aug,03,2017-08-03
35,Aizawl,New Market Aizawl,Tomato,Other,FAQ,4000,8000,6000,04 Jan 2017,2017,Jan,04,2017-01-04
36,Aizawl,New Market Aizawl,Tomato,Other,FAQ,4000,8000,6000,27 Jul 2017,2017,Jul,27,2017-07-27
37,Aizawl,New Market Aizawl,Tomato,Other,FAQ,4000,8000,6000,28 Jul 2017,2017,Jul,28,2017-07-28
38,Aizawl,New Market Aizawl,Tomato,Other,FAQ,4000,8000,6000,31 Aug 2017,2017,Aug,31,2017-08-31
39,Lungli,Super Market Lungli (Bara Bazar),Tomato,Other,FAQ,5000,6000,5500,09 Aug 2017,2017,Aug,09,2017-08-09
