,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,South District,Barpathari,Tomato,Other,FAQ,6800,7000,6900,18 Dec 2020,2020,Dec,18,2020-12-18
1,1.0,South District,Barpathari,Tomato,Tomato,FAQ,500,700,600,19 Mar 2021,2021,Mar,19,2021-03-19
2,2.0,South District,Barpathari,Tomato,Tomato,FAQ,500,700,600,20 Mar 2021,2021,Mar,20,2021-03-20
3,3.0,South District,Barpathari,Tomato,Tomato,FAQ,500,700,600,21 Mar 2021,2021,Mar,21,2021-03-21
4,4.0,South District,Barpathari,Tomato,Tomato,FAQ,500,700,600,22 Mar 2021,2021,Mar,22,2021-03-22
5,5.0,South District,Barpathari,Tomato,Tomato,FAQ,500,700,600,23 Mar 2021,2021,Mar,23,2021-03-23
6,6.0,South District,Barpathari,Tomato,Tomato,FAQ,700,900,800,24 Mar 2021,2021,Mar,24,2021-03-24
7,7.0,South District,Barpathari,Tomato,Tomato,FAQ,800,1000,900,12 Mar 2021,2021,Mar,12,2021-03-12
8,8.0,South District,Barpathari,Tomato,Tomato,FAQ,800,1000,900,15 Mar 2021,2021,Mar,15,2021-03-15
9,9.0,South District,Barpathari,Tomato,Tomato,FAQ,1000,1200,1100,02 Apr 2021,2021,Apr,2,2021-04-02
10,10.0,South District,Barpathari,Tomato,Tomato,FAQ,1000,1200,1100,03 Apr 2021,2021,Apr,3,2021-04-03
11,11.0,South District,Barpathari,Tomato,Tomato,FAQ,1000,1200,1100,05 Apr 2021,2021,Apr,5,2021-04-05
12,12.0,South District,Barpathari,Tomato,Tomato,FAQ,1000,1200,1100,05 Mar 2021,2021,Mar,5,2021-03-05
13,13.0,South District,Barpathari,Tomato,Tomato,FAQ,1000,1200,1100,09 Apr 2021,2021,Apr,9,2021-04-09
14,14.0,South District,Barpathari,Tomato,Tomato,FAQ,1000,1200,1100,26 Mar 2021,2021,Mar,26,2021-03-26
15,15.0,South District,Barpathari,Tomato,Tomato,FAQ,1000,1200,1100,28 Mar 2021,2021,Mar,28,2021-03-28
16,16.0,South District,Barpathari,Tomato,Tomato,FAQ,1000,1200,1100,29 Mar 2021,2021,Mar,29,2021-03-29
17,17.0,South District,Barpathari,Tomato,Tomato,FAQ,1000,1200,1100,30 Mar 2021,2021,Mar,30,2021-03-30
18,18.0,South District,Barpathari,Tomato,Tomato,FAQ,1000,1200,1100,31 Mar 2021,2021,Mar,31,2021-03-31
19,19.0,South District,Barpathari,Tomato,Tomato,FAQ,1300,1500,1400,01 Mar 2021,2021,Mar,1,2021-03-01
20,20.0,South District,Barpathari,Tomato,Tomato,FAQ,1300,1500,1400,08 Mar 2021,2021,Mar,8,2021-03-08
21,21.0,South District,Barpathari,Tomato,Tomato,FAQ,1300,1500,1400,12 Apr 2021,2021,Apr,12,2021-04-12
22,22.0,South District,Barpathari,Tomato,Tomato,FAQ,1300,1500,1400,16 Apr 2021,2021,Apr,16,2021-04-16
23,23.0,South District,Barpathari,Tomato,Tomato,FAQ,1300,1500,1400,19 Feb 2021,2021,Feb,19,2021-02-19
24,24.0,South District,Barpathari,Tomato,Tomato,FAQ,1300,1500,1400,22 Feb 2021,2021,Feb,22,2021-02-22
25,25.0,South District,Barpathari,Tomato,Tomato,FAQ,1300,1500,1400,26 Feb 2021,2021,Feb,26,2021-02-26
26,26.0,South District,Barpathari,Tomato,Tomato,FAQ,2000,2500,2300,05 Feb 2021,2021,Feb,5,2021-02-05
27,27.0,South District,Barpathari,Tomato,Tomato,FAQ,2000,2500,2300,08 Feb 2021,2021,Feb,8,2021-02-08
28,28.0,South District,Barpathari,Tomato,Tomato,FAQ,2000,2500,2300,12 Feb 2021,2021,Feb,12,2021-02-12
29,29.0,South District,Barpathari,Tomato,Tomato,FAQ,2000,2500,2300,15 Feb 2021,2021,Feb,15,2021-02-15
30,30.0,South District,Barpathari,Tomato,Tomato,FAQ,2000,2500,2300,21 May 2021,2021,May,21,2021-05-21
31,31.0,South District,Barpathari,Tomato,Tomato,FAQ,2500,3000,2700,11 Jan 2021,2021,Jan,11,2021-01-11
32,32.0,South District,Barpathari,Tomato,Tomato,FAQ,2500,3000,2700,15 Jan 2021,2021,Jan,15,2021-01-15
33,33.0,South District,Barpathari,Tomato,Tomato,FAQ,2500,3000,2700,18 Jan 2021,2021,Jan,18,2021-01-18
34,34.0,South District,Barpathari,Tomato,Tomato,FAQ,2800,3000,2900,01 Feb 2021,2021,Feb,1,2021-02-01
35,35.0,South District,Barpathari,Tomato,Tomato,FAQ,3000,3500,3300,03 May 2021,2021,May,3,2021-05-03
36,36.0,South District,Barpathari,Tomato,Tomato,FAQ,3000,3500,3300,07 May 2021,2021,May,7,2021-05-07
37,37.0,South District,Barpathari,Tomato,Tomato,FAQ,3000,3500,3300,10 May 2021,2021,May,10,2021-05-10
38,38.0,South District,Barpathari,Tomato,Tomato,FAQ,3000,3500,3300,14 May 2021,2021,May,14,2021-05-14
39,39.0,South District,Barpathari,Tomato,Tomato,FAQ,3000,3500,3300,17 May 2021,2021,May,17,2021-05-17
40,40.0,South District,Barpathari,Tomato,Tomato,FAQ,3000,3500,3300,19 Apr 2021,2021,Apr,19,2021-04-19
41,41.0,South District,Barpathari,Tomato,Tomato,FAQ,3000,3500,3300,23 Apr 2021,2021,Apr,23,2021-04-23
42,42.0,South District,Barpathari,Tomato,Tomato,FAQ,3000,3500,3300,26 Apr 2021,2021,Apr,26,2021-04-26
43,43.0,South District,Barpathari,Tomato,Tomato,FAQ,3000,3500,3300,30 Apr 2021,2021,Apr,30,2021-04-30
44,44.0,South District,Barpathari,Tomato,Tomato,FAQ,3300,3500,3400,02 Aug 2021,2021,Aug,2,2021-08-02
45,45.0,South District,Barpathari,Tomato,Tomato,FAQ,3300,3500,3400,30 Jul 2021,2021,Jul,30,2021-07-30
46,46.0,South District,Barpathari,Tomato,Tomato,FAQ,4000,4500,4300,01 Jan 2021,2021,Jan,1,2021-01-01
47,47.0,South District,Barpathari,Tomato,Tomato,FAQ,4000,4500,4300,20 Aug 2021,2021,Aug,20,2021-08-20
48,48.0,South District,Barpathari,Tomato,Tomato,FAQ,4000,4500,4300,21 Jun 2021,2021,Jun,21,2021-06-21
49,49.0,South District,Barpathari,Tomato,Tomato,FAQ,4000,4500,4300,22 Jan 2021,2021,Jan,22,2021-01-22
50,50.0,South District,Barpathari,Tomato,Tomato,FAQ,4000,4500,4300,23 Aug 2021,2021,Aug,23,2021-08-23
51,51.0,South District,Barpathari,Tomato,Tomato,FAQ,4000,4500,4300,25 Jan 2021,2021,Jan,25,2021-01-25
52,52.0,South District,Barpathari,Tomato,Tomato,FAQ,4000,4500,4300,27 Aug 2021,2021,Aug,27,2021-08-27
53,53.0,South District,Barpathari,Tomato,Tomato,FAQ,4000,4500,4300,29 Jan 2021,2021,Jan,29,2021-01-29
54,54.0,South District,Barpathari,Tomato,Tomato,FAQ,4000,4500,4300,30 Aug 2021,2021,Aug,30,2021-08-30
55,55.0,South District,Barpathari,Tomato,Tomato,FAQ,4000,5000,4500,14 Jun 2021,2021,Jun,14,2021-06-14
56,56.0,South District,Barpathari,Tomato,Tomato,FAQ,4300,4500,4400,02 Jul 2021,2021,Jul,2,2021-07-02
57,57.0,South District,Barpathari,Tomato,Tomato,FAQ,4300,4500,4400,05 Jul 2021,2021,Jul,5,2021-07-05
58,58.0,South District,Barpathari,Tomato,Tomato,FAQ,4300,4500,4400,06 Aug 2021,2021,Aug,6,2021-08-06
59,59.0,South District,Barpathari,Tomato,Tomato,FAQ,4300,4500,4400,09 Aug 2021,2021,Aug,9,2021-08-09
60,60.0,South District,Barpathari,Tomato,Tomato,FAQ,4300,4500,4400,25 Jun 2021,2021,Jun,25,2021-06-25
61,61.0,South District,Barpathari,Tomato,Tomato,FAQ,4300,4500,4400,28 Jun 2021,2021,Jun,28,2021-06-28
62,62.0,South District,Barpathari,Tomato,Tomato,FAQ,4800,5000,4900,04 Jan 2021,2021,Jan,4,2021-01-04
63,63.0,South District,Barpathari,Tomato,Tomato,FAQ,4800,5000,4900,08 Jan 2021,2021,Jan,8,2021-01-08
64,64.0,South District,Barpathari,Tomato,Tomato,FAQ,4800,5000,4900,09 Jul 2021,2021,Jul,9,2021-07-09
65,65.0,South District,Barpathari,Tomato,Tomato,FAQ,4800,5000,4900,11 Jun 2021,2021,Jun,11,2021-06-11
66,66.0,South District,Barpathari,Tomato,Tomato,FAQ,4800,5000,4900,12 Jul 2021,2021,Jul,12,2021-07-12
67,67.0,South District,Barpathari,Tomato,Tomato,FAQ,4800,5000,4900,13 Aug 2021,2021,Aug,13,2021-08-13
68,68.0,South District,Barpathari,Tomato,Tomato,FAQ,4800,5000,4900,16 Aug 2021,2021,Aug,16,2021-08-16
69,69.0,South District,Barpathari,Tomato,Tomato,FAQ,4800,5000,4900,16 Jul 2021,2021,Jul,16,2021-07-16
70,70.0,South District,Barpathari,Tomato,Tomato,FAQ,4800,5000,4900,18 Jun 2021,2021,Jun,18,2021-06-18
71,71.0,South District,Barpathari,Tomato,Tomato,FAQ,4800,5000,4900,19 Jul 2021,2021,Jul,19,2021-07-19
72,72.0,South District,Barpathari,Tomato,Tomato,FAQ,4800,5000,4900,23 Jul 2021,2021,Jul,23,2021-07-23
73,73.0,South District,Barpathari,Tomato,Tomato,FAQ,4800,5000,4900,26 Jul 2021,2021,Jul,26,2021-07-26
74,74.0,South District,Barpathari,Tomato,Tomato,FAQ,4800,5000,4900,28 Dec 2020,2020,Dec,28,2020-12-28
75,75.0,South District,Barpathari,Tomato,Tomato,FAQ,4800,5000,4900,28 May 2021,2021,May,28,2021-05-28
76,76.0,South District,Barpathari,Tomato,Tomato,FAQ,4800,5000,4900,31 May 2021,2021,May,31,2021-05-31
77,77.0,South District,Barpathari,Tomato,Tomato,FAQ,5500,6000,5700,04 Dec 2020,2020,Dec,4,2020-12-04
78,78.0,South District,Barpathari,Tomato,Tomato,FAQ,5500,6000,5700,07 Dec 2020,2020,Dec,7,2020-12-07
79,79.0,South District,Barpathari,Tomato,Tomato,FAQ,5800,6000,5900,23 Nov 2020,2020,Nov,23,2020-11-23
80,80.0,South District,Barpathari,Tomato,Tomato,FAQ,5800,6000,5900,30 Nov 2020,2020,Nov,30,2020-11-30
81,81.0,South District,Barpathari,Tomato,Tomato,FAQ,6800,7000,6900,09 Nov 2020,2020,Nov,9,2020-11-09
82,82.0,South District,Barpathari,Tomato,Tomato,FAQ,6800,7000,6900,11 Dec 2020,2020,Dec,11,2020-12-11
83,83.0,South District,Barpathari,Tomato,Tomato,FAQ,6800,7000,6900,12 Oct 2020,2020,Oct,12,2020-10-12
84,84.0,South District,Barpathari,Tomato,Tomato,FAQ,6800,7000,6900,14 Dec 2020,2020,Dec,14,2020-12-14
85,85.0,South District,Barpathari,Tomato,Tomato,FAQ,6800,7000,6900,16 Nov 2020,2020,Nov,16,2020-11-16
86,86.0,South District,Barpathari,Tomato,Tomato,FAQ,6800,7000,6900,16 Oct 2020,2020,Oct,16,2020-10-16
87,87.0,South District,Barpathari,Tomato,Tomato,FAQ,6800,7000,6900,19 Oct 2020,2020,Oct,19,2020-10-19
88,88.0,South District,Barpathari,Tomato,Tomato,FAQ,6800,7000,6900,20 Nov 2020,2020,Nov,20,2020-11-20
89,89.0,South District,Barpathari,Tomato,Tomato,FAQ,6800,7000,6900,21 Dec 2020,2020,Dec,21,2020-12-21
90,90.0,South District,Barpathari,Tomato,Tomato,FAQ,6800,7000,6900,25 Dec 2020,2020,Dec,25,2020-12-25
91,91.0,South District,Barpathari,Tomato,Tomato,FAQ,7000,7500,7300,07 Sep 2020,2020,Sep,7,2020-09-07
92,92.0,South District,Barpathari,Tomato,Tomato,FAQ,7000,7500,7300,11 Sep 2020,2020,Sep,11,2020-09-11
93,93.0,South District,Barpathari,Tomato,Tomato,FAQ,7000,7500,7300,14 Sep 2020,2020,Sep,14,2020-09-14
94,94.0,South District,Barpathari,Tomato,Tomato,FAQ,7000,7500,7300,18 Sep 2020,2020,Sep,18,2020-09-18
95,95.0,South District,Barpathari,Tomato,Tomato,FAQ,7000,7500,7300,21 Sep 2020,2020,Sep,21,2020-09-21
96,96.0,South District,Barpathari,Tomato,Tomato,FAQ,7800,8000,7900,02 Oct 2020,2020,Oct,2,2020-10-02
97,97.0,South District,Barpathari,Tomato,Tomato,FAQ,7800,8000,7900,05 Oct 2020,2020,Oct,5,2020-10-05
98,98.0,South District,Barpathari,Tomato,Tomato,FAQ,7800,8000,7900,06 Nov 2020,2020,Nov,6,2020-11-06
