0,1,2,3,4,5,6,7,8,9
1,Ahmedabad,Sanad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3500,3500,3500.0,16 Oct 2020
2,Ahmedabad,Sanad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5245,5245,5245.0,22 Jun 2021
3,Ahmedabad,Sanad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5655,5655,5655.0,05 Nov 2020
4,Ahmedabad,Sanad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5900,6075,5987.0,23 Oct 2020
5,Ahmedabad,Sanad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6255,6255,6255.0,09 Oct 2020
1,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3705,5435,4570.0,07 Jun 2022
2,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4250,5650,4950.0,29 Jun 2022
3,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4330,5450,4890.0,01 Jun 2022
4,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4370,4980,4675.0,04 Jun 2022
5,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4475,5505,4990.0,09 Jun 2022
6,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4490,5500,4995.0,08 Jun 2022
7,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4705,5505,5105.0,10 Jun 2022
8,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4755,5355,5055.0,06 Jun 2022
9,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4825,5585,5205.0,30 Jun 2022
10,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4950,5140,5045.0,20 Jun 2022
11,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5055,5575,5315.0,17 Jun 2022
12,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5205,5905,5555.0,23 Mar 2022
13,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5270,5930,5600.0,25 Mar 2022
14,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5355,5615,5485.0,27 Jun 2022
15,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5355,5875,5615.0,24 Mar 2022
16,Ahmedabad,Sanad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5505,5505,5505.0,28 Mar 2022
17,Ahmedabad,Sanad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5625,5625,5625.0,23 Mar 2022
18,Ahmedabad,Sanad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5805,5805,5805.0,05 Mar 2022
1,Panchmahals,Godhra,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3800,4625,4625.0,18 Feb 2017
2,Panchmahals,Godhra,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3800,4625,4625.0,20 Feb 2017
3,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,1875,2375,2125.0,09 Jun 2017
4,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2000,2500,2250.0,20 Jul 2017
5,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2250,2500,2375.0,11 May 2017
6,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2350,2805,2578.0,03 Aug 2017
7,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2350,3450,2900.0,13 May 2017
8,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2450,3625,3038.0,23 May 2017
9,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2455,3570,3013.0,24 May 2017
10,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2500,2955,2728.0,02 Aug 2017
11,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2500,3300,2900.0,12 Jun 2017
12,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2500,3375,2938.0,07 Jun 2017
13,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2500,3455,2978.0,15 May 2017
14,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2500,3500,3000.0,02 Jun 2017
15,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2500,3505,3003.0,10 May 2017
16,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2500,3560,3030.0,22 May 2017
17,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2500,3755,3128.0,29 May 2017
18,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2500,3785,3143.0,29 Apr 2017
19,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2510,3775,3143.0,17 May 2017
20,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2550,2550,2550.0,01 Jun 2017
21,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2605,3405,3005.0,23 Jun 2017
22,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2610,3130,2870.0,29 Jul 2017
23,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2630,3125,2878.0,19 Jun 2017
24,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2700,2700,2700.0,23 Aug 2017
25,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2750,3345,3048.0,25 Jul 2017
26,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2750,3600,3175.0,03 May 2017
27,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2750,3600,3175.0,24 Apr 2017
28,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2750,3780,3265.0,02 May 2017
29,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2755,3250,3003.0,16 Jun 2017
30,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2765,3500,3133.0,10 Aug 2017
31,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2775,3000,2888.0,24 Aug 2017
32,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2800,3750,3275.0,25 Apr 2017
33,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2800,3905,3353.0,26 May 2017
34,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2825,3730,3278.0,31 May 2017
35,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2860,3795,3328.0,04 May 2017
36,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2880,3590,3235.0,08 Jun 2017
37,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2900,2900,2900.0,08 Aug 2017
38,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2900,2900,2900.0,27 Jun 2017
39,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2900,3575,3238.0,17 Jun 2017
40,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2900,3630,3265.0,27 Apr 2017
41,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2900,4235,3568.0,21 Mar 2017
