,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5850,5850,5850,31 Mar 2021,2021,Mar,31,2021-03-31
1,1.0,Hassan,Arasikere,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8400,8700,8400,07 Sep 2020,2020,Sep,7,2020-09-07
2,2.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,98,11800,10800,02 Nov 2020,2020,Nov,2,2020-11-02
3,3.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,860,9600,9100,19 Sep 2020,2020,Sep,19,2020-09-19
4,4.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,980,11800,10800,19 Dec 2020,2020,Dec,19,2020-12-19
5,5.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,980,11800,10800,23 Nov 2020,2020,Nov,23,2020-11-23
6,6.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,980,11800,10800,24 Nov 2020,2020,Nov,24,2020-11-24
7,7.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6800,7200,7000,20 Oct 2020,2020,Oct,20,2020-10-20
8,8.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7200,10800,9000,04 Jun 2021,2021,Jun,4,2021-06-04
9,9.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7200,10800,9000,05 Jun 2021,2021,Jun,5,2021-06-05
10,10.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7200,10800,9000,07 Jun 2021,2021,Jun,7,2021-06-07
11,11.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7200,10800,9000,08 Jun 2021,2021,Jun,8,2021-06-08
12,12.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7200,10800,9000,09 Jun 2021,2021,Jun,9,2021-06-09
13,13.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7200,10800,9000,10 Jun 2021,2021,Jun,10,2021-06-10
14,14.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7200,10800,9000,11 Jun 2021,2021,Jun,11,2021-06-11
15,15.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7600,9000,8300,01 Oct 2020,2020,Oct,1,2020-10-01
16,16.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7600,9000,8300,01 Sep 2020,2020,Sep,1,2020-09-01
17,17.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7600,9000,8300,02 Sep 2020,2020,Sep,2,2020-09-02
18,18.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7600,9000,8300,03 Sep 2020,2020,Sep,3,2020-09-03
19,19.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7600,9000,8300,04 Sep 2020,2020,Sep,4,2020-09-04
20,20.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7600,9000,8300,18 Sep 2020,2020,Sep,18,2020-09-18
21,21.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7600,9000,8300,25 Sep 2020,2020,Sep,25,2020-09-25
22,22.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7600,9000,8300,28 Sep 2020,2020,Sep,28,2020-09-28
23,23.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7600,9000,8300,29 Sep 2020,2020,Sep,29,2020-09-29
24,24.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7600,9000,8300,30 Sep 2020,2020,Sep,30,2020-09-30
25,25.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8000,10000,9000,04 Aug 2021,2021,Aug,4,2021-08-04
26,26.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8100,9200,8650,05 Sep 2020,2020,Sep,5,2020-09-05
27,27.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8200,9400,8800,07 Sep 2020,2020,Sep,7,2020-09-07
28,28.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8200,9400,8800,08 Sep 2020,2020,Sep,8,2020-09-08
29,29.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8200,9400,8800,09 Sep 2020,2020,Sep,9,2020-09-09
30,30.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8200,9400,8800,16 Sep 2020,2020,Sep,16,2020-09-16
31,31.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8400,10000,9200,29 Jul 2021,2021,Jul,29,2021-07-29
32,32.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8400,10800,9600,16 Aug 2021,2021,Aug,16,2021-08-16
33,33.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8400,10800,9600,17 Aug 2021,2021,Aug,17,2021-08-17
34,34.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8400,10800,9600,18 Aug 2021,2021,Aug,18,2021-08-18
35,35.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8400,10800,9600,19 Aug 2021,2021,Aug,19,2021-08-19
36,36.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8400,10800,9600,21 Aug 2021,2021,Aug,21,2021-08-21
37,37.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8400,10800,9600,23 Aug 2021,2021,Aug,23,2021-08-23
38,38.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8500,10000,9250,06 Aug 2021,2021,Aug,6,2021-08-06
39,39.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8500,10000,9250,07 Aug 2021,2021,Aug,7,2021-08-07
40,40.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8500,10000,9250,20 Jul 2021,2021,Jul,20,2021-07-20
41,41.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8500,10200,9350,14 Jul 2021,2021,Jul,14,2021-07-14
42,42.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8500,10200,9350,15 Jul 2021,2021,Jul,15,2021-07-15
43,43.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8500,10200,9350,16 Jul 2021,2021,Jul,16,2021-07-16
44,44.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8500,10200,9350,17 Jul 2021,2021,Jul,17,2021-07-17
45,45.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8500,10500,9500,03 Aug 2021,2021,Aug,3,2021-08-03
46,46.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8500,10700,9600,26 Jul 2021,2021,Jul,26,2021-07-26
47,47.0,Bangalore,Bangalore,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8500,10700,9600,27 Jul 2021,2021,Jul,27,2021-07-27
