,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,Chhindwara,Amarwda,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5600,5700,5650.0,26 Jul 2021,2021,Jul,26,2021-07-26
1,Chhindwara,Amarwda,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6200,6300,6250.0,28 Feb 2021,2021,Feb,28,2021-02-28
2,Chhindwara,Amarwda,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6200,6350,6275.0,15 Mar 2021,2021,Mar,15,2021-03-15
3,Chhindwara,Amarwda,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6250,6310,6305.0,09 Mar 2021,2021,Mar,09,2021-03-09
4,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3900,5600,4305.0,15 Feb 2021,2021,Feb,15,2021-02-15
5,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4150,4150,4150.0,23 Jan 2021,2021,Jan,23,2021-01-23
6,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4160,4160,4160.0,20 Jan 2021,2021,Jan,20,2021-01-20
7,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4200,4300,4200.0,16 Jan 2021,2021,Jan,16,2021-01-16
8,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4200,4300,4200.0,21 Jan 2021,2021,Jan,21,2021-01-21
9,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4200,4300,4200.0,22 Jan 2021,2021,Jan,22,2021-01-22
10,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4400,4400,4400.0,15 Mar 2021,2021,Mar,15,2021-03-15
11,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4400,4400,4400.0,17 Mar 2021,2021,Mar,17,2021-03-17
12,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4975,4975,4975.0,18 Jan 2021,2021,Jan,18,2021-01-18
13,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4975,4975,4975.0,19 Jan 2021,2021,Jan,19,2021-01-19
14,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5000,5000,5000.0,15 Jan 2021,2021,Jan,15,2021-01-15
15,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5120,5120,5120.0,17 Feb 2021,2021,Feb,17,2021-02-17
16,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5140,5400,5280.0,08 Mar 2021,2021,Mar,08,2021-03-08
17,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5140,5460,5280.0,06 Mar 2021,2021,Mar,06,2021-03-06
18,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5160,5160,5160.0,18 Feb 2021,2021,Feb,18,2021-02-18
19,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5250,5250,5250.0,16 Feb 2021,2021,Feb,16,2021-02-16
20,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5600,6000,5800.0,30 Jun 2021,2021,Jun,30,2021-06-30
21,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5965,5965,5965.0,08 Jun 2021,2021,Jun,08,2021-06-08
22,Bhopal,Berasia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5965,5965,5965.0,25 Jun 2021,2021,Jun,25,2021-06-25
23,Betul,Bhensdehi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,1050,1275,1235.0,27 Jan 2021,2021,Jan,27,2021-01-27
24,Betul,Bhensdehi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5000,5000,5000.0,15 Jan 2021,2021,Jan,15,2021-01-15
25,Betul,Bhensdehi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5000,5250,5250.0,19 Mar 2021,2021,Mar,19,2021-03-19
26,Betul,Bhensdehi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5001,5001,5001.0,12 Jan 2021,2021,Jan,12,2021-01-12
27,Betul,Bhensdehi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5300,5300,5300.0,22 Jan 2021,2021,Jan,22,2021-01-22
28,Betul,Bhensdehi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5300,5451,5451.0,25 Jan 2021,2021,Jan,25,2021-01-25
29,Betul,Bhensdehi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5400,5424,5400.0,18 Jan 2021,2021,Jan,18,2021-01-18
30,Betul,Bhensdehi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5411,5411,5411.0,28 Jan 2021,2021,Jan,28,2021-01-28
31,Mandla,Bichhiya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5000,5000,5000.0,21 Jul 2021,2021,Jul,21,2021-07-21
32,Mandla,Bichhiya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5500,5500,5500.0,02 Mar 2021,2021,Mar,02,2021-03-02
33,Mandla,Bichhiya,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5500,5500,5500.0,13 Feb 2021,2021,Feb,13,2021-02-13
34,Chhindwara,Chhindwara,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2500,6249,5385.0,25 Jun 2021,2021,Jun,25,2021-06-25
35,Chhindwara,Chhindwara,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,3680,5601,4700.0,18 Jun 2021,2021,Jun,18,2021-06-18
36,Chhindwara,Chhindwara,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4199,5076,4800.0,30 Jun 2021,2021,Jun,30,2021-06-30
37,Chhindwara,Chhindwara,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4299,5901,5700.0,28 Jun 2021,2021,Jun,28,2021-06-28
38,Chhindwara,Chhindwara,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4350,5501,4701.0,29 Jun 2021,2021,Jun,29,2021-06-29
39,Chhindwara,Chhindwara,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4689,6151,5376.0,24 Jun 2021,2021,Jun,24,2021-06-24
40,Chhindwara,Chhindwara,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4801,5001,4801.0,23 Jul 2021,2021,Jul,23,2021-07-23
41,Chhindwara,Chhindwara,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4840,6301,5300.0,21 Jun 2021,2021,Jun,21,2021-06-21
42,Chhindwara,Chhindwara,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4900,5970,5201.0,23 Jun 2021,2021,Jun,23,2021-06-23
43,Chhindwara,Chhindwara,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,4901,4901,4901.0,22 Jul 2021,2021,Jul,22,2021-07-22
44,Chhindwara,Chhindwara,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5499,5950,5600.0,22 Jun 2021,2021,Jun,22,2021-06-22
45,Indore,Gautampura,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,1630,1750,1700.0,16 Feb 2021,2021,Feb,16,2021-02-16
46,Indore,Gautampura,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5000,5000,5000.0,26 Jul 2021,2021,Jul,26,2021-07-26
47,Indore,Gautampura,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5000,5200,5000.0,14 Jun 2021,2021,Jun,14,2021-06-14
48,Sagar,Jaisinagar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5800,6000,5900.0,30 Jul 2021,2021,Jul,30,2021-07-30
49,Chhatarpur,LavKush Nagar(Laundi),Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5450,5450,5450.0,11 Jun 2021,2021,Jun,11,2021-06-11
50,Chhatarpur,LavKush Nagar(Laundi),Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,6000,6000,6000.0,23 Jun 2021,2021,Jun,23,2021-06-23
51,Raisen,Obedullaganj,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5290,5290,5290.0,18 Mar 2021,2021,Mar,18,2021-03-18
52,Raisen,Obedullaganj,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5401,5401,5401.0,26 Mar 2021,2021,Mar,26,2021-03-26
