0,1,2,3,4,5,6,7,8,9
1,Haridwar,Roorkee,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5400,5400,5400,23 Feb 2019
2,Haridwar,Roorkee,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7780,7780,7780,23 Apr 2019
3,Haridwar,Roorkee,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8000,8300,8280,02 Jul 2019
4,Haridwar,Roorkee,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8000,8300,8280,27 Jun 2019
5,UdhamSinghNagar,Rudrapur,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5200,5600,5500,03 Sep 2018
1,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7565,8816,8000,09 Oct 2022
2,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7693,7693,7693,05 Oct 2022
3,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8060,8060,8060,17 Oct 2022
4,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8450,8450,8450,09 Apr 2023
5,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8967,8975,8970,18 Mar 2023
6,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9500,9720,9600,27 Oct 2022
7,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,9594,9718,9656,27 Apr 2023
8,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,10100,12100,11000,20 Jun 2023
9,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,10118,10118,10118,15 Jun 2023
10,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,10118,10118,10118,21 Jun 2023
11,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,10200,10200,10200,02 Oct 2022
12,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,10218,12200,11500,23 May 2023
13,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,10318,10318,10318,26 May 2023
14,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,10318,10320,10319,11 Jun 2023
15,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,10500,10500,10500,20 Jul 2023
16,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,11500,11700,11600,24 Aug 2023
17,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,11700,11700,11700,17 May 2023
18,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,12120,13975,12900,13 Jun 2023
1,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,11000,17000,15500,30 Oct 2023
2,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,12521,12521,12521,19 Oct 2023
3,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,12521,12521,12521,20 Oct 2023
4,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,12821,12821,12821,29 Nov 2023
5,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,15500,15700,15600,28 Nov 2023
6,Nanital,Haldwani,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,16000,16600,16400,27 Oct 2023
1,Haridwar,Roorkee,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5800,6000,5800,18 Aug 2018
2,Haridwar,Roorkee,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5800,6000,5800,19 Aug 2018
3,UdhamSinghNagar,Rudrapur,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5000,5200,5100,25 Aug 2018
4,UdhamSinghNagar,Rudrapur,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5000,5450,5300,28 Aug 2018
5,UdhamSinghNagar,Rudrapur,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5100,6000,5500,23 Aug 2018
6,UdhamSinghNagar,Rudrapur,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5100,6000,5500,24 Aug 2018
7,UdhamSinghNagar,Rudrapur,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5100,6000,5600,20 Aug 2018
8,UdhamSinghNagar,Rudrapur,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5100,6100,5500,27 Aug 2018
9,UdhamSinghNagar,Rudrapur,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,5300,5500,5400,31 Aug 2018
