Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,0.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7700,7900,7800,03 Sep 2020,2020,Sep,3,2020-09-03
1,1.0,1.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7700,7900,7800,14 Sep 2020,2020,Sep,14,2020-09-14
2,2.0,2.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7700,7900,7800,21 Sep 2020,2020,Sep,21,2020-09-21
3,3.0,3.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7800,7900,7900,01 Sep 2020,2020,Sep,1,2020-09-01
4,4.0,4.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7800,8000,7800,16 Sep 2020,2020,Sep,16,2020-09-16
5,5.0,5.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7800,8000,7900,05 Oct 2020,2020,Oct,5,2020-10-05
6,6.0,6.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7800,8000,7900,18 Sep 2020,2020,Sep,18,2020-09-18
7,7.0,7.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7800,8100,7900,01 Oct 2020,2020,Oct,1,2020-10-01
8,8.0,8.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7900,8100,8000,10 Sep 2020,2020,Sep,10,2020-09-10
9,9.0,9.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,7900,8200,8000,08 Sep 2020,2020,Sep,8,2020-09-08
10,10.0,10.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8000,8200,8100,22 Dec 2020,2020,Dec,22,2020-12-22
11,11.0,11.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8000,8200,8100,23 Dec 2020,2020,Dec,23,2020-12-23
12,12.0,12.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8100,8300,8200,04 Jan 2021,2021,Jan,4,2021-01-04
13,13.0,13.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8100,8300,8200,20 Jan 2021,2021,Jan,20,2021-01-20
14,14.0,14.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8150,8400,8200,28 Jan 2021,2021,Jan,28,2021-01-28
15,15.0,15.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8200,8400,8300,06 Jan 2021,2021,Jan,6,2021-01-06
16,16.0,16.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8200,8400,8300,08 Jan 2021,2021,Jan,8,2021-01-08
17,17.0,17.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8200,8400,8300,17 Dec 2020,2020,Dec,17,2020-12-17
18,18.0,18.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8200,8400,8300,18 Jan 2021,2021,Jan,18,2021-01-18
19,19.0,19.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8200,8500,8300,05 Dec 2020,2020,Dec,5,2020-12-05
20,20.0,20.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8200,8500,8300,07 Dec 2020,2020,Dec,7,2020-12-07
21,21.0,21.0,Puruliya,Purulia,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,8200,8500,8300,10 Dec 2020,2020,Dec,10,2020-12-10
