0,1,2,3,4,5,6,7,8,9
1,Junagarh,Junagadh,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5000,7885,7250.0,20 Jan 2021
2,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,5000,6750,6000.0,06 Jan 2021
3,Banaskanth,Vadgam,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4105,4105,4105.0,04 Jan 2021
1,Mehsana,Becharaji,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3625,5105,4365.0,31 Jan 2022
2,Sabarkantha,Khedbrahma,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4550,5780,5165.0,02 Feb 2022
3,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,2500,3750,3500.0,07 Feb 2022
4,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3000,4000,3500.0,03 Jan 2022
5,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3000,4000,3500.0,17 Feb 2022
6,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3000,4250,4000.0,01 Feb 2022
7,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3250,4000,3750.0,19 Jan 2022
8,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3300,3750,3500.0,11 Feb 2022
9,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3500,4500,4000.0,07 Jan 2022
10,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3500,4500,4250.0,20 Jan 2022
11,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3500,4750,4500.0,06 Jan 2022
12,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,3750,4375,4000.0,12 Feb 2022
13,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4000,4500,4250.0,08 Jan 2022
14,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4000,4625,4500.0,24 Feb 2022
15,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4000,4750,4500.0,22 Feb 2022
16,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4000,5250,5000.0,13 Jan 2022
17,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4250,4750,4500.0,18 Feb 2022
18,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4250,5000,4750.0,02 Feb 2022
19,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4500,5120,5000.0,31 Jan 2022
20,Patan,Sami,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4500,5375,5250.0,08 Feb 2022
1,Kachchh,Bhuj,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,4200,4500,4350.0,19 Jul 2017
