,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,Barpeta,Bohorihat,Wheat,Other,FAQ,2600,2700,2650,16 May 2017,2017,May,16,2017-05-16
1,1.0,Nagaon,Dhing,Wheat,Other,FAQ,1500,1700,1650,15 May 2017,2017,May,15,2017-05-15
2,2.0,Nagaon,Dhing,Wheat,Other,FAQ,1550,1700,1600,14 Jun 2017,2017,Jun,14,2017-06-14
3,3.0,Nagaon,Dhing,Wheat,Other,FAQ,1550,1700,1650,19 Jun 2017,2017,Jun,19,2017-06-19
4,4.0,Nagaon,Dhing,Wheat,Other,FAQ,1550,1700,1650,20 Jun 2017,2017,Jun,20,2017-06-20
5,5.0,Nagaon,Dhing,Wheat,Other,FAQ,1550,1700,1680,02 Jun 2017,2017,Jun,2,2017-06-02
6,6.0,Nagaon,Dhing,Wheat,Other,FAQ,1550,1750,1700,30 Jun 2017,2017,Jun,30,2017-06-30
7,7.0,Nagaon,Dhing,Wheat,Other,FAQ,1600,1800,1700,08 Jun 2017,2017,Jun,8,2017-06-08
8,8.0,Nagaon,Dhing,Wheat,Other,FAQ,1600,1800,1700,13 Jun 2017,2017,Jun,13,2017-06-13
9,9.0,Nagaon,Dhing,Wheat,Other,FAQ,1640,1700,1680,06 May 2017,2017,May,6,2017-05-06
10,10.0,Nagaon,Dhing,Wheat,Other,FAQ,1650,1700,1680,02 May 2017,2017,May,2,2017-05-02
11,11.0,Nagaon,Dhing,Wheat,Other,FAQ,1650,1700,1680,03 May 2017,2017,May,3,2017-05-03
12,12.0,Nagaon,Dhing,Wheat,Other,FAQ,1650,1700,1680,09 May 2017,2017,May,9,2017-05-09
13,13.0,Nagaon,Dhing,Wheat,Other,FAQ,1650,1700,1680,29 Apr 2017,2017,Apr,29,2017-04-29
14,14.0,Dibrugarh,Dibrugarh,Wheat,Medium,FAQ,1030,1140,1085,01 Aug 2017,2017,Aug,1,2017-08-01
15,15.0,Dibrugarh,Dibrugarh,Wheat,Medium,FAQ,1030,1140,1085,01 Sep 2017,2017,Sep,1,2017-09-01
16,16.0,Dibrugarh,Dibrugarh,Wheat,Medium,FAQ,1030,1140,1085,02 Aug 2017,2017,Aug,2,2017-08-02
17,17.0,Dibrugarh,Dibrugarh,Wheat,Medium,FAQ,1030,1140,1085,03 Aug 2017,2017,Aug,3,2017-08-03
18,18.0,Dibrugarh,Dibrugarh,Wheat,Medium,FAQ,1030,1140,1085,04 Aug 2017,2017,Aug,4,2017-08-04
19,19.0,Dibrugarh,Dibrugarh,Wheat,Medium,FAQ,1030,1140,1085,05 Aug 2017,2017,Aug,5,2017-08-05
20,20.0,Dibrugarh,Dibrugarh,Wheat,Medium,FAQ,1030,1140,1085,07 Aug 2017,2017,Aug,7,2017-08-07
21,21.0,Dibrugarh,Dibrugarh,Wheat,Medium,FAQ,1030,1140,1085,08 Aug 2017,2017,Aug,8,2017-08-08
22,22.0,Dibrugarh,Dibrugarh,Wheat,Medium,FAQ,1030,1140,1085,09 Aug 2017,2017,Aug,9,2017-08-09
23,23.0,Dibrugarh,Dibrugarh,Wheat,Medium,FAQ,1030,1140,1085,11 Aug 2017,2017,Aug,11,2017-08-11
