,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,Delhi,Narela,Wheat,Mexican,FAQ,1551,1911.0,1816,29 Apr 2021,2021,Apr,29,2021-04-29
1,1.0,Delhi,Narela,Wheat,Mexican,FAQ,1686,1843.0,1834,30 Apr 2021,2021,Apr,30,2021-04-30
2,2.0,Delhi,Narela,Wheat,Mexican,FAQ,1700,2200.0,1831,27 Apr 2021,2021,Apr,27,2021-04-27
3,3.0,Delhi,Narela,Wheat,Mexican,FAQ,1770,1851.0,1800,26 Apr 2021,2021,Apr,26,2021-04-26
4,4.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1500,2050.0,1775,21 Jan 2022,2022,Jan,21,2022-01-21
5,5.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1650,1900.0,1775,01 Jan 2022,2022,Jan,1,2022-01-01
6,6.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1700,2100.0,1900,22 Mar 2022,2022,Mar,22,2022-03-22
7,7.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1800,2000.0,1900,19 Mar 2022,2022,Mar,19,2022-03-19
8,8.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1800,2060.0,1930,13 Jan 2022,2022,Jan,13,2022-01-13
9,9.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1800,2202.0,2001,25 Feb 2022,2022,Feb,25,2022-02-25
10,10.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1800,2225.0,2012,26 Mar 2022,2022,Mar,26,2022-03-26
11,11.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1850,2191.0,2020,24 Mar 2022,2022,Mar,24,2022-03-24
12,12.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1891,1891.0,1891,23 May 2022,2022,May,23,2022-05-23
13,13.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1900,2020.0,1960,04 Jan 2022,2022,Jan,4,2022-01-04
14,14.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1900,2071.0,1985,02 Jan 2022,2022,Jan,2,2022-01-02
15,15.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1900,2115.0,2007,17 Feb 2022,2022,Feb,17,2022-02-17
16,16.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1900,2150.0,2025,03 Mar 2022,2022,Mar,3,2022-03-03
17,17.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1900,2150.0,2025,18 Feb 2022,2022,Feb,18,2022-02-18
18,18.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1900,2250.0,2075,19 Feb 2022,2022,Feb,19,2022-02-19
19,19.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1910,2150.0,2025,11 Feb 2022,2022,Feb,11,2022-02-11
20,20.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1925,1925.0,1925,18 Jan 2022,2022,Jan,18,2022-01-18
21,21.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1950,1950.0,1950,06 Jan 2022,2022,Jan,6,2022-01-06
22,22.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1950,1980.0,1965,20 Jan 2022,2022,Jan,20,2022-01-20
23,23.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1950,2000.0,1975,12 Feb 2022,2022,Feb,12,2022-02-12
24,24.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1950,2020.0,1985,11 Jan 2022,2022,Jan,11,2022-01-11
25,25.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1950,2122.0,2036,01 Apr 2022,2022,Apr,1,2022-04-01
26,26.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1950,2130.0,2040,05 Feb 2022,2022,Feb,5,2022-02-05
27,27.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1950,2137.0,2043,03 Feb 2022,2022,Feb,3,2022-02-03
28,28.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1950,2190.0,2070,20 Mar 2022,2022,Mar,20,2022-03-20
29,29.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1950,2200.0,2075,07 Mar 2022,2022,Mar,7,2022-03-07
30,30.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1950,2450.0,2200,30 Jan 2022,2022,Jan,30,2022-01-30
31,31.0,Delhi,Najafgarh,Wheat,Dara,FAQ,1950,2530.0,2240,23 Jan 2022,2022,Jan,23,2022-01-23
