,Unnamed: 0,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,0.0,Fazilka,Abohar,Wheat,Other,FAQ,1975.0,1975.0,1975.0,21 Apr 2021,2021,Apr,21,2021-04-21
1,1.0,Fazilka,Abohar,Wheat,Other,FAQ,1975.0,1975.0,1975.0,23 Apr 2021,2021,Apr,23,2021-04-23
2,2.0,Moga,Ajitwal (Chogawan),Wheat,Other,FAQ,1975.0,1975.0,1975.0,06 May 2021,2021,May,6,2021-05-06
3,3.0,Moga,Ajitwal (Chogawan),Wheat,Other,FAQ,1975.0,1975.0,1975.0,25 Apr 2021,2021,Apr,25,2021-04-25
4,4.0,Sangrur,Amargarh,Wheat,Other,FAQ,1975.0,1975.0,1975.0,29 Apr 2021,2021,Apr,29,2021-04-29
5,5.0,Fatehgarh,Amloh,Wheat,147 Best,FAQ,1975.0,1975.0,1975.0,03 May 2021,2021,May,3,2021-05-03
6,6.0,Fatehgarh,Amloh(Gobind Garh Mandi),Wheat,147 Best,FAQ,1975.0,1975.0,1975.0,19 Apr 2021,2021,Apr,19,2021-04-19
7,7.0,Moga,Baghapurana,Wheat,Other,FAQ,1975.0,1975.0,1975.0,22 Apr 2021,2021,Apr,22,2021-04-22
8,8.0,Nawanshahr,Banga (Kataria),Wheat,Other,FAQ,1975.0,1975.0,1975.0,18 Apr 2021,2021,Apr,18,2021-04-18
9,9.0,Nawanshahr,Banga (Kataria),Wheat,Other,FAQ,1975.0,1975.0,1975.0,29 Apr 2021,2021,Apr,29,2021-04-29
10,10.0,Mohali,Banur,Wheat,Other,FAQ,1975.0,1975.0,1975.0,19 Apr 2021,2021,Apr,19,2021-04-19
11,11.0,Mohali,Banur,Wheat,Other,FAQ,1975.0,1975.0,1975.0,25 Apr 2021,2021,Apr,25,2021-04-25
12,12.0,Mohali,Banur (Kheragaju),Wheat,147 Average,FAQ,1975.0,1975.0,1975.0,18 Apr 2021,2021,Apr,18,2021-04-18
13,13.0,Mohali,Banur (Kheragaju),Wheat,147 Average,FAQ,1975.0,1975.0,1975.0,29 Apr 2021,2021,Apr,29,2021-04-29
14,14.0,Mansa,Bareta,Wheat,Other,FAQ,1975.0,1975.0,1975.0,05 May 2021,2021,May,5,2021-05-05
15,15.0,Mansa,Bareta,Wheat,Other,FAQ,1975.0,1975.0,1975.0,07 May 2021,2021,May,7,2021-05-07
16,16.0,Mansa,Bareta,Wheat,Other,FAQ,1975.0,1975.0,1975.0,09 May 2021,2021,May,9,2021-05-09
17,17.0,Fatehgarh,Bassi Pathana,Wheat,Other,FAQ,1975.0,1975.0,1975.0,28 Apr 2021,2021,Apr,28,2021-04-28
18,18.0,Fatehgarh,Bassi Pathana,Wheat,Other,FAQ,1975.0,1975.0,1975.0,30 Apr 2021,2021,Apr,30,2021-04-30
19,19.0,Barnala,Bhadaur,Wheat,Other,FAQ,1975.0,1975.0,1975.0,02 May 2021,2021,May,2,2021-05-02
20,20.0,Barnala,Bhadaur,Wheat,Other,FAQ,1975.0,1975.0,1975.0,13 Apr 2021,2021,Apr,13,2021-04-13
21,21.0,Barnala,Bhadaur,Wheat,Other,FAQ,1975.0,1975.0,1975.0,15 Apr 2021,2021,Apr,15,2021-04-15
22,22.0,Barnala,Bhadaur(Sehna),Wheat,Other,FAQ,1975.0,1975.0,1975.0,30 Apr 2021,2021,Apr,30,2021-04-30
23,23.0,Patiala,Bhadson,Wheat,Other,FAQ,1975.0,1975.0,1975.0,22 Apr 2021,2021,Apr,22,2021-04-22
24,24.0,Sangrur,Bhawanigarh,Wheat,Other,FAQ,1975.0,1975.0,1975.0,01 May 2021,2021,May,1,2021-05-01
25,25.0,Sangrur,Bhawanigarh,Wheat,Other,FAQ,1975.0,1975.0,1975.0,12 May 2021,2021,May,12,2021-05-12
26,26.0,Sangrur,Bhawanigarh,Wheat,Other,FAQ,1975.0,1975.0,1975.0,13 May 2021,2021,May,13,2021-05-13
27,27.0,Sangrur,Bhawanigarh,Wheat,Other,FAQ,1975.0,1975.0,1975.0,14 Apr 2021,2021,Apr,14,2021-04-14
28,28.0,Mansa,Bhikhi,Wheat,Other,FAQ,1975.0,1975.0,1975.0,19 Apr 2021,2021,Apr,19,2021-04-19
29,29.0,Mansa,Bhikhi,Wheat,Other,FAQ,1975.0,1975.0,1975.0,25 Apr 2021,2021,Apr,25,2021-04-25
30,30.0,Bhatinda,Bhucho,Wheat,Other,FAQ,1975.0,1975.0,1975.0,19 Apr 2021,2021,Apr,19,2021-04-19
31,31.0,kapurthala,Bhulath (Ibrahimaaaaval),Wheat,Other,FAQ,1975.0,1975.0,1975.0,15 Apr 2021,2021,Apr,15,2021-04-15
32,32.0,kapurthala,Bhulath (Nadala),Wheat,Other,FAQ,1975.0,1975.0,1975.0,20 Apr 2021,2021,Apr,20,2021-04-20
33,33.0,Mansa,Boha,Wheat,Other,FAQ,1975.0,1975.0,1975.0,12 May 2021,2021,May,12,2021-05-12
34,34.0,Mansa,Boha,Wheat,Other,FAQ,1975.0,1975.0,1975.0,14 Apr 2021,2021,Apr,14,2021-04-14
35,35.0,Mansa,Budalada,Wheat,147 Average,FAQ,1975.0,1975.0,1975.0,12 Apr 2021,2021,Apr,12,2021-04-12
36,36.0,Mansa,Budhlada (Phaphre Bhaike),Wheat,Other,FAQ,1975.0,1975.0,1975.0,17 Apr 2021,2021,Apr,17,2021-04-17
37,37.0,Tarntaran,Chabhal,Wheat,Other,FAQ,1975.0,1975.0,1975.0,25 Apr 2021,2021,Apr,25,2021-04-25
38,38.0,Fatehgarh,Chanarthal,Wheat,Other,FAQ,1975.0,1975.0,1975.0,16 Apr 2021,2021,Apr,16,2021-04-16
39,39.0,Patiala,Dakala,Wheat,Other,FAQ,1975.0,1975.0,1975.0,23 Apr 2021,2021,Apr,23,2021-04-23
40,40.0,Hoshiarpur,Dasuya,Wheat,Other,FAQ,1975.0,1975.0,1975.0,16 Apr 2021,2021,Apr,16,2021-04-16
41,41.0,Hoshiarpur,Dasuya,Wheat,Other,FAQ,1975.0,1975.0,1975.0,22 Apr 2021,2021,Apr,22,2021-04-22
42,42.0,Mohali,Dera Bassi,Wheat,147 Average,FAQ,1975.0,1975.0,1975.0,13 Apr 2021,2021,Apr,13,2021-04-13
