,district_name,market_name,commodity,vareity,grade,min_rs_quintal,max_rs_quintal,modal_rs_quintal,date,year,month,day_of_month,datetime
0,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,500.0,600,550,27 Aug 2021,2021,Aug,27,2021-08-27
1,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,900.0,1000,950,16 May 2021,2021,May,16,2021-05-16
2,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1000.0,1100,1050,20 Mar 2021,2021,Mar,20,2021-03-20
3,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1000.0,1100,1050,21 Mar 2021,2021,Mar,21,2021-03-21
4,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1000.0,1100,1050,22 Mar 2021,2021,Mar,22,2021-03-22
5,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1000.0,1100,1050,23 Mar 2021,2021,Mar,23,2021-03-23
6,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1000.0,1100,1050,24 Mar 2021,2021,Mar,24,2021-03-24
7,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1000.0,1100,1050,26 Mar 2021,2021,Mar,26,2021-03-26
8,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1000.0,1100,1050,27 Mar 2021,2021,Mar,27,2021-03-27
9,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1000.0,1100,1050,29 Mar 2021,2021,Mar,29,2021-03-29
10,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1000.0,1100,1050,30 Mar 2021,2021,Mar,30,2021-03-30
11,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1000.0,1200,1100,26 Aug 2021,2021,Aug,26,2021-08-26
12,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1000.0,1200,1100,29 Aug 2021,2021,Aug,29,2021-08-29
13,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1000.0,1500,1200,04 Feb 2021,2021,Feb,04,2021-02-04
14,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1000.0,1500,1200,25 Jan 2021,2021,Jan,25,2021-01-25
15,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1000.0,1500,1200,26 Jan 2021,2021,Jan,26,2021-01-26
16,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1000.0,1500,1200,27 Jan 2021,2021,Jan,27,2021-01-27
17,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1000.0,1500,1200,28 Jan 2021,2021,Jan,28,2021-01-28
18,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1000.0,1500,1250,22 Jan 2021,2021,Jan,22,2021-01-22
19,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1100.0,1200,1150,17 Aug 2021,2021,Aug,17,2021-08-17
20,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1100.0,1300,1200,23 Aug 2021,2021,Aug,23,2021-08-23
21,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1200.0,1400,1300,11 Aug 2021,2021,Aug,11,2021-08-11
22,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1200.0,1400,1300,18 Aug 2021,2021,Aug,18,2021-08-18
23,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1200.0,1400,1300,19 Aug 2021,2021,Aug,19,2021-08-19
24,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1200.0,1400,1300,20 Aug 2021,2021,Aug,20,2021-08-20
25,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1200.0,1400,1300,21 Aug 2021,2021,Aug,21,2021-08-21
26,Haridwar,Bhagwanpur(Naveen Mandi Sthal),Onion,Other,FAQ,1200.0,1450,1300,13 Aug 2021,2021,Aug,13,2021-08-13
